,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,hooters,grilled shrimp taco salad without dressing,62,g,215,mg,2030,g,54,g,43,g,22,g,1.5,g,12,g,18,g
1,hooters,taco salad without dressing,69,g,100,mg,2360,g,61,g,29,g,23,g,1.5,g,14,g,20,g
2,hooters,grilled chicken taco salad without dressing,69,g,140,mg,3370,g,56,g,48,g,21,g,1.5,g,12,g,18,g
3,hooters,shrimp and spinach salad,38,g,185,mg,1120,g,13,g,37,g,14,g,0,g,2,g,6,g
4,hooters,wise choice side salad without dressing,4.5,g,15,mg,125,g,4,g,5,g,2.5,g,0,g,2,g,1,g
5,hooters,garden salad without dressing,20,g,55,mg,590,g,19,g,18,g,10,g,0.5,g,4,g,4,g
6,hooters,wise choice salad without dressing,9,g,25,mg,250,g,8,g,10,g,5,g,0,g,4,g,3,g
7,hooters,caesar salad,57,g,50,mg,1130,g,18,g,8,g,10,g,1,g,4,g,3,g
8,hooters,swiss cheese,8,g,25,mg,60,g,1,g,8,g,4.5,g,0,g,0,g,0,g
9,hooters,bleu cheese crumbles,8,g,25,mg,260,g,1,g,7,g,5,g,0,g,0,g,1,g
10,hooters,pepper jack cheese,6,g,20,mg,120,g,0,g,5,g,3.5,g,0,g,0,g,0,g
11,hooters,pico de gallo,0,g,0,mg,190,g,1.5,g,0,g,0,g,0,g,0,g,1,g
12,hooters,monterey jack cheese,6,g,20,mg,120,g,1,g,5,g,3.5,g,0,g,0,g,0,g
13,hooters,guacamole,6,g,0,mg,200,g,4,g,1,g,1,g,0,g,3,g,1,g
14,hooters,provolone cheese,8,g,20,mg,240,g,1,g,7,g,4.5,g,0,g,0,g,0,g
15,hooters,bacon,3.5,g,10,mg,135,g,0,g,3,g,1,g,0,g,0,g,0,g
16,hooters,fresh jalapenos,0,g,0,mg,480,g,1,g,0,g,0,g,0,g,1,g,0,g
17,hooters,cheddar cheese,9,g,25,mg,180,g,1,g,7,g,5,g,0,g,0,g,0,g
18,hooters,lettuce onion tomato sauteed green peppers,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,1,g
19,hooters,sauteed mushrooms,1,g,0,mg,45,g,1,g,0,g,0,g,0,g,0,g,0,g
20,hooters,chili for sandwiches,3.5,g,10,mg,280,g,6,g,4,g,1,g,0,g,1,g,1,g
21,hooters,american cheese,5,g,15,mg,300,g,2,g,3,g,3.5,g,0,g,0,g,1,g
22,hooters,fried buffalo chicken sandwich without sauce or sides,29,g,140,mg,1590,g,69,g,41,g,10,g,0,g,4,g,9,g
23,hooters,shrimp po boy sandwich without sides,53,g,200,mg,2820,g,72,g,34,g,13,g,0.5,g,5,g,9,g
24,hooters,smothered chicken sandwich,65,g,170,mg,4130,g,110,g,68,g,23,g,1,g,10,g,10,g
25,hooters,philly cheesesteak beef sandwich,78,g,140,mg,2750,g,116,g,65,g,25,g,2,g,10,g,6,g
26,hooters,bacon mac n cheese burger,81,g,255,mg,4120,g,77,g,76,g,36,g,3,g,4,g,14,g
27,hooters,wise choice grilled blackened mahi mahi sandwich as served,26,g,165,mg,1750,g,54,g,42,g,11,g,0.5,g,4,g,11,g
28,hooters,blackened mahi sandwich,68,g,175,mg,2250,g,122,g,45,g,21,g,1,g,11,g,16,g
29,hooters,western bbq burger,82,g,200,mg,3500,g,125,g,65,g,29,g,2.5,g,10,g,19,g
30,hooters,texas melt sandwich without sides,57,g,205,mg,3670,g,62,g,57,g,25,g,3,g,4,g,16,g
31,hooters,fried big fish sandwich without sides,68,g,260,mg,1940,g,80,g,45,g,16,g,1,g,5,g,7,g
32,hooters,baja burger without sides,52,g,195,mg,3290,g,49,g,54,g,23,g,2.5,g,5,g,10,g
33,hooters,grilled big fish sandwich without sides,39,g,145,mg,2430,g,57,g,43,g,10,g,0.5,g,3,g,12,g
34,hooters,philly cheesesteak chicken,85,g,160,mg,4420,g,116,g,68,g,25,g,1.5,g,10,g,6,g
35,hooters,chicken strip sandwich without sauce or sides,46,g,135,mg,1820,g,81,g,45,g,20,g,1,g,4,g,6,g
36,hooters,bbq pork sandwich without sides,52,g,160,mg,2770,g,78,g,40,g,18,g,0.5,g,4,g,24,g
37,hooters,club sandwich without sides,53,g,145,mg,2430,g,57,g,43,g,18,g,1,g,3,g,12,g
38,hooters,traditional buffalo sauce 3 mile island,0,g,0,mg,1750,g,4,g,0,g,0,g,0,g,2,g,0,g
39,hooters,signature spicy garlic sauce,33,g,10,mg,1640,g,6,g,0,g,5,g,0,g,0,g,0,g
40,hooters,traditional buffalo sauce 911,0,g,0,mg,1770,g,4,g,0,g,0,g,0,g,2,g,0,g
41,hooters,garlic habanero dry rub,0,g,0,mg,10,g,1,g,0,g,0,g,0,g,0,g,1,g
42,hooters,texas bbq dry rub,0,g,0,mg,390,g,2,g,0,g,0,g,0,g,0,g,1,g
43,hooters,chesapeake dry rub,0,g,0,mg,680,g,1,g,0,g,0,g,0,g,1,g,0,g
44,hooters,signature cajun sauce,41,g,0,mg,2060,g,4,g,1,g,7,g,0.5,g,2,g,0,g
45,hooters,signature chipotle honey sauce,6,g,0,mg,550,g,26,g,0,g,1,g,0,g,0,g,25,g
46,hooters,signature samurai teriyaki sauce,1,g,0,mg,300,g,34,g,0,g,0,g,0,g,0,g,32,g
47,hooters,signature general tsos sauce,0,g,0,mg,1100,g,33,g,2,g,0,g,0,g,0,g,29,g
48,hooters,traditional buffalo sauce hot,9,g,0,mg,1020,g,2,g,0,g,2,g,0,g,2,g,0,g
49,hooters,signature bbq sauce,0,g,0,mg,550,g,23,g,0,g,0,g,0,g,0,g,21,g
50,hooters,traditional buffalo sauce mild,24,g,0,mg,690,g,1,g,0,g,4,g,0,g,1,g,0,g
51,hooters,signature daytona beach sauce,0,g,0,mg,1050,g,20,g,0,g,0,g,0,g,2,g,16,g
52,hooters,traditional buffalo sauce medium,14,g,0,mg,690,g,2,g,0,g,2.5,g,0,g,1,g,0,g
53,hooters,signature habanero sauce,0,g,0,mg,230,g,23,g,0,g,0,g,0,g,0,g,19,g
54,hooters,signature triple dog dare saue,2,g,0,mg,920,g,15,g,0,g,0,g,0,g,2,g,11,g
55,hooters,steamed shrimp 1 2 lb as served,46,g,410,mg,1120,g,14,g,50,g,29,g,2,g,1,g,9,g
56,hooters,snow crab legs as servved,48,g,190,mg,1270,g,5,g,22,g,29,g,2,g,0,g,1,g
57,hooters,fish and chips,101,g,235,mg,1290,g,128,g,42,g,17,g,1,g,13,g,15,g
58,hooters,wise choice big fish sandwich as served,14,g,110,mg,2710,g,50,g,55,g,3,g,0,g,3,g,6,g
59,hooters,wise choice steamed shrimp as served,0,g,290,mg,710,g,14,g,50,g,0,g,0,g,1,g,9,g
60,hooters,raw oyster 1 dozen as served,5,g,20,mg,1290,g,47,g,9,g,1,g,0,g,4,g,11,g
61,hooters,wise choice snow crab legs as served,1.5,g,65,mg,1300,g,16,g,23,g,0,g,0,g,1,g,10,g
62,hooters,onion rings,16,g,0,mg,650,g,35,g,3,g,3,g,0,g,2,g,4,g
