,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,lazy dog,the house club sandwich,52,g,180,mg,1510,g,67,g,61,g,9,g,0,g,8,g,3,g,,,,
1,lazy dog,thousand island dressing,25,g,20,mg,520,g,10,g,0,g,4,g,0,g,0,g,7,g,,,,
2,lazy dog,three cheese and basil pizza,30,g,90,mg,2780,g,169,g,48,g,17,g,0,g,8,g,9,g,,,,
3,lazy dog,tiger woods,0,g,0,mg,5,g,13,g,0,g,0,g,0,g,0,g,12,g,,,,
4,lazy dog,togarashi edamame beans,31,g,0,mg,2930,g,34,g,28,g,4,g,0,g,14,g,0,g,,,,
5,lazy dog,tomato juice,0,g,0,mg,670,g,10,g,2,g,0,g,0,g,2,g,6,g,,,,
6,lazy dog,traditional mojito,0,g,0,mg,15,g,14,g,0,g,0,g,0,g,0,g,13,g,,,,
7,lazy dog,waffle potato gratin,44,g,120,mg,1150,g,25,g,16,g,25,g,0,g,2,g,5,g,,,,
8,lazy dog,walnut chicken salad sandwich,65,g,135,mg,1210,g,84,g,41,g,13,g,0,g,11,g,11,g,,,,
9,lazy dog,westside manhattan cocktail,0,g,0,mg,0,g,14,g,0,g,0,g,0,g,0,g,13,g,,,,
10,lazy dog,white peach sangria,0,g,0,mg,20,g,20,g,0,g,0,g,0,g,0,g,18,g,,,,
11,lazy dog,white rice,1,g,0,mg,0,g,56,g,5,g,0,g,0,g,1,g,0,g,,,,
12,lazy dog,wild blueberry and lemon cocktail,0,g,0,mg,0,g,17,g,0,g,0,g,0,g,0,g,16,g,,,,
