,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,jersey mikes subs,natural turkey sub rosemary parmesan bread regular,40,g,30,mg,1140,g,68,g,22,g,9,g,1,g,5,g,6,g,,,,
1,jersey mikes subs,natural turkey sub seeded italian bread giant,79,g,40,mg,1950,g,139,g,38,g,15,g,2,g,13,g,14,g,,,,
2,jersey mikes subs,natural turkey sub seeded italian bread mini,22,g,15,mg,670,g,46,g,13,g,5,g,0.5,g,4,g,5,g,,,,
3,jersey mikes subs,natural turkey sub seeded italian bread regular,41,g,25,mg,1040,g,71,g,21,g,9,g,1,g,7,g,8,g,,,,
4,jersey mikes subs,natural turkey sub spinach herb wrap,44,g,25,mg,1110,g,60,g,20,g,11,g,1,g,4,g,4,g,,,,
5,jersey mikes subs,natural turkey sub tomato basil wrap,44,g,25,mg,1090,g,61,g,19,g,11,g,1,g,4,g,4,g,,,,
6,jersey mikes subs,natural turkey sub tub,37,g,25,mg,370,g,9,g,11,g,8,g,1,g,2,g,4,g,,,,
7,jersey mikes subs,natural turkey sub wheat bread giant,73,g,40,mg,1900,g,134,g,37,g,15,g,2,g,12,g,13,g,,,,
8,jersey mikes subs,natural turkey sub wheat bread mini,20,g,15,mg,650,g,45,g,13,g,5,g,0.5,g,4,g,5,g,,,,
9,jersey mikes subs,natural turkey sub wheat bread regular,38,g,25,mg,1010,g,68,g,21,g,9,g,1,g,6,g,7,g,,,,
10,jersey mikes subs,natural turkey sub wheat wrap,44,g,25,mg,1120,g,59,g,20,g,11,g,1,g,8,g,4,g,,,,
11,jersey mikes subs,natural turkey sub white bread giant,73,g,40,mg,1960,g,132,g,35,g,14,g,2,g,8,g,11,g,,,,
12,jersey mikes subs,natural turkey sub white bread mini,20,g,15,mg,670,g,44,g,12,g,4.5,g,0.5,g,3,g,4,g,,,,
13,jersey mikes subs,natural turkey sub white bread regular,38,g,25,mg,1040,g,67,g,20,g,8,g,1,g,4,g,6,g,,,,
14,jersey mikes subs,natural turkey sub white wrap,44,g,25,mg,1110,g,61,g,19,g,11,g,1,g,4,g,4,g,,,,
15,jersey mikes subs,oatmeal raisin cookie regular,7,g,15,mg,100,g,26,g,2,g,3,g,0,g,1,g,14,g,,,,
16,jersey mikes subs,ocean spray cranberry juice,0,g,0,mg,10,g,53,g,0,g,0,g,0,g,0,g,49,g,,,,
