,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,milios sandwiches,skinny 8 big steer,14,g,70,mg,1900,g,77,g,41,g,7,g,0,g,5,g,1,g,,
1,milios sandwiches,skinny 9 italian club,24,g,80,mg,2310,g,79,g,39,g,10,g,0,g,5,g,2,g,,
2,milios sandwiches,southwestern cheesy chicken soup bowl,8,g,25,mg,2030,g,18,g,11,g,3,g,0,g,2,g,17,g,,
3,milios sandwiches,southwestern cheesy chicken soup cup,5,g,15,mg,1350,g,12,g,7,g,2,g,0,g,1,g,11,g,,
4,milios sandwiches,veggies alfalfa sprouts,0,g,0,mg,0,g,0,g,0,g,0,g,0,g,0,g,0,g,,
5,milios sandwiches,veggies lettuce,0,g,0,mg,5,g,2,g,1,g,0,g,0,g,1,g,1,g,,
6,milios sandwiches,veggies onions,0,g,0,mg,0,g,2,g,0,g,0,g,0,g,0,g,1,g,,
7,milios sandwiches,veggies spinach,0,g,0,mg,25,g,1,g,1,g,0,g,0,g,0,g,1,g,,
8,milios sandwiches,veggies tomatoes,0,g,0,mg,0,g,1,g,1,g,0,g,0,g,0,g,1,g,,
9,milios sandwiches,wheat sub roll,2,g,0,mg,450,g,44,g,10,g,1,g,0,g,3,g,2,g,,
10,mimis cafe,fried chicken tenders with buffalo and ranch sauce,30,g,182,mg,2146,g,48,g,74,g,5,g,0,g,2,g,3,g,,
11,mimis cafe,hand mixed guacamole and tortilla chips,47,g,0,mg,2043,g,77,g,14,g,7,g,0,g,19,g,2,g,,
12,mimis cafe,brochette trio,36,g,303,mg,2062,g,20,g,59,g,9,g,0,g,0,g,11,g,,
13,mimis cafe,lightly fried zucchini with ranch and pomodoro sauce,30,g,86,mg,1270,g,45,g,11,g,6,g,0,g,5,g,8,g,,
14,mimis cafe,calarami with pomodoro sauce,9,g,463,mg,1184,g,32,g,35,g,2,g,0,g,3,g,3,g,,
15,mimis cafe,warm spinach artichoke dip with tortilla chips,34,g,54,mg,2086,g,72,g,22,g,14,g,0,g,7,g,5,g,,
16,mimis cafe,trio of appetizers with ranch and buffalo sauce,46,g,161,mg,3338,g,81,g,53,g,13,g,0,g,7,g,7,g,,
17,mimis cafe,cafe latte or cappuccino with whole milk,4,g,18,mg,64,g,7,g,4,g,3,g,0,g,0,g,6,g,,
18,mimis cafe,minute maid lemonade,0,g,0,mg,49,g,31,g,0,g,0,g,0,g,0,g,31,g,,
19,mimis cafe,grapefruit juice small,0,g,0,mg,13,g,20,g,1,g,0,g,0,g,0,g,15,g,,
20,mimis cafe,cafe latte or iced cappuccino with 2 milk,3,g,10,mg,64,g,6,g,4,g,2,g,0,g,0,g,6,g,,
21,mimis cafe,orange flavor cafe latte or iced cappuccino,0,g,0,mg,1,g,12,g,0,g,0,g,0,g,0,g,12,g,,
22,mimis cafe,apple juice large,0,g,0,mg,36,g,51,g,0,g,0,g,0,g,0,g,47,g,,
23,mimis cafe,cranberry juice small,0,g,0,mg,31,g,31,g,0,g,0,g,0,g,0,g,31,g,,
24,mimis cafe,apple juice small,0,g,0,mg,18,g,25,g,0,g,0,g,0,g,0,g,23,g,,
25,mimis cafe,cafe latte or cappuccino with skim milk,0,g,3,mg,66,g,7,g,4,g,0,g,0,g,0,g,6,g,,
26,mimis cafe,orange juice small,0,g,0,mg,18,g,23,g,2,g,0,g,0,g,0,g,22,g,,
