,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,cold stone creamery,mint ice cream love it,33,g,125,mg,180,g,60,g,8,g,20,g,1,g,0,g,53,g,,
1,cold stone creamery,mint mint chocolate chocolate chip gotta have it,63,g,200,mg,480,g,144,g,17,g,37,g,1.5,g,3,g,120,g,,
2,cold stone creamery,mint mint chocolate chocolate chip like it,31,g,90,mg,290,g,81,g,9,g,17,g,0.5,g,2,g,64,g,,
3,cold stone creamery,mint mint chocolate chocolate chip love it,47,g,140,mg,390,g,114,g,13,g,27,g,1,g,3,g,94,g,,
4,cold stone creamery,mint yogurt gotta have it,1,g,0,mg,340,g,97,g,12,g,0,g,0,g,0,g,78,g,,
5,cold stone creamery,mint yogurt kids,0,g,0,mg,85,g,24,g,3,g,0,g,0,g,0,g,19,g,,
6,cold stone creamery,mint yogurt like it,0,g,0,mg,140,g,41,g,5,g,0,g,0,g,0,g,44,g,,
7,cold stone creamery,mint yogurt love it,0.5,g,0,mg,230,g,65,g,8,g,0,g,0,g,0,g,52,g,,
8,cold stone creamery,mintastic chip pie,17,g,30,mg,135,g,35,g,3,g,11,g,0,g,1,g,27,g,,
9,cold stone creamery,mmmmmmint chip cake large rectangle,18,g,45,mg,220,g,40,g,5,g,11,g,0,g,1,g,31,g,,
10,cold stone creamery,mmmmmmint chip cake large round,21,g,50,mg,240,g,47,g,5,g,13,g,0,g,2,g,37,g,,
11,cold stone creamery,mmmmmmint chip cake petite,29,g,70,mg,440,g,71,g,8,g,17,g,0,g,3,g,54,g,,
12,cold stone creamery,mmmmmmint chip cake small rectangle,20,g,50,mg,270,g,48,g,5,g,12,g,0,g,2,g,37,g,,
13,cold stone creamery,mmmmmmint chip cake small round,22,g,50,mg,270,g,50,g,6,g,14,g,0,g,2,g,39,g,,
14,cold stone creamery,mocha ice cream gotta have it,47,g,180,mg,250,g,82,g,13,g,31,g,1.5,g,0,g,75,g,,
15,cold stone creamery,mocha ice cream kids,12,g,45,mg,60,g,21,g,3,g,8,g,0,g,0,g,19,g,,
16,cold stone creamery,mocha ice cream like it,20,g,75,mg,105,g,34,g,6,g,13,g,0.5,g,0,g,31,g,,
17,cold stone creamery,mocha ice cream love it,31,g,120,mg,170,g,55,g,9,g,21,g,1,g,0,g,50,g,,
18,cold stone creamery,mothers circus animal cookies,4.5,g,0,mg,30,g,11,g,1,g,4,g,0,g,0,g,7,g,,
19,cold stone creamery,mud pie mojo gotta have it,75,g,195,mg,570,g,123,g,23,g,37,g,1.5,g,3,g,101,g,,
20,cold stone creamery,mud pie mojo like it,41,g,80,mg,320,g,57,g,14,g,17,g,0.5,g,2,g,45,g,,
21,cold stone creamery,mud pie mojo love it,59,g,130,mg,480,g,94,g,19,g,27,g,1,g,3,g,75,g,,
22,cold stone creamery,nestle crunch bar,6,g,5,mg,35,g,15,g,1,g,3.5,g,0,g,0,g,12,g,,
23,cold stone creamery,nilla wafers,1.5,g,0,mg,30,g,5,g,0,g,0,g,0,g,0,g,3,g,,
24,cold stone creamery,nutella,8,g,0,mg,10,g,14,g,1,g,2.5,g,0,g,1,g,13,g,,
25,cold stone creamery,oatmeal cookie batter ice cream gotta have it,48,g,190,mg,330,g,93,g,14,g,30,g,1.5,g,1,g,79,g,,
26,cold stone creamery,oatmeal cookie batter ice cream kids,12,g,45,mg,85,g,23,g,3,g,8,g,0,g,0,g,20,g,,
27,cold stone creamery,oatmeal cookie batter ice cream like it,20,g,80,mg,140,g,39,g,6,g,13,g,0.5,g,0,g,33,g,,
28,cold stone creamery,oatmeal cookie batter ice cream love it,32,g,125,mg,220,g,62,g,9,g,20,g,1,g,1,g,53,g,,
29,cold stone creamery,oatmeal cookie batter yogurt gotta have it,0.5,g,0,mg,400,g,101,g,13,g,0,g,0,g,1,g,78,g,,
30,cold stone creamery,oatmeal cookie batter yogurt kids,0,g,0,mg,100,g,25,g,3,g,0,g,0,g,0,g,20,g,,
31,cold stone creamery,oatmeal cookie batter yogurt like it,0,g,0,mg,170,g,42,g,5,g,0,g,0,g,0,g,33,g,,
32,cold stone creamery,oatmeal cookie batter yogurt love it,0,g,0,mg,270,g,67,g,9,g,0,g,0,g,1,g,52,g,,
33,cold stone creamery,oh fudge shake with whipped topping 12 oz,49,g,145,mg,300,g,91,g,13,g,37,g,1,g,1,g,85,g,,
34,cold stone creamery,oh fudge shake with whipped topping 20 oz,76,g,240,mg,510,g,149,g,22,g,55,g,2,g,1,g,139,g,,
35,cold stone creamery,oh fudge shake 12 oz,39,g,145,mg,290,g,80,g,13,g,26,g,1,g,0,g,75,g,,
36,cold stone creamery,oh fudge shake 20 oz,66,g,240,mg,500,g,138,g,22,g,45,g,2,g,1,g,129,g,,
37,cold stone creamery,one smart brookie gotta have it,56,g,175,mg,870,g,173,g,17,g,31,g,1,g,2,g,122,g,,
38,cold stone creamery,one smart brookie like it,31,g,80,mg,550,g,104,g,9,g,16,g,0.5,g,2,g,69,g,,
39,cold stone creamery,one smart brookie love it,42,g,125,mg,690,g,134,g,13,g,23,g,1,g,2,g,92,g,,
40,cold stone creamery,orange dreamsicle ice cream gotta have it,49,g,190,mg,270,g,85,g,13,g,31,g,1.5,g,0,g,77,g,,
41,cold stone creamery,orange dreamsicle ice cream kids,12,g,50,mg,70,g,21,g,3,g,8,g,0,g,0,g,19,g,,
42,cold stone creamery,orange dreamsicle ice cream like it,20,g,80,mg,115,g,35,g,5,g,13,g,0.5,g,0,g,32,g,,
43,cold stone creamery,orange dreamsicle ice cream love it,32,g,130,mg,180,g,57,g,9,g,20,g,1,g,0,g,51,g,,
44,cold stone creamery,oreo cookies,4.5,g,0,mg,90,g,17,g,1,g,1.5,g,0,g,0,g,9,g,,
45,cold stone creamery,oreo cookies and cream extreme cake large round,17,g,50,mg,320,g,56,g,5,g,11,g,0,g,0,g,40,g,,
46,cold stone creamery,oreo cookies and cream extreme cake small rectangle,16,g,50,mg,320,g,53,g,5,g,10,g,0,g,0,g,37,g,,
47,cold stone creamery,oreo cookies and cream extreme cake small round,18,g,45,mg,350,g,61,g,5,g,11,g,0,g,0,g,42,g,,
48,cold stone creamery,oreo creme ice cream kids,19,g,40,mg,75,g,26,g,3,g,9,g,0,g,0,g,24,g,,
49,cold stone creamery,oreo overload gotta have it,66,g,195,mg,510,g,143,g,17,g,39,g,1.5,g,1,g,118,g,,
50,cold stone creamery,oreo overload like it,29,g,80,mg,230,g,65,g,7,g,17,g,0.5,g,1,g,54,g,,
51,cold stone creamery,oreo overload love it,49,g,130,mg,420,g,115,g,12,g,28,g,1,g,1,g,92,g,,
52,cold stone creamery,oreo pie crust,4,g,0,mg,70,g,11,g,1,g,1.5,g,0,g,0,g,5,g,,
53,cold stone creamery,our strawberry blonde gotta have it,53,g,185,mg,370,g,118,g,14,g,33,g,2.5,g,1,g,96,g,,
54,cold stone creamery,our strawberry blonde like it,25,g,75,mg,180,g,57,g,6,g,16,g,1.5,g,1,g,45,g,,
55,cold stone creamery,our strawberry blonde love it,37,g,125,mg,280,g,88,g,10,g,23,g,2.5,g,1,g,70,g,,
56,cold stone creamery,pb dough delight gotta have it,69,g,170,mg,1000,g,165,g,22,g,36,g,1.5,g,3,g,124,g,,
57,cold stone creamery,pb dough delight like it,33,g,70,mg,540,g,86,g,10,g,17,g,0.5,g,2,g,61,g,,
58,cold stone creamery,pb dough delight love it,52,g,115,mg,790,g,128,g,16,g,27,g,1,g,3,g,96,g,,
59,cold stone creamery,peach ice cream gotta have it,46,g,180,mg,280,g,96,g,12,g,29,g,1,g,0,g,88,g,,
60,cold stone creamery,peach ice cream kids,11,g,45,mg,70,g,24,g,3,g,7,g,0,g,0,g,22,g,,
61,cold stone creamery,peach ice cream like it,19,g,75,mg,115,g,40,g,5,g,12,g,0.5,g,0,g,37,g,,
62,cold stone creamery,peach ice cream love it,31,g,120,mg,190,g,64,g,8,g,19,g,1,g,0,g,59,g,,
63,cold stone creamery,peach pie filling,0,g,0,mg,5,g,8,g,0,g,0,g,0,g,0,g,6,g,,
64,cold stone creamery,peach yogurt gotta have it,0,g,0,mg,350,g,104,g,11,g,0,g,0,g,0,g,86,g,,
65,cold stone creamery,peach yogurt kids,0,g,0,mg,85,g,26,g,3,g,0,g,0,g,0,g,22,g,,
66,cold stone creamery,peach yogurt like it,0,g,0,mg,140,g,43,g,5,g,0,g,0,g,0,g,36,g,,
67,cold stone creamery,peach yogurt love it,0,g,0,mg,230,g,69,g,8,g,0,g,0,g,0,g,58,g,,
68,cold stone creamery,peanut butter,12,g,0,mg,100,g,5,g,5,g,2.5,g,0,g,1,g,3,g,,
69,cold stone creamery,peanut butter and jelly ice cream gotta have it,55,g,155,mg,400,g,106,g,16,g,28,g,2.5,g,1,g,88,g,,
70,cold stone creamery,peanut butter and jelly ice cream kids,14,g,40,mg,100,g,26,g,4,g,7,g,0,g,0,g,22,g,,
71,cold stone creamery,peanut butter and jelly ice cream like it,23,g,65,mg,170,g,44,g,7,g,12,g,1,g,0,g,37,g,,
72,cold stone creamery,peanut butter and jelly ice cream love it,36,g,105,mg,270,g,71,g,11,g,19,g,2,g,1,g,59,g,,
73,cold stone creamery,peanut butter cookie dough ice cream gotta have it,51,g,165,mg,650,g,109,g,16,g,28,g,1,g,1,g,85,g,,
74,cold stone creamery,peanut butter cookie dough ice cream kids,13,g,40,mg,160,g,27,g,4,g,7,g,0,g,0,g,21,g,,
75,cold stone creamery,peanut butter cookie dough ice cream like it,21,g,70,mg,270,g,45,g,7,g,12,g,0,g,0,g,35,g,,
76,cold stone creamery,peanut butter cookie dough ice cream love it,34,g,110,mg,430,g,73,g,11,g,19,g,1,g,1,g,57,g,,
77,cold stone creamery,peanut butter cup perfection gotta have it,71,g,185,mg,520,g,116,g,23,g,39,g,1.5,g,3,g,104,g,,
78,cold stone creamery,peanut butter cup perfection like it,38,g,80,mg,290,g,54,g,13,g,18,g,0.5,g,2,g,47,g,,
79,cold stone creamery,peanut butter cup perfection love it,55,g,125,mg,440,g,89,g,18,g,28,g,1,g,3,g,79,g,,
80,cold stone creamery,peanut butter ice cream gotta have it,60,g,180,mg,370,g,85,g,18,g,32,g,1,g,1,g,75,g,,
81,cold stone creamery,peanut butter ice cream kids,15,g,45,mg,90,g,21,g,5,g,8,g,0,g,0,g,19,g,,
82,cold stone creamery,peanut butter ice cream like it,25,g,75,mg,150,g,36,g,8,g,13,g,0.5,g,1,g,31,g,,
83,cold stone creamery,peanut butter ice cream love it,40,g,120,mg,250,g,57,g,12,g,21,g,1,g,1,g,50,g,,
