,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,donatos pizza,heat 10 cauliflower crust pizza,3.5,g,10,mg,200,g,5,g,4,g,2,g,0,g,1,g,1,g
1,donatos pizza,signature 12 famous thin crust chicken bruschetta pizza,6,g,15,mg,300,g,10,g,6,g,2.5,g,0,g,1,g,1,g
2,donatos pizza,signature 10 famous thin crust margherita pizza,5,g,10,mg,160,g,7,g,4,g,2,g,0,g,0,g,1,g
3,donatos pizza,signature 7 famous thin crust mariachi chicken pizza,3,g,15,mg,210,g,7,g,4,g,1.5,g,0,g,1,g,1,g
4,donatos pizza,signature 10 cauliflower crust the works pizza,5,g,15,mg,180,g,5,g,4,g,2,g,0,g,1,g,1,g
5,donatos pizza,signature 7 famous thin crust classic trio pizza,4,g,10,mg,220,g,6,g,4,g,1.5,g,0,g,1,g,1,g
6,donatos pizza,signature 10 cauliflower crust ultimate 4 cheese pizza,4,g,10,mg,140,g,5,g,4,g,2,g,0,g,0,g,1,g
7,donatos pizza,pepperoni 12 famous thin crust pizza,6,g,20,mg,320,g,10,g,6,g,2.5,g,0,g,1,g,1,g
8,donatos pizza,signature 12 famous thin crust ultimate 5 cheese pizza,6,g,20,mg,280,g,10,g,6,g,3,g,0,g,1,g,1,g
9,donatos pizza,classic 10 vegan crust pepperoni pizza,4,g,10,mg,160,g,8,g,3,g,1.5,g,0,g,0,g,1,g
10,donatos pizza,signature 7 famous thin crust margherita pizza,4.5,g,10,mg,140,g,6,g,4,g,2,g,0,g,0,g,1,g
11,donatos pizza,signature 14 thick crust founders favorite pizza,8,g,25,mg,590,g,16,g,10,g,3.5,g,0,g,1,g,2,g
12,donatos pizza,signature 10 famous thin crust the works pizza,4.5,g,15,mg,240,g,8,g,5,g,2,g,0,g,1,g,1,g
13,donatos pizza,signature 14 famous thin crust classic trio pizza,8,g,25,mg,390,g,12,g,8,g,3.5,g,0,g,1,g,1,g
14,donatos pizza,signature 10 famous thin crust ultimate 5 cheese pizza,4,g,10,mg,200,g,7,g,4,g,2,g,0,g,1,g,1,g
15,donatos pizza,signature 12 famous thin crust chicken spinach mozzarella pizza,6,g,20,mg,280,g,10,g,7,g,2.5,g,0,g,1,g,1,g
16,donatos pizza,signature 12 famous thin crust hawaiian pizza,5,g,15,mg,330,g,11,g,6,g,2,g,0,g,1,g,2,g
17,donatos pizza,signature 14 hand tossed serious meat with ground beef pizza,15,g,45,mg,870,g,33,g,19,g,6,g,0,g,3,g,4,g
18,donatos pizza,10 vegan crust skinny pizza with cheese,2,g,5,mg,100,g,8,g,2,g,1,g,0,g,1,g,1,g
19,donatos pizza,signature 10 vegan crust bourbon bbq chicken pizza,4,g,10,mg,200,g,9,g,3,g,1.5,g,0,g,1,g,2,g
20,donatos pizza,signature 10 cauliflower crust hawaiian pizza,4,g,10,mg,200,g,6,g,5,g,2,g,0,g,1,g,2,g
21,donatos pizza,signature 12 famous thin crust classic trio pizza,7,g,20,mg,350,g,10,g,7,g,3,g,0,g,1,g,1,g
22,donatos pizza,classic 14 thick crust serious cheese pizza,7,g,15,mg,380,g,16,g,9,g,3.5,g,0,g,1,g,2,g
23,donatos pizza,signature 10 famous thin crust founders favorite pizza,5,g,15,mg,350,g,7,g,5,g,2,g,0,g,1,g,1,g
24,donatos pizza,signature 12 hand tossed classic trio pizza,10,g,25,mg,490,g,24,g,11,g,4,g,0,g,2,g,2,g
25,donatos pizza,signature 10 cauliflower crust serious meat with ground beef pizza,6,g,20,mg,300,g,6,g,6,g,3,g,0,g,0,g,1,g
26,donatos pizza,classic 12 thick crust serious cheese pizza,6,g,15,mg,340,g,14,g,8,g,3,g,0,g,1,g,2,g
27,donatos pizza,classic 14 hand tossed pepperoni pizza,12,g,30,mg,640,g,33,g,15,g,5,g,0,g,2,g,3,g
28,donatos pizza,classic 7 famous thin crust serious cheese pizza,3.5,g,10,mg,180,g,6,g,4,g,1.5,g,0,g,1,g,1,g
29,donatos pizza,classic 7 thick crust serious cheese pizza,3.5,g,10,mg,190,g,8,g,4,g,1.5,g,0,g,1,g,1,g
30,donatos pizza,signature 14 thick crust mariachi beef pizza,6,g,20,mg,430,g,17,g,8,g,3,g,0,g,2,g,3,g
31,donatos pizza,signature 12 famous thin crust founders favorite pizza,7,g,25,mg,490,g,10,g,8,g,3,g,0,g,1,g,1,g
32,donatos pizza,signature 14 famous thin crust ultimate 4 cheese pizza,6,g,20,mg,310,g,11,g,7,g,3,g,0,g,1,g,1,g
33,donatos pizza,classic 10 vegan crust serious cheese pizza,3.5,g,10,mg,150,g,8,g,3,g,2,g,0,g,1,g,1,g
34,donatos pizza,signature 10 cauliflower crust double bacon pepperoni pizza,7,g,20,mg,290,g,6,g,6,g,3,g,0,g,0,g,1,g
35,donatos pizza,signature 12 hand tossed margherita pizza,9,g,20,mg,290,g,22,g,10,g,4,g,0,g,1,g,1,g
36,donatos pizza,signature 7 famous thin crust hot chicken pizza,4,g,10,mg,290,g,7,g,4,g,1.5,g,0,g,1,g,1,g
37,donatos pizza,signature 10 famous thin crust classic trio pizza,4.5,g,15,mg,240,g,7,g,5,g,2,g,0,g,1,g,1,g
38,donatos pizza,signature 12 gluten free crust chicken spinach mozzarella pizza,6,g,15,mg,160,g,10,g,6,g,3,g,0,g,1,g,1,g
39,donatos pizza,signature 14 thick crust serious meat with ground beef pizza,9,g,30,mg,560,g,16,g,11,g,3.5,g,0,g,1,g,2,g
40,donatos pizza,signature 12 thick crust chicken bruschetta pizza,6,g,15,mg,290,g,13,g,7,g,2.5,g,0,g,1,g,1,g
41,donatos pizza,signature 14 hand tossed chicken bruschetta pizza,10,g,25,mg,350,g,10,g,9,g,4,g,0,g,1,g,1,g
42,donatos pizza,signature 14 hand tossed classic trio pizza,14,g,35,mg,690,g,33,g,16,g,6,g,0,g,3,g,4,g
43,donatos pizza,signature 14 thick crust ultimate 4 cheese pizza,6,g,15,mg,340,g,16,g,8,g,3,g,0,g,1,g,2,g
44,donatos pizza,signature 7 famous thin crust serious meat with meatballs pizza,4.5,g,15,mg,280,g,6,g,5,g,2,g,0,g,0,g,1,g
45,donatos pizza,signature 7 famous thin crust very vegy pizza,2.5,g,5,mg,170,g,7,g,3,g,1,g,0,g,1,g,1,g
46,donatos pizza,signature 14 famous thin crust ultimate 5 cheese pizza,7,g,20,mg,320,g,12,g,7,g,3.5,g,0,g,1,g,1,g
47,donatos pizza,signature 7 famous thin crust double bacon pepperoni pizza,5,g,15,mg,270,g,6,g,5,g,2,g,0,g,0,g,1,g
48,donatos pizza,signature 7 thick crust double bacon pepperoni pizza,5,g,15,mg,280,g,8,g,6,g,2,g,0,g,1,g,1,g
49,donatos pizza,signature 7 thick crust ultimate 4 cheese pizza,3,g,5,mg,170,g,9,g,4,g,1.5,g,0,g,1,g,1,g
50,donatos pizza,signature 7 thick crust serious meat with ground beef pizza,4.5,g,15,mg,290,g,8,g,6,g,2,g,0,g,1,g,1,g
51,donatos pizza,signature 10 vegan crust double bacon pepperoni pizza,6,g,15,mg,250,g,8,g,5,g,2.5,g,0,g,0,g,1,g
52,donatos pizza,signature 140 cauliflower crust serious meat with meatballs pizza,6,g,20,mg,300,g,6,g,6,g,3,g,0,g,0,g,1,g
53,donatos pizza,classic 7 thick crust pepperoni pizza,3.5,g,10,mg,190,g,8,g,4,g,1.5,g,0,g,1,g,1,g
54,donatos pizza,signature 7 famous thin crust mariachi beef pizza,3,g,10,mg,190,g,6,g,4,g,1.5,g,0,g,1,g,1,g
55,donatos pizza,signature 10 famous thin crust very vegy pizza,3,g,10,mg,200,g,8,g,3,g,1.5,g,0,g,1,g,1,g
56,donatos pizza,signature 14 thick crust hawaiian pizza,6,g,15,mg,410,g,17,g,8,g,2,g,0,g,2,g,3,g
57,donatos pizza,signature 12 hand tossed classic trio pizza,10,g,25,mg,490,g,24,g,11,g,4,g,0,g,2,g,2,g
58,donatos pizza,signature 7 thick crust margherita pizza,4.5,g,10,mg,130,g,7,g,4,g,2,g,0,g,1,g,1,g
59,donatos pizza,signature 10 famous thin crust serious meat with meatballs pizza,6,g,20,mg,330,g,8,g,6,g,2.5,g,0,g,1,g,1,g
60,donatos pizza,signature 12 gluten free crust hawaiian pizza,5,g,10,mg,190,g,11,g,5,g,2,g,0,g,1,g,3,g
61,donatos pizza,signature 10 vegan crust classic trio pizza,4.5,g,10,mg,180,g,8,g,4,g,2,g,0,g,1,g,1,g
62,donatos pizza,signature 10 famous thin crust bourbon bbq bacon pizza,4,g,10,mg,260,g,9,g,4,g,1.5,g,0,g,1,g,1,g
63,donatos pizza,signature 7 thick crust hawaiian pizza,3,g,5,mg,190,g,9,g,4,g,1,g,0,g,1,g,1,g
64,donatos pizza,signature 12 gluten free crust ultimate 5 cheese pizza,6,g,15,mg,140,g,10,g,5,g,3.5,g,0,g,1,g,2,g
65,donatos pizza,pepperoni 7 famous thin crust pizza,4,g,10,mg,180,g,6,g,3,g,1.5,g,0,g,0,g,1,g
66,donatos pizza,signature 10 famous thin crust chicken bruschetta pizza,4.5,g,10,mg,210,g,7,g,4,g,1.5,g,0,g,0,g,1,g
67,donatos pizza,signature 10 famous thin crust chicken spinach mozzarella pizza,4.5,g,15,mg,210,g,7,g,5,g,2,g,0,g,0,g,1,g
68,donatos pizza,signature 14 hand tossed very vegy pizza,9,g,20,mg,590,g,34,g,13,g,4,g,0,g,3,g,4,g
69,donatos pizza,signature 10 famous thin crust serious meat with ground beef pizza,5,g,20,mg,320,g,7,g,6,g,2.5,g,0,g,1,g,1,g
70,donatos pizza,signature 14 hand tossed mariachi chicken pizza,11,g,35,mg,720,g,34,g,16,g,6,g,0,g,3,g,4,g
71,donatos pizza,chicken harvest entree salad with apple vinaigrette,37,g,80,mg,1220,g,42,g,28,g,9,g,0,g,6,g,30,g
72,donatos pizza,chicken caprese entree salad with balsamic vinaigrette,25,g,75,mg,1440,g,17,g,27,g,7,g,0,g,4,g,10,g
73,donatos pizza,italian chef entree salad with house italian dressing,42,g,60,mg,1390,g,12,g,19,g,11,g,0.5,g,4,g,6,g
74,donatos pizza,italian side salad with house italian dressing,31,g,20,mg,740,g,7,g,7,g,7,g,0.5,g,3,g,3,g
75,donatos pizza,caprese side salad with balsamic vinaigrette,18,g,10,mg,700,g,11,g,5,g,3.5,g,0,g,3,g,8,g
76,donatos pizza,chicken harvest entree salad with apple vinaigrette select locations,32,g,80,mg,1190,g,45,g,27,g,8,g,0,g,5,g,34,g
77,donatos pizza,big don italian sub with house italian dressing,33,g,80,mg,1870,g,60,g,31,g,11,g,0.5,g,4,g,6,g
78,donatos pizza,pepperoni calzone,51,g,155,mg,3330,g,108,g,52,g,20,g,1,g,6,g,17,g
79,donatos pizza,meatball sub,38,g,150,mg,2580,g,80,g,45,g,18,g,1.5,g,7,g,13,g
80,donatos pizza,fresh vegy sub,19,g,20,mg,1170,g,63,g,19,g,6,g,0,g,5,g,6,g
81,donatos pizza,big don italian sub with marinara,25,g,80,mg,1850,g,63,g,31,g,10,g,0.5,g,5,g,7,g
82,donatos pizza,hot chicken sub,42,g,95,mg,2680,g,73,g,40,g,14,g,0.5,g,4,g,4,g
83,donatos pizza,chicken bacon ranch sub,35,g,110,mg,1980,g,62,g,44,g,13,g,0.5,g,4,g,5,g
84,donatos pizza,steak hoagie sub with mushroom gravy,27,g,80,mg,1850,g,62,g,35,g,12,g,1.5,g,5,g,4,g
85,donatos pizza,steak hoagie sub with marinara sauce,27,g,80,mg,1820,g,63,g,35,g,12,g,1.5,g,6,g,5,g
86,donatos pizza,ham and smoked provolone sub,21,g,65,mg,1740,g,62,g,31,g,7,g,0,g,4,g,6,g
87,donatos pizza,steak hoagie sub with marinara sauce,27,g,80,mg,1820,g,63,g,35,g,12,g,1.5,g,6,g,5,g
88,donatos pizza,blue cheese dipping sauce for wings,21,g,25,mg,430,g,2,g,1,g,4,g,0,g,0,g,1,g
89,donatos pizza,ranch dipping sauce for wings,25,g,10,mg,420,g,2,g,1,g,4,g,0,g,0,g,1,g
90,donatos pizza,roasted garlic dry rub cauliflower chicken wings without dipping sauce side,6,g,0,mg,340,g,13,g,3,g,0.5,g,0,g,0,g,4,g
91,donatos pizza,plain cauliflower chicken wings without dipping sauce side,5,g,0,mg,140,g,11,g,3,g,0.5,g,0,g,0,g,3,g
92,donatos pizza,hot sauce cauliflower chicken wings without dipping sauce side,10,g,5,mg,940,g,12,g,3,g,1.5,g,0,g,0,g,3,g
93,donatos pizza,mild sauce cauliflower chicken wings without dipping sauce side,8,g,0,mg,920,g,15,g,3,g,1.5,g,0,g,1,g,4,g
94,donatos pizza,bbq sauce cauliflower chicken wings without dipping sauce side,6,g,0,mg,420,g,20,g,3,g,0.5,g,0,g,0,g,11,g
95,donatos pizza,wood fired chipotle dry rub cauliflower chicken wings without dipping sauce side,6,g,0,mg,420,g,12,g,3,g,0.5,g,0,g,0,g,3,g
96,donatos pizza,hot dry rub cauliflower chicken wings without dipping sauce side,6,g,0,mg,340,g,12,g,3,g,1,g,0,g,0,g,3,g
97,donatos pizza,sweet thai chili cauliflower chicken wings without dipping sauce side,6,g,0,mg,320,g,26,g,3,g,1,g,0,g,0,g,16,g
98,donatos pizza,sweet thai chili cauliflower chicken wings without dipping sauce side select locations,6,g,0,mg,320,g,26,g,3,g,1,g,0,g,0,g,16,g
99,donatos pizza,italian parmesan dry rub cauliflower chicken wings without dipping sauce side,8,g,10,mg,250,g,12,g,5,g,2,g,0,g,0,g,3,g
100,donatos pizza,10 inch cauliflower crust,37,g,95,mg,1600,g,59,g,36,g,19,g,0.5,g,5,g,9,g
101,donatos pizza,10 inch famous thin crust,36,g,115,mg,2460,g,98,g,45,g,17,g,1,g,8,g,11,g
102,donatos pizza,10 inch vegan crust crust and sauce only no cheese,4,g,0,mg,630,g,95,g,4,g,0,g,0,g,3,g,12,g
103,donatos pizza,12 inch famous thick crust,53,g,120,mg,3940,g,194,g,82,g,25,g,1.5,g,16,g,25,g
104,donatos pizza,12 inch famous thin crust,52,g,170,mg,3520,g,138,g,64,g,25,g,1.5,g,11,g,15,g
105,donatos pizza,12 inch gluten free crust,55,g,115,mg,1600,g,140,g,48,g,29,g,1.5,g,9,g,22,g
106,donatos pizza,12 inch hand tossed crust,46,g,105,mg,3140,g,184,g,69,g,21,g,1,g,13,g,18,g
107,donatos pizza,14 inch famous thick crust,73,g,160,mg,5430,g,267,g,112,g,35,g,2,g,22,g,34,g
108,donatos pizza,14 inch famous thin crust,71,g,235,mg,4860,g,191,g,89,g,35,g,2,g,15,g,21,g
109,donatos pizza,14 inch hand tossed crust,64,g,145,mg,4380,g,251,g,95,g,30,g,2,g,18,g,26,g
110,donatos pizza,7 inch famous thick crust,17,g,35,mg,1250,g,63,g,26,g,8,g,0,g,5,g,8,g
111,donatos pizza,7 inch famous thin crust,17,g,55,mg,1160,g,47,g,21,g,8,g,0,g,4,g,5,g
112,donatos pizza,asiago cheese bread,9,g,20,mg,540,g,28,g,12,g,4.5,g,0,g,2,g,3,g
113,donatos pizza,asiago cheese 10 inch pizza,12,g,25,mg,200,g,1,g,9,g,7,g,0,g,0,g,0,g
114,donatos pizza,asiago cheese 12 inch pizza,16,g,35,mg,270,g,1,g,13,g,10,g,0.5,g,0,g,0,g
115,donatos pizza,asiago cheese 14 inch pizza,23,g,50,mg,400,g,2,g,19,g,15,g,1,g,0,g,0,g
116,donatos pizza,asiago cheese 7 inch pizza,6,g,10,mg,100,g,0,g,5,g,3.5,g,0,g,0,g,0,g
117,donatos pizza,banana peppers 10 inch pizza,0,g,0,mg,930,g,2,g,0,g,0,g,0,g,1,g,1,g
118,donatos pizza,banana peppers 12 inch pizza,0,g,0,mg,1320,g,4,g,1,g,0,g,0,g,1,g,2,g
119,donatos pizza,banana peppers 14 inch pizza,0,g,0,mg,1850,g,5,g,1,g,0,g,0,g,1,g,2,g
120,donatos pizza,banana peppers 7 inch pizza,0,g,0,mg,600,g,2,g,0,g,0,g,0,g,0,g,1,g
