,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
798,starbucks,eggnog latte with 2 milk venti,26,g,190,mg,330,g,74,g,22,g,16,g,1,g,1,g,68,g,,
799,starbucks,eggnog latte with almond milk grande,19,g,135,mg,240,g,53,g,14,g,11,g,0.5,g,1,g,47,g,,
800,starbucks,eggnog latte with almond milk short,10,g,65,mg,120,g,27,g,7,g,5,g,0,g,1,g,24,g,,
801,starbucks,eggnog latte with almond milk tall,16,g,110,mg,190,g,42,g,11,g,9,g,0,g,1,g,38,g,,
802,starbucks,eggnog latte with almond milk venti,26,g,180,mg,320,g,69,g,18,g,14,g,0.5,g,2,g,63,g,,
803,starbucks,eggnog latte with coconut milk grande,20,g,135,mg,240,g,55,g,13,g,13,g,0.5,g,1,g,50,g,,
804,starbucks,eggnog latte with coconut milk short,10,g,65,mg,120,g,27,g,7,g,7,g,0,g,0,g,25,g,,
805,starbucks,eggnog latte with coconut milk tall,16,g,110,mg,190,g,43,g,10,g,11,g,0,g,1,g,40,g,,
806,starbucks,eggnog latte with coconut milk venti,27,g,180,mg,310,g,72,g,17,g,17,g,0.5,g,1,g,65,g,,
807,starbucks,eggnog latte with nonfat milk grande,18,g,140,mg,240,g,57,g,17,g,11,g,0.5,g,1,g,52,g,,
808,starbucks,eggnog latte with nonfat milk short,9,g,70,mg,120,g,28,g,8,g,5,g,0,g,0,g,26,g,,
809,starbucks,eggnog latte with nonfat milk tall,14,g,110,mg,190,g,45,g,13,g,9,g,0,g,1,g,42,g,,
810,starbucks,eggnog latte with nonfat milk venti,23,g,180,mg,320,g,74,g,22,g,14,g,1,g,1,g,68,g,,
811,starbucks,eggnog latte with soy milk grande,19,g,135,mg,240,g,58,g,16,g,11,g,0.5,g,1,g,52,g,,
812,starbucks,eggnog latte with soy milk short,10,g,65,mg,120,g,29,g,8,g,5,g,0,g,1,g,26,g,,
813,starbucks,eggnog latte with soy milk tall,16,g,110,mg,190,g,46,g,13,g,9,g,0,g,1,g,42,g,,
814,starbucks,eggnog latte with soy milk venti,26,g,180,mg,310,g,76,g,21,g,14,g,0.5,g,2,g,68,g,,
815,starbucks,eggnog latte with whole milk grande,21,g,150,mg,240,g,57,g,17,g,13,g,0.5,g,1,g,52,g,,
816,starbucks,eggnog latte with whole milk short,11,g,75,mg,120,g,28,g,8,g,6,g,0,g,0,g,26,g,,
817,starbucks,eggnog latte with whole milk tall,17,g,120,mg,190,g,45,g,13,g,10,g,0.5,g,1,g,42,g,,
818,starbucks,eggnog latte with whole milk venti,28,g,195,mg,320,g,74,g,22,g,17,g,1,g,1,g,68,g,,
819,starbucks,eggs and cheese protein box,24,g,385,mg,530,g,40,g,23,g,7,g,0,g,5,g,21,g,,
820,starbucks,espresso con panna doppio,2.5,g,10,mg,0,g,3,g,1,g,1.5,g,0,g,0,g,1,g,,
821,starbucks,espresso con panna quad,2.5,g,10,mg,0,g,5,g,2,g,1.5,g,0,g,0,g,1,g,,
822,starbucks,espresso con panna solo,2.5,g,10,mg,0,g,2,g,0,g,1.5,g,0,g,0,g,1,g,,
823,starbucks,espresso con panna triple,2.5,g,10,mg,0,g,4,g,1,g,1.5,g,0,g,0,g,1,g,,
824,starbucks,espresso frappuccino light grande,0,g,0,mg,200,g,25,g,3,g,0,g,0,g,0,g,23,g,,
825,starbucks,espresso frappuccino light tall,0,g,0,mg,130,g,17,g,2,g,0,g,0,g,0,g,16,g,,
826,starbucks,espresso frappuccino light venti,0,g,0,mg,280,g,35,g,5,g,0,g,0,g,0,g,33,g,,
827,starbucks,espresso frappuccino with 2 milk grande,1.5,g,5,mg,210,g,50,g,3,g,0.5,g,0,g,0,g,48,g,,
828,starbucks,espresso frappuccino with 2 milk tall,1,g,5,mg,140,g,34,g,2,g,0,g,0,g,0,g,33,g,,
829,starbucks,espresso frappuccino with 2 milk venti,2.5,g,10,mg,280,g,65,g,5,g,1,g,0,g,0,g,63,g,,
830,starbucks,espresso frappuccino with almond milk grande,1,g,0,mg,210,g,48,g,1,g,0,g,0,g,0,g,47,g,,
831,starbucks,espresso frappuccino with almond milk tall,1,g,0,mg,140,g,33,g,1,g,0,g,0,g,0,g,31,g,,
832,starbucks,espresso frappuccino with almond milk venti,2,g,0,mg,280,g,62,g,1,g,0,g,0,g,1,g,60,g,,
833,starbucks,espresso frappuccino with coconut milk grande,1.5,g,0,mg,200,g,50,g,1,g,1.5,g,0,g,0,g,48,g,,
834,starbucks,espresso frappuccino with coconut milk tall,1,g,0,mg,135,g,34,g,1,g,1,g,0,g,0,g,32,g,,
835,starbucks,espresso frappuccino with coconut milk venti,2.5,g,0,mg,270,g,64,g,1,g,2.5,g,0,g,0,g,62,g,,
836,starbucks,espresso frappuccino with nonfat milk grande,0,g,0,mg,200,g,50,g,3,g,0,g,0,g,0,g,49,g,,
837,starbucks,espresso frappuccino with nonfat milk tall,0,g,0,mg,135,g,34,g,2,g,0,g,0,g,0,g,33,g,,
838,starbucks,espresso frappuccino with nonfat milk venti,0,g,0,mg,270,g,65,g,5,g,0,g,0,g,0,g,63,g,,
839,starbucks,espresso frappuccino with soy milk grande,1,g,0,mg,200,g,51,g,3,g,0,g,0,g,0,g,49,g,,
840,starbucks,espresso frappuccino with soy milk tall,1,g,0,mg,135,g,35,g,2,g,0,g,0,g,0,g,33,g,,
841,starbucks,espresso frappuccino with soy milk venti,2,g,0,mg,270,g,67,g,4,g,0,g,0,g,1,g,64,g,,
842,starbucks,espresso frappuccino with whole milk grande,2.5,g,5,mg,200,g,50,g,3,g,1.5,g,0,g,0,g,48,g,,
843,starbucks,espresso frappuccino with whole milk tall,1.5,g,5,mg,140,g,34,g,2,g,1,g,0,g,0,g,33,g,,
844,starbucks,espresso frappuccino with whole milk venti,4,g,10,mg,270,g,65,g,4,g,2,g,0,g,0,g,63,g,,
845,starbucks,espresso macchiato with 2 milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
846,starbucks,espresso macchiato with 2 milk quad,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,0,g,0,g,,
847,starbucks,espresso macchiato with 2 milk solo,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
848,starbucks,espresso macchiato with 2 milk triple,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,0,g,,
849,starbucks,espresso macchiato with almond milk doppio,0,g,0,mg,0,g,2,g,1,g,0,g,0,g,0,g,0,g,,
