,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,mr goodcents,bologna 4 white bread sub with standard dress,24,g,35,mg,970,g,31,g,12,g,8,g,0.5,g,3,g,3,g
1,mr goodcents,chipotle cheesesteak without meat 8 toasted white bread sub,17,g,30,mg,830,g,57,g,18,g,6,g,0,g,3,g,4,g
2,mr goodcents,chipotle chicken cheesesteak 12 toasted white bread sub,32,g,185,mg,2310,g,84,g,66,g,12,g,0,g,4,g,7,g
3,mr goodcents,meatball 12 toasted white bread sub,42,g,215,mg,2880,g,100,g,67,g,18,g,3,g,9,g,3,g
4,mr goodcents,ham 8 white bread sub with standard dress,21,g,35,mg,1650,g,65,g,23,g,3.5,g,0,g,5,g,9,g
5,mr goodcents,pepperoni 8 white bread sub with standard dress,56,g,105,mg,2190,g,58,g,27,g,20,g,0,g,5,g,4,g
6,mr goodcents,chipotle cheesesteak without meat 12 toasted white bread sub,25,g,45,mg,1190,g,82,g,26,g,10,g,0,g,4,g,7,g
7,mr goodcents,bologna 8 white bead sub with standard dress,41,g,55,mg,1590,g,60,g,21,g,12,g,1,g,5,g,4,g
8,mr goodcents,pepperoni 6 white bread sub with standard dress,38,g,70,mg,1530,g,42,g,19,g,13,g,0,g,4,g,3,g
9,mr goodcents,ultimate club 4 white bread sub,17,g,40,mg,1090,g,32,g,18,g,4,g,0,g,3,g,3,g
10,mr goodcents,centsable 6 white bread sub with standard dress,22,g,30,mg,1150,g,45,g,15,g,5,g,0,g,4,g,5,g
11,mr goodcents,slow roasted roast beef 8 white bread sub with standard dress,19,g,40,mg,1700,g,58,g,27,g,3.5,g,0,g,5,g,4,g
