,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,subway,loaded baked potato soup,13,g,35,mg,800,g,15,g,5,g,7,g,0,g,1,g,4,g
1,subway,beef chili with beans,22,g,71,mg,800,g,20,g,21,g,8,g,1.5,g,5,g,6,g
2,subway,tomato basil soup,6,g,20,mg,700,g,15,g,4,g,3.5,g,0,g,2,g,7,g
3,subway,creamy chicken and dumpling soup,4.5,g,35,mg,740,g,20,g,8,g,2,g,0,g,3,g,3,g
4,subway,creamy chicken and wild rice soup,11,g,40,mg,820,g,16,g,7,g,6,g,0.5,g,1,g,3,g
5,subway,thai coconut soup,13,g,25,mg,80,g,17,g,5,g,3,g,0,g,1,g,7,g
6,subway,black bean soup,1,g,0,mg,860,g,39,g,12,g,0,g,0,g,15,g,6,g
7,subway,poblano corn chowder,7,g,20,mg,560,g,18,g,5,g,4,g,0.5,g,2,g,7,g
8,subway,french onion with cheese and bread,6,g,15,mg,940,g,19,g,5,g,3.5,g,0,g,1,g,1,g
9,subway,chicken tortilla soup,4.5,g,10,mg,660,g,12,g,6,g,1,g,0,g,2,g,3,g
10,subway,clam chowder soup,11,g,30,mg,850,g,20,g,5,g,7,g,0.5,g,2,g,3,g
11,subway,bagel,1.5,g,0,mg,560,g,56,g,11,g,0,g,0,g,2,g,1,g
12,subway,steak and cheese on tomato basil wrap,19,g,90,mg,2030,g,59,g,41,g,9,g,1,g,3,g,5,g
13,subway,turkey breast on spinach wrap,10,g,40,mg,1760,g,57,g,28,g,4,g,0,g,3,g,4,g
14,subway,veggie delite on spinach wrap,8,g,0,mg,800,g,56,g,10,g,3,g,0,g,4,g,5,g
15,subway,tuna on tomato basil wrap,54,g,75,mg,1330,g,53,g,33,g,11,g,0.5,g,3,g,3,g
16,subway,sweet onion chicken teriyaki on tomato basil wrap,12,g,100,mg,1630,g,71,g,42,g,4,g,0,g,4,g,14,g
17,subway,oven roasted chicken breast on spinach wrap,13,g,90,mg,1460,g,56,g,38,g,5,g,0,g,4,g,5,g
18,subway,rotisserie style chicken caesar on spinach wrap,34,g,135,mg,1900,g,54,g,55,g,10,g,0.5,g,3,g,4,g
19,subway,subway club on spinach wrap,13,g,75,mg,1920,g,56,g,39,g,5,g,0,g,4,g,5,g
20,subway,turkey bacon and guacamole on tomato basil wrap,42,g,75,mg,2960,g,62,g,43,g,13,g,0.5,g,5,g,6,g
21,subway,chicken and bacon ranch on tomato basil wrap,42,g,155,mg,2380,g,56,g,60,g,16,g,1,g,4,g,5,g
22,subway,spicy italian on tomato basil wrap,52,g,105,mg,3140,g,56,g,32,g,20,g,1,g,4,g,6,g
23,subway,rotisserie style chicken on spinach wrap,15,g,110,mg,1560,g,54,g,51,g,5,g,0,g,3,g,4,g
