,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
524,pizza hut,marinara dipping cup 2 oz,0,g,0,mg,190,g,6,g,1,g,0,g,0,g,1,g,4,g,,
525,pizza hut,marinara dipping sauce,0,g,0,mg,290,g,9,g,1,g,0,g,0,g,2,g,6,g,,
526,pizza hut,meat eater small express hand tossed pizza,14,g,40,mg,650,g,33,g,16,g,7,g,0,g,2,g,1,g,,
527,pizza hut,meat lovers 18 inch slice,23,g,60,mg,1100,g,51,g,22,g,10,g,0,g,4,g,3,g,,
528,pizza hut,meat lovers big new yorker slice,21,g,50,mg,950,g,48,g,20,g,8,g,0,g,3,g,2,g,,
529,pizza hut,meat lovers express personal pan pizza,12,g,25,mg,470,g,18,g,9,g,4.5,g,0,g,1,g,2,g,,
530,pizza hut,meat lovers heart shape pizza,115,g,280,mg,4620,g,155,g,91,g,47,g,2,g,13,g,10,g,,
531,pizza hut,meat lovers large hand tossed slice,21,g,45,mg,830,g,34,g,17,g,8,g,0,g,3,g,2,g,,
532,pizza hut,meat lovers large original pan slice,27,g,50,mg,940,g,37,g,19,g,10,g,0,g,2,g,2,g,,
533,pizza hut,meat lovers large original stuffed crust slice,24,g,60,mg,960,g,35,g,19,g,10,g,0,g,2,g,2,g,,
534,pizza hut,meat lovers large thin n crispy slice,20,g,50,mg,880,g,29,g,17,g,9,g,0,g,2,g,4,g,,
535,pizza hut,meat lovers medium hand tossed slice,15,g,30,mg,590,g,26,g,12,g,6,g,0,g,2,g,1,g,,
536,pizza hut,meat lovers medium original pan slice,17,g,35,mg,640,g,28,g,13,g,6,g,0,g,2,g,1,g,,
537,pizza hut,meat lovers medium thin n crispy slice,14,g,35,mg,630,g,22,g,12,g,6,g,0,g,2,g,3,g,,
538,pizza hut,meat lovers personal pan pizza slice,12,g,25,mg,460,g,18,g,9,g,4.5,g,0,g,1,g,2,g,,
539,pizza hut,meat lovers rectangle slice,16,g,30,mg,660,g,29,g,13,g,6,g,0,g,2,g,1,g,,
540,pizza hut,meat lovers small express hand tossed pizza,18,g,40,mg,670,g,32,g,15,g,7,g,0,g,2,g,1,g,,
541,pizza hut,meat lovers small hand tossed slice,9,g,20,mg,370,g,17,g,7,g,3.5,g,0,g,1,g,1,g,,
542,pizza hut,meat lovers small thin n crispy slice,8,g,20,mg,380,g,13,g,7,g,3.5,g,0,g,1,g,2,g,,
543,pizza hut,meat lovers udis gluten free crust,9,g,20,mg,360,g,14,g,6,g,3.5,g,0,g,1,g,2,g,,
544,pizza hut,meatball sub sandwich w potato chips,56,g,130,mg,2890,g,100,g,50,g,19,g,1,g,6,g,12,g,,
545,pizza hut,meatball sub sandwich w straight cut fries,70,g,130,mg,3690,g,144,g,51,g,22,g,1.5,g,9,g,13,g,,
546,pizza hut,meaty marinara buffet,111,g,205,mg,4430,g,213,g,93,g,40,g,4.5,g,15,g,39,g,,
547,pizza hut,meaty marinara bake with garlic bread,38,g,85,mg,1500,g,60,g,32,g,17,g,1.5,g,4,g,8,g,,
548,pizza hut,meaty marinara bake with roasted vegetables with garlic bread,40,g,85,mg,1510,g,64,g,33,g,17,g,1.5,g,5,g,9,g,,
549,pizza hut,michelob ultra,0,g,0,mg,15,g,3,g,1,g,0,g,0,g,0,g,0,g,,
550,pizza hut,miller,0,g,0,mg,10,g,13,g,1,g,0,g,0,g,0,g,0,g,,
551,pizza hut,miller lite,0,g,0,mg,5,g,3,g,1,g,0,g,0,g,0,g,0,g,,
552,pizza hut,mist twst 2 l,0,g,0,mg,200,g,218,g,0,g,0,g,0,g,0,g,218,g,,
553,pizza hut,mist twst 20 fl oz,0,g,0,mg,55,g,65,g,0,g,0,g,0,g,0,g,65,g,,
554,pizza hut,mountain dew 2 l,0,g,0,mg,340,g,257,g,0,g,0,g,0,g,0,g,257,g,,
555,pizza hut,mountain dew 20 fl oz,0,g,0,mg,105,g,77,g,0,g,0,g,0,g,0,g,77,g,,
556,pizza hut,nacho cheese sauce dipping cup 2 oz,6,g,0,mg,330,g,7,g,1,g,1,g,0,g,0,g,2,g,,
557,pizza hut,nacho cheese sauce souffle cup 3 oz,10,g,5,mg,500,g,10,g,1,g,1,g,0,g,0,g,3,g,,
558,pizza hut,nashville hot bone in wing each,5,g,45,mg,320,g,4,g,9,g,1.5,g,0,g,0,g,1,g,,
559,pizza hut,nashville hot bone out wing each,4.5,g,10,mg,290,g,9,g,5,g,1,g,0,g,0,g,1,g,,
560,pizza hut,new york style cheesecake,57,g,290,mg,750,g,69,g,14,g,32,g,2.5,g,2,g,53,g,,
561,pizza hut,new york style cheesecake with apple sauce,57,g,290,mg,760,g,108,g,14,g,32,g,2.5,g,3,g,86,g,,
562,pizza hut,new york style cheesecake with blueberry sauce,57,g,290,mg,760,g,100,g,14,g,32,g,2.5,g,4,g,77,g,,
