,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,peets coffee and tea,sugar free hot chocolate with non fat milk without whipped cream,1,g,5,mg,375,g,65,g,17,g,1,g,0,g,3,g,21,g,,
1,peets coffee and tea,iced traditional havana cappuccino with non fat milk without whipped cream,2,g,6,mg,65,g,15,g,5,g,1,g,0,g,0,g,15,g,,
2,peets coffee and tea,iced vanilla latte with whole milk without whipped cream,10,g,40,mg,160,g,40,g,10,g,6,g,0,g,0,g,40,g,,
3,peets coffee and tea,white chocolate mocha with soy milk without whipped cream,5,g,0,mg,365,g,40,g,9,g,3,g,0,g,0,g,35,g,,
4,peets coffee and tea,iced sugar free vanilla latte with soy milk without whipped cream,4,g,0,mg,290,g,10,g,6,g,0,g,0,g,0,g,8,g,,
5,peets coffee and tea,cafe au lait with soy milk without whipped cream,2,g,10,mg,115,g,5,g,3,g,0,g,0,g,0,g,3,g,,
6,peets coffee and tea,caffe con panna,6,g,25,mg,0,g,0,g,0,g,4,g,0,g,0,g,1,g,,
7,peets coffee and tea,iced matcha green tea latte with soy milk without whipped cream,3,g,0,mg,230,g,20,g,6,g,0,g,0,g,1,g,18,g,,
8,peets coffee and tea,dark chocolate pumpkin mocha with 2 milk without whipped cream,11,g,30,mg,221,g,57,g,18,g,7,g,0,g,4,g,50,g,,
9,peets coffee and tea,iced mocha with soy milk without whipped cream,4,g,0,mg,300,g,30,g,7,g,0,g,0,g,0,g,25,g,,
10,peets coffee and tea,egg and cheddar sandwich,8,g,55,mg,560,g,23,g,15,g,5,g,0,g,4,g,2,g,,
11,peets coffee and tea,chicken chorizo flatbread,14,g,150,mg,670,g,23,g,20,g,6,g,0,g,2,g,4,g,,
12,peets coffee and tea,bacon and cheddar sandwich,21,g,140,mg,860,g,33,g,19,g,8,g,0,g,1,g,2,g,,
13,peets coffee and tea,maple chicken sausage sandwich,10,g,75,mg,860,g,23,g,23,g,4.5,g,0,g,1,g,4,g,,
14,peets coffee and tea,smoked ham and gouda english muffin sandwich,11,g,140,mg,860,g,27,g,21,g,5,g,0,g,4,g,3,g,,
15,peets coffee and tea,kale and goat cheese flatbread,9,g,15,mg,420,g,23,g,12,g,2.5,g,0,g,3,g,3,g,,
16,peets coffee and tea,lentil salad northern california grab and go,11,g,5,mg,600,g,35,g,15,g,2,g,0,g,13,g,7,g,,
17,peets coffee and tea,fruit bowl southern california grab and go,0,g,0,mg,10,g,21,g,1,g,0,g,0,g,4,g,16,g,,
18,peets coffee and tea,cage free hardboiled egg northern california grab and go,4,g,190,mg,55,g,1,g,6,g,2,g,0,g,0,g,0,g,,
19,peets coffee and tea,herb roasted turkey sandwich southern california grab and go,35,g,65,mg,970,g,37,g,27,g,6,g,0,g,4,g,4,g,,
20,peets coffee and tea,black forest ham sandwich southern california grab and go,36,g,65,mg,1000,g,43,g,30,g,7,g,0,g,5,g,8,g,,
21,peets coffee and tea,fruit bowl illinois grab and go,0,g,0,mg,10,g,21,g,1,g,0,g,0,g,4,g,16,g,,
22,peets coffee and tea,lentil salad illinois grab and go,13,g,15,mg,580,g,50,g,21,g,4,g,0,g,12,g,5,g,,
23,peets coffee and tea,caesar salad northern california grab and go,35,g,15,mg,540,g,13,g,4,g,3,g,0,g,3,g,0,g,,
24,peets coffee and tea,turkey sandwich northern california grab and go,22,g,60,mg,960,g,44,g,32,g,6,g,0,g,5,g,0,g,,
25,peets coffee and tea,blueberry greek yogurt parfait northern california grab and go,9,g,5,mg,110,g,54,g,15,g,3,g,0,g,5,g,29,g,,
26,peets coffee and tea,herb roasted turkey sandwich illinois grab and go,35,g,65,mg,970,g,37,g,27,g,6,g,0,g,4,g,4,g,,
27,peets coffee and tea,roasted vegetable sandwich southern california grab and go,24,g,20,mg,2000,g,43,g,14,g,4,g,0,g,6,g,4,g,,
28,peets coffee and tea,fruit bowl northern california grab and go,0,g,0,mg,10,g,19,g,2,g,0,g,0,g,3,g,13,g,,
29,peets coffee and tea,black forest ham sandwich illinois grab and go,36,g,65,mg,1000,g,43,g,30,g,7,g,0,g,5,g,8,g,,
30,peets coffee and tea,meyer lemon greek yogurt parfait illinois grab and go,2,g,10,mg,230,g,59,g,17,g,0,g,0,g,1,g,43,g,,
31,peets coffee and tea,orzo salad illinois grab and go,12,g,0,mg,790,g,57,g,9,g,1,g,0,g,4,g,8,g,,
32,peets coffee and tea,lentil salad southern california grab and go,13,g,15,mg,580,g,50,g,21,g,4,g,0,g,12,g,5,g,,
33,peets coffee and tea,hard boiled egg illinois grab and go,5,g,190,mg,65,g,1,g,6,g,2,g,0,g,0,g,1,g,,
