,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,starbucks,strawberries and creme frappuccino with nonfat milk and whip venti,11,g,45,mg,280,g,73,g,7,g,7,g,0,g,0,g,70,g,,
1,starbucks,strawberries and creme frappuccino with soy milk and no whip grande,2,g,0,mg,190,g,55,g,3,g,0,g,0,g,1,g,52,g,,
2,starbucks,strawberries and creme frappuccino with soy milk and no whip tall,1.5,g,0,mg,140,g,40,g,3,g,0,g,0,g,1,g,37,g,,
3,starbucks,strawberries and creme frappuccino with soy milk and no whip venti,3,g,0,mg,260,g,72,g,5,g,0,g,0,g,1,g,68,g,,
4,starbucks,strawberries and creme frappuccino with soy milk and whip grande,13,g,40,mg,200,g,58,g,4,g,7,g,0,g,1,g,54,g,,
5,starbucks,strawberries and creme frappuccino with soy milk and whip tall,9,g,30,mg,150,g,42,g,3,g,5,g,0,g,1,g,39,g,,
6,starbucks,strawberries and creme frappuccino with soy milk and whip venti,14,g,40,mg,270,g,75,g,6,g,7,g,0,g,1,g,71,g,,
7,starbucks,strawberries and creme frappuccino with whole milk and no whip grande,4,g,10,mg,200,g,53,g,4,g,2,g,0,g,0,g,51,g,,
8,starbucks,strawberries and creme frappuccino with whole milk and no whip tall,3,g,10,mg,140,g,38,g,3,g,1.5,g,0,g,0,g,37,g,,
9,starbucks,strawberries and creme frappuccino with whole milk and no whip venti,6,g,15,mg,270,g,69,g,6,g,3,g,0,g,0,g,68,g,,
10,starbucks,strawberries and creme frappuccino with whole milk and whip grande,15,g,55,mg,210,g,56,g,4,g,9,g,0,g,0,g,54,g,,
11,starbucks,strawberries and creme frappuccino with whole milk and whip tall,11,g,40,mg,150,g,40,g,3,g,7,g,0,g,0,g,39,g,,
12,starbucks,strawberries and creme frappuccino with whole milk and whip venti,17,g,60,mg,280,g,73,g,6,g,10,g,0.5,g,0,g,70,g,,
13,starbucks,strawberry acai starbucks refreshers beverage grande,0,g,0,mg,15,g,22,g,0,g,0,g,0,g,1,g,20,g,,
14,starbucks,strawberry acai starbucks refreshers beverage tall,0,g,0,mg,10,g,18,g,0,g,0,g,0,g,1,g,16,g,,
15,starbucks,strawberry acai starbucks refreshers beverage trenta,0,g,0,mg,30,g,45,g,1,g,0,g,0,g,2,g,41,g,,
16,starbucks,strawberry acai starbucks refreshers beverage venti,0,g,0,mg,25,g,32,g,0,g,0,g,0,g,1,g,30,g,,
17,starbucks,strawberry cake pop,9,g,10,mg,115,g,23,g,2,g,4.5,g,0,g,0,g,18,g,,
18,starbucks,strawberry smoothie with 2 milk,2,g,5,mg,130,g,60,g,16,g,1,g,0,g,7,g,41,g,,
19,starbucks,strawberry smoothie with almond milk,1.5,g,5,mg,130,g,58,g,14,g,0,g,0,g,7,g,40,g,,
20,starbucks,strawberry smoothie with coconut milk,2,g,5,mg,125,g,59,g,14,g,1,g,0,g,7,g,41,g,,
21,starbucks,strawberry smoothie with nonfat milk,1,g,5,mg,125,g,60,g,16,g,0,g,0,g,7,g,41,g,,
22,starbucks,strawberry smoothie with soy milk,1.5,g,5,mg,125,g,60,g,15,g,0,g,0,g,7,g,42,g,,
23,starbucks,strawberry smoothie with whole milk,2.5,g,10,mg,125,g,60,g,15,g,1,g,0,g,7,g,41,g,,
