,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,jacks,bacon egg and cheese biscuit,36,g,200,mg,1310,g,32,g,17,g,11,g,0,g,1,g,0,g,,,,
1,jacks,biscuit with butter,22,g,5,mg,700,g,32,g,5,g,5,g,0,g,1,g,0,g,,,,
2,jacks,side of sausage gravy,17,g,15,mg,780,g,13,g,6,g,4.5,g,0,g,0,g,0,g,,,,
3,jacks,sausage patty,15,g,40,mg,530,g,1,g,7,g,5,g,0,g,0,g,0,g,,,,
4,jacks,grits,10,g,0,mg,320,g,13,g,1,g,1.5,g,0,g,1,g,0,g,,,,
5,jacks,bologna biscuit,27,g,30,mg,1150,g,34,g,10,g,8,g,0,g,1,g,0,g,,,,
6,jacks,side of bacon 2 slices,7,g,20,mg,310,g,0,g,4,g,2.5,g,0,g,0,g,0,g,,,,
7,jacks,ham biscuit,26,g,35,mg,1280,g,32,g,16,g,7,g,0,g,1,g,0,g,,,,
8,jacks,pancakes 3 without syrup,13,g,10,mg,300,g,19,g,3,g,2,g,0,g,1,g,0,g,,,,
9,jacks,hash browns large,36,g,0,mg,750,g,45,g,5,g,8,g,0,g,5,g,0,g,,,,
10,jacks,smoked sausage biscuit,31,g,45,mg,1170,g,33,g,12,g,10,g,0,g,1,g,0,g,,,,
11,jacks,single gravy biscuit with egg,30,g,130,mg,1290,g,41,g,14,g,7,g,0,g,1,g,0,g,,,,
12,jacks,pancakes 3 with syrup,13,g,10,mg,350,g,49,g,3,g,2,g,0,g,1,g,0,g,,,,
13,jacks,chicken filet breaded and fried,15,g,50,mg,440,g,11,g,23,g,3,g,0,g,0,g,0,g,,,,
14,jacks,pancake without syrup,6,g,5,mg,120,g,6,g,1,g,1,g,0,g,0,g,0,g,,,,
15,jacks,sausage patties 2,34,g,60,mg,700,g,4,g,14,g,12,g,0,g,0,g,0,g,,,,
16,jacks,eggs folded,9,g,170,mg,150,g,0,g,6,g,2,g,0,g,0,g,0,g,,,,
17,jacks,american cheese,3.5,g,10,mg,210,g,0,g,2,g,2,g,0,g,0,g,0,g,,,,
18,jacks,side steak,25,g,25,mg,340,g,10,g,8,g,6,g,0,g,0,g,0,g,,,,
19,jacks,side of bologna,11,g,25,mg,510,g,2,g,5,g,3.5,g,0,g,0,g,0,g,,,,
20,jacks,sausage link,15,g,40,mg,530,g,1,g,7,g,5,g,0,g,0,g,0,g,,,,
21,jacks,side of ham,4,g,35,mg,590,g,0,g,11,g,1.5,g,0,g,0,g,0,g,,,,
22,jacks,chicken fingers 3 pieces and fries,27,g,35,mg,1490,g,56,g,36,g,4,g,0,g,2,g,0,g,,,,
23,jacks,chicken fingers 4 pieces and fries,32,g,45,mg,1870,g,60,g,47,g,4.5,g,0,g,2,g,0,g,,,,
24,jacks,fried chicken wing,13,g,75,mg,630,g,10,g,13,g,3,g,0,g,0,g,0,g,,,,
25,jacks,fried chicken thigh,32,g,130,mg,1340,g,23,g,25,g,8,g,0,g,1,g,0,g,,,,
26,jacks,fried chicken leg,11,g,55,mg,660,g,12,g,12,g,2.5,g,0,g,0,g,0,g,,,,
27,jacks,chicken finger snack 3 pieces with fries without sauce,56,g,65,mg,2690,g,77,g,27,g,11,g,0,g,6,g,0,g,,,,
28,jacks,chicken breast,29,g,70,mg,660,g,20,g,35,g,8,g,0,g,0,g,0,g,,,,
29,jacks,chicken finger dinner 3 pieces with biscuit without sides or sauce,56,g,65,mg,26580,g,82,g,30,g,12,g,0,g,4,g,0,g,,,,
