,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,bill grays restaurant,roasted chicken noodle 10 oz,5,g,40,mg,2080,g,23,g,15,g,2,g,0,g,0,g,3,g,,,,
1,bill grays restaurant,roasted chicken noodle 16 oz,8,g,60,mg,3320,g,36,g,24,g,2,g,0,g,0,g,4,g,,,,
2,bill grays restaurant,salmon burger patty,10,g,45,mg,470,g,2,g,23,g,2,g,0,g,1,g,0,g,,,,
3,bill grays restaurant,sausage roll,2,g,0,mg,400,g,52,g,7,g,0,g,0,g,2,g,1,g,,,,
4,bill grays restaurant,single vanilla abbott custard,27,g,15,mg,200,g,43,g,9,g,17,g,0,g,1,g,42,g,,,,
5,bill grays restaurant,sliced steak,19,g,85,mg,560,g,1,g,26,g,8,g,0,g,0,g,1,g,,,,
6,bill grays restaurant,small float,19,g,10,mg,200,g,71,g,7,g,12,g,0,g,1,g,69,g,,,,
7,bill grays restaurant,small hot dog,14,g,30,mg,490,g,2,g,7,g,5,g,0,g,0,g,1,g,,,,
8,bill grays restaurant,small shake,50,g,45,mg,460,g,86,g,22,g,31,g,0,g,2,g,82,g,,,,
9,bill grays restaurant,sweet potato fries,24,g,0,mg,90,g,93,g,2,g,0,g,0,g,15,g,21,g,,,,
10,bill grays restaurant,tater tots,55,g,0,mg,250,g,71,g,8,g,6,g,0,g,10,g,3,g,,,,
11,bill grays restaurant,turtle,31,g,70,mg,125,g,48,g,11,g,15,g,0,g,1,g,37,g,,,,
12,bill grays restaurant,vegetable beef 10 oz,4,g,10,mg,2080,g,35,g,10,g,1,g,0,g,8,g,8,g,,,,
13,bill grays restaurant,vegetable beef 16 oz,6,g,20,mg,3320,g,56,g,16,g,2,g,0,g,12,g,12,g,,,,
14,bill grays restaurant,veggie burger patty,5,g,0,mg,270,g,8,g,10,g,3,g,0,g,4,g,2,g,,,,
15,bill grays restaurant,wheat bread,1,g,0,mg,170,g,18,g,4,g,0,g,0,g,2,g,3,g,,,,
16,bill grays restaurant,wheat roll,3,g,0,mg,330,g,39,g,8,g,1,g,0,g,5,g,4,g,,,,
17,bill grays restaurant,wheel,13,g,65,mg,220,g,34,g,5,g,7,g,0,g,1,g,22,g,,,,
18,bill grays restaurant,white bread,1,g,0,mg,270,g,30,g,4,g,0,g,0,g,1,g,2,g,,,,
19,bill grays restaurant,white hot dog,28,g,60,mg,990,g,4,g,13,g,10,g,0,g,0,g,2,g,,,,
20,bill miller bar b q,1 beef poorboy combo with fries and unsweet tea,37,g,115,mg,2000,g,100,g,44,g,14,g,3,g,7,g,11,g,,,,
21,bill miller bar b q,10 2wing 2breast 3leg 3thigh combo with fries french bread bucket and unsweet tea,62,g,245,mg,2470,g,114,g,64,g,22,g,8,g,8,g,4,g,,,,
22,bill miller bar b q,11 chicken fried steak combo with gravy green beans mashed potatoes roll and unsweet tea,56,g,70,mg,3840,g,105,g,35,g,18,g,6,g,9,g,11,g,,,,
23,bill miller bar b q,2 3 breast combo with fries and unsweet tea,74,g,335,mg,2370,g,103,g,92,g,21,g,11,g,5,g,2,g,,,,
24,bill miller bar b q,2 leg wing and thigh combo with fries and unsweet tea,66,g,300,mg,1890,g,91,g,68,g,23,g,9,g,5,g,2,g,,,,
25,bill miller bar b q,3 bbq chicken white combo with beans hashbrown coleslaw and unsweet tea,41,g,170,mg,2410,g,107,g,56,g,14,g,5,g,21,g,10,g,,,,
26,bill miller bar b q,3 brisket combo with beans hashbrowns coleslaw and unsweet tea,49,g,110,mg,2090,g,100,g,50,g,19,g,6,g,21,g,10,g,,,,
27,bill miller bar b q,4 3 tenders combo with gravy fries roll and unsweet tea,65,g,125,mg,3410,g,136,g,50,g,21,g,12,g,5,g,8,g,,,,
28,bill miller bar b q,5 small chicken sandwich all white combo with fries and unsweet tea,20,g,145,mg,1870,g,99,g,52,g,7,g,2,g,7,g,10,g,,,,
29,bill miller bar b q,5 small chicken sandwich combo with fries and unsweet tea,26,g,130,mg,1820,g,99,g,33,g,9,g,2,g,7,g,10,g,,,,
30,bill miller bar b q,6 garden salad with toppings and dressing 3 oz turkey combo and unsweet tea,20,g,100,mg,1540,g,26,g,42,g,10,g,0,g,5,g,7,g,,,,
