,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,dunkin donuts,iced coffee with skim milk,0,g,0,mg,25,g,2,g,1,g,0,g,0,g,0,g,2,g,,
1,dunkin donuts,matcha iced latte with skim milk medium,0,g,5,mg,125,g,34,g,11,g,0,g,0,g,1,g,32,g,,
2,dunkin donuts,caramel swirl frozen coffee with whole milk large,11,g,40,mg,240,g,184,g,11,g,7,g,0,g,0,g,175,g,,
3,dunkin donuts,iced hazelnut swirl macchiato with skim milk,0,g,3,mg,100,g,32.6,g,5.3,g,0,g,0,g,0,g,30.6,g,,
4,dunkin donuts,hot french vanilla swirl macchiato with whole milk small and large,4,g,15,mg,95,g,33,g,5,g,2.5,g,0,g,0,g,30,g,,
5,dunkin donuts,dunkaccino hot chocolate large,21,g,10,mg,470,g,73,g,4,g,17,g,0,g,1,g,53,g,,
6,dunkin donuts,french vanilla swirl hot coffee with cream,6,g,20,mg,55,g,26,g,2,g,3,g,0,g,0,g,25,g,,
7,dunkin donuts,caramel swirl frozen coffee with skim milk small,4.5,g,20,mg,130,g,99,g,6,g,3,g,0,g,0,g,94,g,,
8,dunkin donuts,mocha swirl frozen coffee with cream small,22,g,70,mg,125,g,97,g,5,g,13,g,0.5,g,2,g,88,g,,
9,dunkin donuts,caramel swirl hot latte with whole milk medium,9,g,30,mg,180,g,53,g,11,g,5,g,0,g,0,g,52,g,,
10,dunkin donuts,espresso hot chocolate,6,g,0,mg,190,g,35,g,2,g,5,g,0,g,1,g,27,g,,
11,dunkin donuts,iced cocoa mocha latte with skim milk medium,6,g,20,mg,160,g,60,g,11,g,3.5,g,0,g,2,g,52,g,,
12,dunkin donuts,mint hot chocolate,11.2,g,0,mg,288,g,57.6,g,1.6,g,9.6,g,0,g,1.6,g,46.4,g,,
13,dunkin donuts,mocha swirl iced coffee with cream,6,g,20,mg,45,g,26,g,2,g,3.5,g,0,g,1,g,24,g,,
14,dunkin donuts,hazelnut swirl iced coffee,0,g,0,mg,40,g,26,g,2,g,0,g,0,g,0,g,24,g,,
15,dunkin donuts,original hot chocolate,6.3,g,0,mg,200,g,36.9,g,1.9,g,5.6,g,0,g,1.3,g,28.8,g,,
16,dunkin donuts,caramel swirl hot coffee without milk or sugar small and medium,0,g,3,mg,38,g,24.4,g,1.9,g,0,g,0,g,0,g,23.8,g,,
17,dunkin donuts,iced caramel craze latte with whole milk medium,14,g,45,mg,190,g,61,g,11,g,8,g,0,g,0,g,57,g,,
18,dunkin donuts,frozen matcha latte with skim milk large,0,g,5,mg,95,g,111,g,8,g,0,g,0,g,2,g,109,g,,
19,dunkin donuts,iced blueberry matcha latte with skim milk large,0,g,5,mg,170,g,46,g,14,g,0,g,0,g,2,g,43,g,,
20,dunkin donuts,iced blueberry matcha latte with whole milk small,6,g,20,mg,85,g,23,g,7,g,3.5,g,0,g,1,g,21,g,,
21,dunkin donuts,iced tea unsweetened,0,g,0,mg,20,g,1,g,0,g,0,g,0,g,0,g,0,g,,
22,dunkin donuts,iced latte with skim milk and sugar,0,g,5,mg,90,g,27,g,6,g,0,g,0,g,0,g,26,g,,
23,dunkin donuts,iced caramel craze latte with skim milk small,5,g,20,mg,130,g,43,g,8,g,3,g,0,g,0,g,40,g,,
24,dunkin donuts,cold brew coffee with cream,6,g,17,mg,30,g,0.7,g,1.3,g,3,g,0,g,0,g,0.7,g,,
25,dunkin donuts,iced latte with almond milk,2,g,0,mg,130,g,11,g,1,g,0,g,0,g,0,g,10,g,,
26,dunkin donuts,iced blueberry or raspberry flavored tea sweetened,0,g,0,mg,15,g,19,g,0,g,0,g,0,g,0,g,17,g,,
27,dunkin donuts,iced coffee without milk with sugar,0,g,0,mg,10,g,17,g,0,g,0,g,0,g,0,g,17,g,,
28,dunkin donuts,iced caramel craze latte with skim milk medium,5,g,25,mg,190,g,61,g,12,g,3,g,0,g,0,g,57,g,,
29,dunkin donuts,egg and cheese breakfast wake up wrap,10,g,95,mg,470,g,14,g,7,g,4,g,0,g,0,g,1,g,,
30,dunkin donuts,bacon egg and cheese on croissant breakfast sandwich,36,g,190,mg,820,g,41,g,18,g,14,g,0,g,1,g,6,g,,
31,dunkin donuts,bacon egg and cheese on plain bagel breakfast sandwich,18,g,190,mg,1200,g,67,g,23,g,6,g,0,g,4,g,8,g,,
32,dunkin donuts,bacon egg and cheese wake up wrap,13,g,105,mg,590,g,15,g,10,g,5,g,0,g,0,g,1,g,,
33,dunkin donuts,egg and cheese on croissant breakfast sandwich,31,g,175,mg,640,g,40,g,15,g,13,g,0,g,1,g,6,g,,
