,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,beef o bradys,grilled shrimp angus skirt streak and grilled seasoned chicken fajita trio with peppers and onions tortillas cheddar jack cheese salsa and sour cream,58,g,210,mg,4390,g,61,g,51,g,23,g,3,g,7,g,7,g
1,beef o bradys,chicken and steak fajita duo with tortillas cheddar jack cheese salsa and sour cream,47,g,130,mg,3090,g,61,g,42,g,21,g,0,g,7,g,7,g
2,beef o bradys,steak and shrimp duo fajitas with tortillas cheddar jack cheese salsa and sour cream,56,g,185,mg,3580,g,61,g,41,g,22,g,3,g,7,g,7,g
3,beef o bradys,shrimp fajitas with tortillas cheddar jack cheese salsa and sour cream,60,g,230,mg,3870,g,61,g,38,g,21,g,6,g,7,g,7,g
4,beef o bradys,chicken and shrimp fajitas duo with tortillas cheddar jack cheese salsa and sour cream,50,g,175,mg,3380,g,61,g,38,g,19,g,3,g,7,g,7,g
5,beef o bradys,steak fajitas with tortillas cheddar jack cheese salsa and sour cream,53,g,140,mg,3290,g,61,g,45,g,24,g,0,g,7,g,7,g
6,beef o bradys,curly fries side,23,g,0,mg,840,g,42,g,4,g,3.5,g,0,g,4,g,0,g
7,beef o bradys,basket of curly fries,45,g,0,mg,1680,g,84,g,8,g,7,g,0,g,8,g,0,g
8,beef o bradys,fries with queso basket,45,g,30,mg,2490,g,106,g,16,g,14,g,1,g,8,g,2,g
9,beef o bradys,straight fries side,22,g,0,mg,940,g,50,g,4,g,4.5,g,0,g,4,g,0,g
10,beef o bradys,basket of straight fries with queso dip,45,g,30,mg,2490,g,106,g,16,g,14,g,1,g,8,g,2,g
11,beef o bradys,kids fried chicken tenders with treat without sauce or drink,10,g,50,mg,930,g,26,g,20,g,2,g,0,g,1,g,5,g
12,beef o bradys,kids mini cheeseburgers with treat without sides or drink,36,g,60,mg,2290,g,46,g,21,g,13,g,3,g,0,g,1,g
13,beef o bradys,kids grilled cheese sandwich with treat without sides or drink,29,g,40,mg,1410,g,54,g,1,g,11,g,3,g,1,g,8,g
14,beef o bradys,kids pepperoni pizza 7 with treat,47,g,110,mg,2490,g,95,g,39,g,23,g,0.5,g,3,g,13,g
15,beef o bradys,kids cheese pizza 7 with treat,31,g,65,mg,1920,g,95,g,33,g,16,g,0.5,g,3,g,13,g
16,beef o bradys,kids chicken quesadilla with treat without sides or drink,22,g,80,mg,1290,g,41,g,28,g,13,g,0,g,2,g,5,g
17,beef o bradys,kids fried chicken nuggets and treat without sides or drink,10,g,50,mg,930,g,26,g,20,g,2,g,0,g,1,g,5,g
18,beef o bradys,kids mac and cheese with treat without sides or drink,10,g,15,mg,620,g,54,g,11,g,3,g,0,g,2,g,12,g
19,beef o bradys,kids cheese quesadilla with treat without sides or sauce,21,g,60,mg,1030,g,40,g,21,g,13,g,0,g,2,g,5,g
20,beef o bradys,applesauce side,0,g,0,mg,0,g,24,g,0,g,0,g,0,g,1,g,22,g
21,beef o bradys,kids hot dog with treat without sides or drink,23,g,45,mg,1020,g,42,g,15,g,9,g,1,g,1,g,8,g
22,beef o bradys,lettuce wraps chicken with quinoa without broccoli,41,g,65,mg,1260,g,50,g,24,g,5,g,0,g,7,g,13,g
23,beef o bradys,steak bowl with rice,74,g,5,mg,2500,g,79,g,38,g,8,g,3,g,5,g,7,g
24,beef o bradys,grilled chicken dinner with rice and broccoli,37,g,75,mg,1990,g,68,g,38,g,7,g,9,g,4,g,2,g
25,beef o bradys,lettuce wraps shrimp with broccol without quinoa,33,g,90,mg,1540,g,45,g,16,g,5,g,3,g,8,g,24,g
26,beef o bradys,grilled chicken tender basket,38,g,110,mg,2100,g,70,g,41,g,7,g,0,g,6,g,16,g
27,beef o bradys,lettuce wraps chicken with broccoli without quinoa,38,g,65,mg,1130,g,32,g,22,g,5,g,0,g,8,g,14,g
28,beef o bradys,value menu hot dogs combo with fries without drink,61,g,90,mg,2880,g,116,g,34,g,22,g,2,g,6,g,8,g
29,beef o bradys,chargrilled ribeye steak with caesar side salad without sides,59,g,165,mg,2620,g,17,g,58,g,17,g,0.5,g,3,g,1,g
30,beef o bradys,ribs with fries and coleslaw full order,103,g,240,mg,6250,g,107,g,90,g,36,g,0,g,6,g,52,g
