,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,gigi cafe,turkey pot pie,24,g,120,mg,200,g,18,g,10,g,0,g,0,g,4,g,5,g
1,gigi cafe,turkey sausage patty,5,g,45,mg,330,g,0,g,9,g,0,g,0,g,0,g,1,g
2,gigi cafe,tuscan vegetable,2,g,0,mg,240,g,19,g,7,g,0,g,0,g,3,g,3,g
3,gigi cafe,two egg sandwich,10,g,450,mg,870,g,60,g,23,g,0,g,0,g,3,g,10,g
4,gigi cafe,two eggs served your way,173,g,400,mg,660,g,35,g,20,g,0,g,0,g,3,g,2,g
5,gigi cafe,vegetable barley,14,g,5,mg,750,g,32,g,5,g,0,g,0,g,4,g,5,g
6,gigi cafe,vegetable chili,1,g,5,mg,750,g,31,g,5,g,0,g,0,g,5,g,5,g
7,gigi cafe,veggie egg white omelette sandwich,10,g,400,mg,10,g,59,g,23,g,0,g,0,g,4,g,4,g
8,gigi cafe,veggie omelette sandwich,5,g,455,mg,950,g,62,g,28,g,0,g,0,g,4,g,11,g
9,gigi cafe,walnut raisin scone,38,g,155,mg,330,g,75,g,12,g,0,g,0,g,3,g,26,g
10,gigi cafe,watermelon,0,g,0,mg,0,g,12,g,1,g,0,g,0,g,1,g,10,g
11,gigi cafe,western omelette sandwich,18,g,175,mg,1230,g,46,g,25,g,0,g,0,g,7,g,7,g
12,gigi cafe,whole wheat pancakes salad du jour,2,g,45,mg,1290,g,120,g,19,g,0,g,0,g,3,g,15,g
13,gigi cafe,wild alaskan salmon,28,g,40,mg,1180,g,38,g,35,g,0,g,0,g,6,g,18,g
14,gigi cafe,wild berry blast,1,g,0,mg,75,g,105,g,0,g,0,g,0,g,3,g,21,g
15,gigi cafe,wild mushroom and spinach,32,g,405,mg,1140,g,33,g,29,g,0,g,0,g,2,g,2,g
16,gigi cafe,yogurt parfait,12,g,20,mg,250,g,52,g,22,g,0,g,0,g,3,g,42,g
17,gioninos pizzeria,12 piece chicken box all white with jojos,12,g,95,mg,1220,g,28,g,36,g,3,g,0,g,2,g,0,g
18,gioninos pizzeria,12 piece chicken box with jojos,11,g,85,mg,1150,g,27,g,31,g,3,g,0,g,2,g,0,g
19,gioninos pizzeria,16 piece chicken box all white with jojos,12,g,95,mg,1220,g,28,g,36,g,3,g,0,g,2,g,0,g
20,gioninos pizzeria,2 piece snack dark chicken,14,g,80,mg,1350,g,47,g,26,g,3,g,0,g,3,g,10,g
21,gioninos pizzeria,2 piece snack white chicken,16,g,100,mg,1490,g,49,g,38,g,3.5,g,0,g,3,g,10,g
22,gioninos pizzeria,20 piece chicken box all white with jojos,12,g,95,mg,1220,g,28,g,36,g,3,g,0,g,2,g,0,g
23,gioninos pizzeria,20 piece chicken box with jojos,11,g,85,mg,1150,g,26,g,30,g,3,g,0,g,2,g,0,g
24,gioninos pizzeria,4 piece chicken dinner,12,g,75,mg,1240,g,32,g,28,g,3,g,0,g,2,g,5,g
