,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,captain ds seafood,ranch dressing,12,g,10,mg,190,g,1,g,1,g,2,g,0,g,0,g,0,g,,,,
1,captain ds seafood,thousand island dressing,11,g,10,mg,320,g,5,g,0,g,1.5,g,0,g,0,g,5,g,,,,
2,captain ds seafood,fat free italian dressing,0,g,0,mg,440,g,2,g,0,g,0,g,0,g,0,g,0,g,,,,
3,captain ds seafood,wild alaskan salmon salad without dressing or breadstick,16,g,95,mg,480,g,10,g,38,g,4.5,g,0,g,4,g,5,g,2.5,g,4.5,g
4,captain ds seafood,skewer shrimp salad without dressing or breadstick,11,g,210,mg,560,g,10,g,30,g,5,g,0,g,4,g,5,g,,,,
5,captain ds seafood,grilled tilapia salad without dressing or breadstick,13,g,100,mg,570,g,9,g,41,g,5,g,0,g,4,g,5,g,2,g,3.5,g
6,captain ds seafood,southern style breaded chicken salad without dressing or breadstick,17,g,45,mg,570,g,20,g,15,g,8,g,1,g,4,g,5,g,,,,
7,captain ds seafood,the giant fish sandwich,73,g,120,mg,1940,g,58,g,25,g,22,g,2,g,0,g,9,g,,,1,g
8,captain ds seafood,the captain sandwich,74,g,130,mg,2250,g,82,g,30,g,30,g,3.5,g,3,g,4,g,,,,
9,captain ds seafood,tartar sauce,10,g,5,mg,130,g,2,g,0,g,1.5,g,0,g,0,g,1,g,,,,
10,captain ds seafood,ds dipping sauce,14,g,10,mg,320,g,3,g,0,g,2.5,g,0,g,0,g,2,g,,,,
11,captain ds seafood,cocktail sauce,0,g,0,mg,220,g,4,g,0,g,0,g,0,g,1,g,4,g,,,,
12,captain ds seafood,sweet and sour sauce,0,g,0,mg,65,g,10,g,0,g,0,g,0,g,0,g,8,g,,,,
13,captain ds seafood,batter dipped fish without sides or hushpuppies,15,g,50,mg,570,g,11,g,10,g,8,g,1,g,0,g,0,g,,,,
14,captain ds seafood,butterfly shrimp without sides or hushpuppies,64,g,230,mg,105,g,58,g,23,g,26,g,2.5,g,0,g,10,g,,,,
15,captain ds seafood,grilled lemon pepper white fish filet without sides rice or breadstick,8,g,45,mg,450,g,1,g,25,g,3,g,0,g,0,g,0,g,1,g,2.5,g
16,captain ds seafood,grilled shrimp skewers without sides rice or breadstick,6,g,190,mg,690,g,2,g,24,g,2,g,0,g,0,g,0,g,,,,
17,captain ds seafood,grilled wild alaskan salmon filet without sides rice or breadstick,10,g,80,mg,600,g,2,g,31,g,1.5,g,0,g,0,g,0,g,2.5,g,4.5,g
18,captain ds seafood,deluxe seafood platter without sides or hushpuppies,75,g,210,mg,1880,g,67,g,36,g,33,g,4,g,0,g,4,g,,,,
19,captain ds seafood,southern style fish tenders without sides or hushpuppies,8,g,15,mg,240,g,4,g,5,g,4,g,0.5,g,0,g,0,g,,,,
20,captain ds seafood,country style fish without sides or hushpuppies,12,g,4,mg,500,g,11,g,9,g,6,g,1,g,0,g,0,g,,,,
21,captain ds seafood,supreme sampler without sides or hushpuppies,79,g,245,mg,2080,g,68,g,47,g,36,g,4.5,g,1,g,6,g,,,,
22,captain ds seafood,catfish feast without sides or hushpuppies,56,g,185,mg,1720,g,33,g,33,g,25,g,3,g,0,g,0,g,,,,
23,captain ds seafood,southern style white fish filet without sides or hushpuppies,37,g,80,mg,1390,g,26,g,27,g,20,g,2.5,g,0,g,0,g,,,,
24,captain ds seafood,breaded flounder without sides or hushpuppies,15,g,50,mg,430,g,10,g,15,g,7,g,0,g,0,g,0,g,,,,
25,captain ds seafood,white fish shrimp and crab without sides or hushpuppies,64,g,150,mg,1770,g,52,g,36,g,30,g,3.5,g,0,g,3,g,,,,
26,captain ds seafood,fish and shrimp without sides or hushpuppies,56,g,190,mg,1180,g,45,g,30,g,26,g,3,g,0,g,4,g,,,,
27,captain ds seafood,seafood feast without sides or hushpuppies,262,g,805,mg,7990,g,211,g,150,g,125,g,16,g,2,g,10,g,,,,
28,captain ds seafood,hushpuppy,4,g,10,mg,200,g,9,g,1,g,2,g,0,g,0,g,0,g,,,,
29,captain ds seafood,coleslaw,13,g,15,mg,350,g,15,g,1,g,1.5,g,0,g,2,g,11,g,,,,
30,captain ds seafood,breadstick,5,g,2,mg,150,g,22,g,3,g,2,g,0.5,g,1,g,3,g,,,,
31,captain ds seafood,green beans,2.5,g,5,mg,630,g,5,g,2,g,2,g,0,g,2,g,2,g,,,,
32,captain ds seafood,seasoned rice,1.5,g,1,mg,540,g,35,g,3,g,0,g,0,g,0,g,0,g,,,,
33,captain ds seafood,broccoli,0,g,0,mg,20,g,4,g,2,g,0,g,0,g,3,g,1,g,,,,
34,captain ds seafood,macaroni and cheese,8,g,20,mg,570,g,18,g,6,g,4,g,0,g,0,g,3,g,,,,
35,captain ds seafood,corn on the cob,1.5,g,0,mg,0,g,37,g,5,g,0,g,0,g,4,g,5,g,,,,
36,captain ds seafood,okra,20,g,20,mg,470,g,31,g,4,g,10,g,1.5,g,3,g,3,g,,,,
37,captain ds seafood,baked potato,0,g,0,mg,550,g,48,g,6,g,0,g,0,g,5,g,3,g,,,,
38,captain ds seafood,cracklins,4,g,4,mg,360,g,7,g,1,g,2,g,0,g,0,g,0,g,,,,
39,captain ds seafood,loaded baked potato,15,g,50,mg,440,g,49,g,18,g,8,g,0,g,5,g,3,g,2,g,,
40,captain ds seafood,side salad without dressing,0,g,0,mg,10,g,4,g,1,g,0,g,0,g,2,g,2,g,,,,
41,captain ds seafood,1 piece batter dipped fish,15,g,50,mg,570,g,11,g,10,g,8,g,1,g,0,g,0,g,,,,
42,captain ds seafood,14 piece chicken family meal,158,g,385,mg,6250,g,158,g,125,g,69,g,9,g,8,g,8,g,,,,
43,captain ds seafood,15 piece butterfly shrimp,64,g,230,mg,105,g,58,g,23,g,26,g,2.5,g,0,g,10,g,,,,
44,captain ds seafood,2 piece chicken,23,g,55,mg,890,g,23,g,18,g,10,g,1.5,g,1,g,1,g,,,,
45,captain ds seafood,2 piece fish and chicken,53,g,155,mg,2040,g,45,g,38,g,26,g,3.5,g,1,g,1,g,,,,
46,captain ds seafood,4 piece chicken,45,g,110,mg,1790,g,45,g,36,g,20,g,2.5,g,2,g,2,g,,,,
47,captain ds seafood,6 piece butterfly shrimp,26,g,90,mg,40,g,23,g,9,g,10,g,1,g,0,g,4,g,,,,
48,captain ds seafood,baked potato,0,g,0,mg,25,g,48,g,6,g,0,g,0,g,5,g,3,g,,,,
49,captain ds seafood,batter dipped fish,15,g,50,mg,570,g,11,g,10,g,8,g,1,g,0,g,0,g,,,,
50,captain ds seafood,blackened tilapia,7,g,85,mg,270,g,1,g,34,g,2,g,0,g,0,g,0,g,,,,
51,captain ds seafood,breaded flounder,15,g,50,mg,430,g,10,g,15,g,7,g,1,g,0,g,0,g,,,,
52,captain ds seafood,breadstick,5,g,5,mg,150,g,22,g,3,g,2,g,0.5,g,1,g,3,g,,,,
53,captain ds seafood,broccoli,0,g,0,mg,20,g,4,g,2,g,0,g,0,g,3,g,1,g,,,,
54,captain ds seafood,catfish feast,56,g,185,mg,1720,g,33,g,33,g,25,g,3,g,0,g,0,g,,,,
55,captain ds seafood,cheesecake,27,g,80,mg,320,g,36,g,6,g,14,g,0,g,1,g,24,g,,,,
56,captain ds seafood,cheesecake with strawberry topping,27,g,80,mg,330,g,49,g,6,g,14,g,0,g,2,g,35,g,,,,
57,captain ds seafood,chicken tender,11,g,30,mg,450,g,11,g,9,g,5,g,0.5,g,0,g,0,g,,,,
58,captain ds seafood,chocolate cake,11,g,25,mg,270,g,49,g,3,g,2.5,g,1,g,2,g,35,g,,,,
59,captain ds seafood,clam strips,38,g,35,mg,960,g,49,g,15,g,13,g,1,g,3,g,0,g,,,,
60,captain ds seafood,clam strips and butterfly shrimp,56,g,95,mg,990,g,65,g,21,g,20,g,2,g,3,g,3,g,,,,
61,captain ds seafood,cocktail sauce,0,g,0,mg,220,g,4,g,0,g,0,g,0,g,1,g,4,g,,,,
62,captain ds seafood,coleslaw,13,g,15,mg,350,g,15,g,1,g,1.5,g,0,g,2,g,11,g,,,,
63,captain ds seafood,corn,1.5,g,0,mg,0,g,37,g,5,g,0,g,0,g,4,g,5,g,,,,
64,captain ds seafood,country style fish,12,g,40,mg,500,g,11,g,9,g,6,g,1,g,0,g,0,g,,,,
65,captain ds seafood,cracklins,4,g,5,mg,360,g,7,g,1,g,2,g,0,g,0,g,0,g,,,,
66,captain ds seafood,ds dippin sauce,14,g,10,mg,320,g,3,g,0,g,2.5,g,0,g,0,g,2,g,,,,
67,captain ds seafood,deluxe seafood platter,75,g,210,mg,1880,g,67,g,36,g,33,g,4,g,0,g,4,g,,,,
68,captain ds seafood,diet dr pepper kids,0,g,0,mg,60,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
69,captain ds seafood,diet dr pepper large,0,g,0,mg,200,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
70,captain ds seafood,diet dr pepper medium,0,g,0,mg,150,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
71,captain ds seafood,diet dr pepper small,0,g,0,mg,100,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
72,captain ds seafood,diet mountain dew kids,0,g,0,mg,60,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
73,captain ds seafood,diet mountain dew large,0,g,0,mg,200,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
74,captain ds seafood,diet mountain dew medium,0,g,0,mg,150,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
75,captain ds seafood,diet mountain dew small,0,g,0,mg,100,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
76,captain ds seafood,diet pepsi kids,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
77,captain ds seafood,diet pepsi large,0,g,0,mg,125,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
78,captain ds seafood,diet pepsi medium,0,g,0,mg,95,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
79,captain ds seafood,diet pepsi small,0,g,0,mg,60,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
80,captain ds seafood,dr pepper kids,0,g,0,mg,60,g,40,g,0,g,0,g,0,g,0,g,38,g,,,,
81,captain ds seafood,dr pepper large,0,g,0,mg,200,g,132,g,0,g,0,g,0,g,0,g,128,g,,,,
82,captain ds seafood,dr pepper medium,0,g,0,mg,150,g,99,g,0,g,0,g,0,g,0,g,96,g,,,,
83,captain ds seafood,dr pepper small,0,g,0,mg,100,g,66,g,0,g,0,g,0,g,0,g,64,g,,,,
84,captain ds seafood,fat free italian dressing,0,g,0,mg,440,g,2,g,0,g,0,g,0,g,0,g,1,g,,,,
85,captain ds seafood,fish and chicken tenders family meal,189,g,435,mg,6870,g,153,g,142,g,90,g,12,g,7,g,7,g,,,,
86,captain ds seafood,fish and shrimp,56,g,190,mg,1180,g,45,g,30,g,26,g,3,g,0,g,4,g,,,,
87,captain ds seafood,french fries,22,g,20,mg,400,g,28,g,3,g,10,g,1,g,3,g,0,g,,,,
88,captain ds seafood,funnel cake stix,20,g,35,mg,170,g,30,g,2,g,10,g,1,g,0,g,18,g,,,,
89,captain ds seafood,green beans,2.5,g,5,mg,630,g,5,g,2,g,2,g,0,g,2,g,2,g,,,,
90,captain ds seafood,grilled shrimp skewer,3,g,95,mg,340,g,1,g,12,g,1,g,0,g,0,g,0,g,,,,
91,captain ds seafood,grilled tilapia salad,13,g,100,mg,570,g,9,g,41,g,5,g,0,g,4,g,5,g,,,,
92,captain ds seafood,grilled white fish and shrimp skewer,11,g,140,mg,850,g,3,g,37,g,4,g,0,g,0,g,0,g,,,,
93,captain ds seafood,honey mustard dressing,16,g,15,mg,130,g,4,g,0,g,2.5,g,0,g,0,g,4,g,,,,
94,captain ds seafood,hush puppy,4,g,10,mg,200,g,9,g,1,g,2,g,0,g,0,g,0,g,,,,
95,captain ds seafood,jalapeno poppers,36,g,60,mg,920,g,40,g,6,g,20,g,2.5,g,5,g,6,g,,,,
96,captain ds seafood,ketchup,0,g,0,mg,270,g,9,g,0,g,0,g,0,g,0,g,6,g,,,,
97,captain ds seafood,kids batter dipped fish,15,g,50,mg,570,g,11,g,10,g,8,g,1,g,0,g,0,g,,,,
98,captain ds seafood,kids chicken tenders,23,g,55,mg,890,g,23,g,18,g,10,g,1.5,g,1,g,1,g,,,,
99,captain ds seafood,kids grilled fish tenders,6,g,15,mg,370,g,1,g,10,g,1.5,g,0,g,0,g,0,g,,,,
100,captain ds seafood,kids popcorn shrimp,14,g,65,mg,410,g,24,g,8,g,7,g,1,g,0,g,0,g,,,,
101,captain ds seafood,kids southern style fish tenders,15,g,30,mg,480,g,8,g,11,g,8,g,1,g,0,g,0,g,,,,
102,captain ds seafood,lemon pepper white fish,8,g,45,mg,450,g,1,g,25,g,3,g,0,g,0,g,0,g,,,,
103,captain ds seafood,loaded baked potato,15,g,50,mg,440,g,49,g,18,g,8,g,0,g,5,g,3,g,,,,
104,captain ds seafood,mac and cheese,8,g,20,mg,570,g,18,g,6,g,4,g,0,g,0,g,3,g,,,,
105,captain ds seafood,mist twist kids,0,g,0,mg,30,g,40,g,0,g,0,g,0,g,0,g,40,g,,,,
106,captain ds seafood,mist twist large,0,g,0,mg,100,g,135,g,0,g,0,g,0,g,0,g,135,g,,,,
107,captain ds seafood,mist twist medium,0,g,0,mg,75,g,101,g,0,g,0,g,0,g,0,g,101,g,,,,
108,captain ds seafood,mist twist small,0,g,0,mg,50,g,67,g,0,g,0,g,0,g,0,g,67,g,,,,
109,captain ds seafood,mountain dew kids,0,g,0,mg,55,g,44,g,0,g,0,g,0,g,0,g,44,g,,,,
110,captain ds seafood,mountain dew large,0,g,0,mg,180,g,145,g,0,g,0,g,0,g,0,g,145,g,,,,
111,captain ds seafood,mountain dew medium,0,g,0,mg,130,g,109,g,0,g,0,g,0,g,0,g,109,g,,,,
112,captain ds seafood,mountain dew small,0,g,0,mg,85,g,72,g,0,g,0,g,0,g,0,g,72,g,,,,
113,captain ds seafood,mountain dew code red kids,0,g,0,mg,55,g,47,g,0,g,0,g,0,g,0,g,47,g,,,,
114,captain ds seafood,mountain dew code red large,0,g,0,mg,180,g,155,g,0,g,0,g,0,g,0,g,155,g,,,,
115,captain ds seafood,mountain dew code red medium,0,g,0,mg,130,g,116,g,0,g,0,g,0,g,0,g,116,g,,,,
116,captain ds seafood,mountain dew code red small,0,g,0,mg,90,g,78,g,0,g,0,g,0,g,0,g,78,g,,,,
