,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,claim jumper,grilled shrimp platter 4 6 6 servings with citrus,190,g,920,mg,11380,g,570,g,210,g,40,g,0,g,30,g,90,g
1,claim jumper,grilled shrimp platter 4 6 6 servings with creamy italian,240,g,950,mg,11590,g,530,g,210,g,50,g,0,g,30,g,50,g
2,claim jumper,grilled shrimp platter 4 6 6 servings with honey mustard,240,g,1000,mg,11530,g,540,g,210,g,50,g,0,g,30,g,60,g
3,claim jumper,grilled shrimp platter 4 6 6 servings with hot bacon,150,g,950,mg,10760,g,560,g,210,g,40,g,0,g,30,g,70,g
4,claim jumper,grilled shrimp platter 4 6 6 servings with house salad,170,g,1090,mg,11630,g,560,g,240,g,50,g,0,g,40,g,60,g
5,claim jumper,grilled shrimp platter 4 6 6 servings with olive oil,300,g,920,mg,10590,g,520,g,210,g,50,g,0,g,30,g,40,g
6,claim jumper,grilled shrimp platter 4 6 6 servings with olive oil blend,300,g,920,mg,10590,g,520,g,210,g,40,g,0,g,30,g,40,g
7,claim jumper,grilled shrimp platter 4 6 6 servings with ranch,210,g,990,mg,11570,g,530,g,210,g,50,g,0,g,30,g,50,g
8,claim jumper,grilled shrimp platter 4 6 6 servings with thousand island,180,g,970,mg,12880,g,550,g,210,g,40,g,0,g,30,g,70,g
9,claim jumper,grilled shrimp platter 8 10 10 servings,220,g,1540,mg,19520,g,940,g,360,g,50,g,0,g,40,g,70,g
10,claim jumper,grilled shrimp platter 8 10 10 servings with balsamic vinaigrette,380,g,1540,mg,21770,g,980,g,360,g,80,g,0,g,50,g,110,g
11,claim jumper,grilled shrimp platter 8 10 10 servings with balsamic vinegar,220,g,1540,mg,19520,g,1000,g,360,g,50,g,0,g,40,g,130,g
12,claim jumper,grilled shrimp platter 8 10 10 servings with bleu cheese,360,g,1700,mg,21350,g,940,g,370,g,90,g,0,g,40,g,80,g
13,claim jumper,grilled shrimp platter 8 10 10 servings with caesar,410,g,1720,mg,22750,g,950,g,370,g,90,g,0,g,40,g,70,g
14,claim jumper,grilled shrimp platter 8 10 10 servings with caesar salad,270,g,1560,mg,21130,g,1010,g,380,g,70,g,0,g,60,g,80,g
15,claim jumper,grilled shrimp platter 8 10 10 servings with citrus,320,g,1540,mg,20830,g,1020,g,360,g,70,g,0,g,40,g,150,g
16,claim jumper,grilled shrimp platter 8 10 10 servings with creamy italian,410,g,1590,mg,21170,g,950,g,360,g,80,g,0,g,50,g,80,g
17,claim jumper,grilled shrimp platter 8 10 10 servings with honey mustard,400,g,1670,mg,21080,g,980,g,360,g,90,g,0,g,40,g,110,g
18,claim jumper,grilled shrimp platter 8 10 10 servings with hot bacon,250,g,1580,mg,19790,g,1000,g,360,g,60,g,0,g,50,g,120,g
19,claim jumper,grilled shrimp platter 8 10 10 servings with house salad,300,g,1820,mg,21240,g,1010,g,400,g,90,g,0,g,60,g,110,g
20,claim jumper,grilled shrimp platter 8 10 10 servings with olive oil,500,g,1540,mg,19520,g,940,g,360,g,90,g,0,g,40,g,70,g
21,claim jumper,grilled shrimp platter 8 10 10 servings with olive oil blend,500,g,1540,mg,19520,g,940,g,360,g,70,g,0,g,40,g,70,g
22,claim jumper,grilled shrimp platter 8 10 10 servings with ranch,350,g,1660,mg,21150,g,950,g,360,g,80,g,0,g,40,g,80,g
23,claim jumper,grilled shrimp platter 8 10 10 servings with thousand island,310,g,1620,mg,23320,g,990,g,360,g,70,g,0,g,50,g,110,g
24,claim jumper,grits plate,50,g,0,mg,1500,g,20,g,0,g,20,g,0,g,0,g,0,g
25,claim jumper,grits plate with bacon,70,g,80,mg,2600,g,20,g,20,g,30,g,0,g,0,g,0,g
26,claim jumper,ham sandwich platter 4 6 6 servings,110,g,280,mg,5390,g,270,g,110,g,30,g,0,g,20,g,100,g
27,claim jumper,ham sandwich platter 8 10 10 servings,190,g,470,mg,8960,g,430,g,180,g,60,g,0,g,30,g,140,g
28,claim jumper,hickory chicken platter 4 6 6 servings,430,g,1440,mg,13870,g,460,g,420,g,180,g,0,g,60,g,190,g
29,claim jumper,hot tea,0,g,0,mg,10,g,0,g,0,g,0,g,0,g,0,g,0,g
30,claim jumper,house salad platter 4 6 6 servings,70,g,260,mg,1640,g,70,g,50,g,30,g,0,g,20,g,30,g
31,claim jumper,house salad platter 4 6 6 servings with bacon dressing,100,g,320,mg,1960,g,140,g,50,g,40,g,0,g,20,g,90,g
32,claim jumper,house salad platter 4 6 6 servings with blended oil,410,g,260,mg,1640,g,70,g,50,g,50,g,0,g,20,g,30,g
33,claim jumper,house salad platter 4 6 6 servings with caesar dressing,290,g,480,mg,5510,g,80,g,60,g,70,g,0,g,20,g,30,g
34,claim jumper,house salad platter 4 6 6 servings with cheese dressing,230,g,460,mg,3830,g,80,g,70,g,70,g,0,g,20,g,40,g
35,claim jumper,house salad platter 4 6 6 servings with citrus dressing,190,g,260,mg,3210,g,170,g,50,g,50,g,0,g,20,g,130,g
36,claim jumper,house salad platter 4 6 6 servings with island dressing,180,g,350,mg,6200,g,130,g,50,g,50,g,0,g,20,g,80,g
37,claim jumper,house salad platter 4 6 6 servings with italian dressing,170,g,260,mg,5600,g,90,g,50,g,40,g,0,g,20,g,60,g
38,claim jumper,house salad platter 4 6 6 servings with mustard dressing,280,g,420,mg,3510,g,120,g,50,g,70,g,0,g,20,g,70,g
39,claim jumper,house salad platter 4 6 6 servings with olive oil,410,g,260,mg,1640,g,70,g,50,g,80,g,0,g,20,g,30,g
