,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,baja fresh,burrito mexicano wahoo and pinto beans,25,g,95,mg,2120,g,97,g,42,g,6,g,0,g,11,g,0,g,,
1,baja fresh,burrito ultimo carnitas,45,g,145,mg,2430,g,88,g,46,g,21,g,1,g,4,g,0,g,,
2,baja fresh,burrito ultimo chicken,50,g,150,mg,2040,g,78,g,51,g,21,g,1,g,4,g,0,g,,
3,baja fresh,burrito ultimo grilled wahoo,48,g,170,mg,2260,g,78,g,48,g,20,g,1,g,4,g,0,g,,
4,baja fresh,burrito ultimo roasted veggie,42,g,75,mg,1930,g,86,g,25,g,19,g,1,g,6,g,0,g,,
5,baja fresh,burrito ultimo shrimp,48,g,265,mg,2980,g,79,g,45,g,20,g,1,g,4,g,0,g,,
6,baja fresh,burrito ultimo steak,50,g,145,mg,2000,g,78,g,50,g,22,g,1,g,4,g,0,g,,
7,baja fresh,caffeine free diet coke 20 oz,0,g,0,mg,85,g,1,g,0,g,0,g,0,g,0,g,0,g,,
8,baja fresh,caffeine free diet coke 32 oz,0,g,0,mg,135,g,1,g,0,g,0,g,0,g,0,g,0,g,,
9,baja fresh,carnitas,5,g,70,mg,640,g,11,g,22,g,2,g,0,g,0,g,0,g,,
10,baja fresh,cheddar and jack cheese blend,22,g,70,mg,440,g,2,g,17,g,14,g,1,g,1,g,0,g,,
11,baja fresh,cherry coca cola 20 oz,0,g,0,mg,70,g,78,g,0,g,0,g,0,g,0,g,0,g,,
12,baja fresh,cherry coca cola 32 oz,0,g,0,mg,115,g,124,g,0,g,0,g,0,g,0,g,0,g,,
13,baja fresh,chicken,9,g,75,mg,250,g,1,g,27,g,2,g,0,g,0,g,0,g,,
14,baja fresh,chicken taquitos black beans,55,g,105,mg,1460,g,87,g,45,g,15,g,0,g,16,g,0,g,,
15,baja fresh,chicken taquitos pinto beans,55,g,105,mg,1400,g,89,g,45,g,15,g,0,g,16,g,0,g,,
16,baja fresh,chicken torta,41,g,120,mg,1480,g,67,g,46,g,12,g,1,g,7,g,0,g,,
17,baja fresh,chicken tortilla soup,15,g,45,mg,1010,g,25,g,17,g,4,g,0,g,4,g,0,g,,
18,baja fresh,chili lime dressing,12,g,0,mg,170,g,4,g,0,g,2,g,0,g,0,g,0,g,,
19,baja fresh,chips and guacamole,55,g,0,mg,840,g,119,g,14,g,9,g,0,g,32,g,0,g,,
20,baja fresh,chips 4 oz,23,g,0,mg,210,g,79,g,8,g,4,g,0,g,15,g,0,g,,
21,baja fresh,chips 5 oz,28,g,0,mg,260,g,99,g,9,g,4.5,g,0,g,19,g,0,g,,
22,baja fresh,churro,16,g,20,mg,1440,g,27,g,2,g,5,g,0,g,0,g,0,g,,
23,baja fresh,cilantro,0,g,0,mg,15,g,0,g,1,g,0,g,0,g,1,g,0,g,,
24,baja fresh,cilantro onion mix,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
25,baja fresh,cilantro ranch,9,g,15,mg,210,g,1,g,1,g,2.5,g,0,g,0,g,0,g,,
26,baja fresh,coca cola high yield 20 oz,0,g,0,mg,70,g,75,g,0,g,0,g,0,g,0,g,0,g,,
27,baja fresh,coca cola zero 20 oz,0,g,0,mg,70,g,0,g,0,g,0,g,0,g,0,g,0,g,,
28,baja fresh,coca cola zero 32 oz,0,g,0,mg,110,g,1,g,0,g,0,g,0,g,0,g,0,g,,
29,baja fresh,coca cola 20 oz,0,g,0,mg,60,g,74,g,0,g,0,g,0,g,0,g,0,g,,
30,baja fresh,coca cola 32 oz,0,g,0,mg,95,g,118,g,0,g,0,g,0,g,0,g,0,g,,
31,baja fresh,coffee 16 oz,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g,,
32,baja fresh,corn avocado salsa,2,g,0,mg,90,g,4,g,1,g,0,g,0,g,1,g,0,g,,
33,baja fresh,corn tortillas 5 inch,1,g,0,mg,0,g,14,g,2,g,0,g,0,g,1,g,0,g,,
34,baja fresh,diablo burrito carnitas,54,g,140,mg,2910,g,107,g,55,g,19,g,0,g,12,g,0,g,,
35,baja fresh,diablo burrito chicken,48,g,145,mg,1930,g,55,g,54,g,15,g,0,g,12,g,0,g,,
36,baja fresh,diablo burrito shrimp,57,g,260,mg,3460,g,98,g,54,g,18,g,0,g,12,g,0,g,,
37,baja fresh,diablo burrito steak,58,g,140,mg,2480,g,97,g,59,g,19,g,0,g,12,g,0,g,,
38,baja fresh,diablo burrito veggie,51,g,70,mg,2400,g,105,g,34,g,17,g,0,g,14,g,0,g,,
39,baja fresh,diablo burrito wahoo,57,g,165,mg,2740,g,97,g,57,g,18,g,0,g,12,g,0,g,,
40,baja fresh,diablo sauce,7,g,5,mg,210,g,2,g,0,g,1,g,0,g,1,g,0,g,,
41,baja fresh,diced tomato,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,
42,baja fresh,diet coke high yield 20 oz,0,g,0,mg,85,g,1,g,0,g,0,g,0,g,0,g,0,g,,
43,baja fresh,diet coke high yield 32 oz,0,g,0,mg,135,g,1,g,0,g,0,g,0,g,0,g,0,g,,
44,baja fresh,diet coke with lime 20 oz,0,g,0,mg,85,g,1,g,0,g,0,g,0,g,0,g,0,g,,
45,baja fresh,diet coke with lime 32 oz,0,g,0,mg,135,g,1,g,0,g,0,g,0,g,0,g,0,g,,
46,baja fresh,diet dr pepper 20 oz,0,g,0,mg,120,g,0,g,0,g,0,g,0,g,0,g,0,g,,
47,baja fresh,diet dr pepper 32 oz,0,g,0,mg,200,g,1,g,0,g,0,g,0,g,0,g,0,g,,
48,baja fresh,dos manos carnitas and black beans,63,g,170,mg,4070,g,159,g,64,g,27,g,0,g,14,g,0,g,,
49,baja fresh,dos manos carnitas and pinto beans,63,g,170,mg,4010,g,161,g,65,g,27,g,0,g,15,g,0,g,,
50,baja fresh,dos manos chicken and black beans,67,g,170,mg,3680,g,149,g,70,g,27,g,0,g,14,g,0,g,,
51,baja fresh,dos manos chicken and pinto beans,67,g,170,mg,3620,g,151,g,70,g,27,g,0,g,15,g,0,g,,
52,baja fresh,dos manos roasted veggie and black beans,58,g,100,mg,3430,g,148,g,42,g,25,g,0,g,14,g,0,g,,
53,baja fresh,dos manos roasted veggie and pinto beans,58,g,100,mg,3370,g,150,g,43,g,25,g,0,g,14,g,0,g,,
54,baja fresh,dos manos shrimp and black beans,68,g,355,mg,5020,g,151,g,70,g,27,g,0,g,14,g,0,g,,
55,baja fresh,dos manos shrimp and pinto beans,68,g,355,mg,4960,g,153,g,70,g,27,g,0,g,15,g,0,g,,
56,baja fresh,dos manos steak and black beans,67,g,170,mg,3640,g,149,g,68,g,27,g,0,g,14,g,0,g,,
57,baja fresh,dos manos steak and pinto beans,67,g,170,mg,3580,g,151,g,69,g,27,g,0,g,15,g,0,g,,
58,baja fresh,dos manos wahoo and black beans,69,g,240,mg,4140,g,149,g,78,g,27,g,0,g,14,g,0,g,,
59,baja fresh,dos manos wahoo and pinto beans,69,g,240,mg,4080,g,152,g,78,g,27,g,0,g,15,g,0,g,,
60,baja fresh,dr pepper 20 oz,0,g,0,mg,75,g,66,g,0,g,0,g,0,g,0,g,0,g,,
61,baja fresh,dr pepper 32 oz,0,g,0,mg,120,g,106,g,0,g,0,g,0,g,0,g,0,g,,
62,baja fresh,fajita burrito carnitas,48,g,135,mg,2220,g,87,g,47,g,18,g,0,g,6,g,0,g,,
63,baja fresh,fajita burrito charboiled fish,50,g,160,mg,2050,g,78,g,49,g,18,g,0,g,5,g,0,g,,
64,baja fresh,fajita burrito chicken,52,g,140,mg,1830,g,78,g,52,g,18,g,0,g,5,g,0,g,,
65,baja fresh,fajita burrito crispy fish,56,g,115,mg,2200,g,95,g,38,g,19,g,0,g,6,g,0,g,,
66,baja fresh,fajita burrito shrimp,51,g,255,mg,2770,g,79,g,45,g,18,g,0,g,5,g,0,g,,
67,baja fresh,fajita burrito steak,52,g,135,mg,1790,g,77,g,51,g,19,g,0,g,5,g,0,g,,
68,baja fresh,fajita taco chicken,18,g,65,mg,570,g,16,g,22,g,7,g,0,g,2,g,0,g,,
69,baja fresh,fajita taco steak,17,g,65,mg,540,g,16,g,22,g,7,g,0,g,2,g,0,g,,
70,baja fresh,fajitas carnitas and black beans with corn tortillas,30,g,100,mg,2170,g,128,g,43,g,9,g,0,g,21,g,0,g,,
71,baja fresh,fajitas carnitas and black beans with flour tortillas,35,g,100,mg,2850,g,153,g,50,g,9,g,0,g,19,g,0,g,,
72,baja fresh,fajitas carnitas and pinto beans with corn tortillas,30,g,100,mg,2110,g,131,g,43,g,9,g,0,g,21,g,0,g,,
73,baja fresh,fajitas carnitas and pinto beans with flour tortillas,36,g,100,mg,2790,g,156,g,50,g,9,g,0,g,19,g,0,g,,
74,baja fresh,fajitas chicken and black beans with corn tortillas,38,g,135,mg,1880,g,119,g,60,g,10,g,0,g,21,g,0,g,,
75,baja fresh,fajitas chicken and black beans with flour tortillas,44,g,135,mg,2570,g,144,g,67,g,10,g,0,g,19,g,0,g,,
76,baja fresh,fajitas chicken and pinto beans with corn tortillas,39,g,135,mg,1820,g,121,g,60,g,10,g,0,g,21,g,0,g,,
77,baja fresh,fajitas chicken and pinto beans with flour tortillas,44,g,135,mg,2510,g,146,g,67,g,10,g,0,g,19,g,0,g,,
78,baja fresh,fajitas shrimp and black beans with corn tortillas,35,g,285,mg,3110,g,120,g,49,g,10,g,0,g,20,g,0,g,,
79,baja fresh,fajitas shrimp and black beans with flour tortillas,41,g,285,mg,3790,g,145,g,56,g,10,g,0,g,18,g,0,g,,
80,baja fresh,fajitas shrimp and pinto beans with corn tortillas,35,g,285,mg,3050,g,123,g,49,g,10,g,0,g,21,g,0,g,,
81,baja fresh,fajitas shrimp and pinto beans with flour tortillas,41,g,285,mg,3740,g,148,g,56,g,10,g,0,g,19,g,0,g,,
82,baja fresh,fajitas steak and black beans with corn tortillas,38,g,130,mg,1830,g,119,g,59,g,11,g,0,g,20,g,0,g,,
83,baja fresh,fajitas steak and black beans with flour tortillas,44,g,130,mg,2510,g,144,g,66,g,11,g,0,g,18,g,0,g,,
84,baja fresh,fajitas steak and pinto beans with corn tortillas,38,g,130,mg,1770,g,121,g,59,g,11,g,0,g,21,g,0,g,,
85,baja fresh,fajitas steak and pinto beans with flour tortillas,44,g,130,mg,2450,g,146,g,66,g,11,g,0,g,19,g,0,g,,
86,baja fresh,fajitas wahoo and black beans with corn tortillas,35,g,155,mg,2140,g,119,g,52,g,9,g,0,g,20,g,0,g,,
87,baja fresh,fajitas wahoo and black beans with flour tortillas,40,g,155,mg,2820,g,144,g,59,g,9,g,0,g,18,g,0,g,,
88,baja fresh,fajitas wahoo and pinto beans with corn tortillas,35,g,155,mg,2080,g,121,g,52,g,9,g,0,g,21,g,0,g,,
89,baja fresh,fajitas wahoo and pinto beans with flour tortillas,40,g,155,mg,2760,g,146,g,59,g,9,g,0,g,19,g,0,g,,
90,baja fresh,fanta apple 20 oz,0,g,0,mg,100,g,82,g,0,g,0,g,0,g,0,g,0,g,,
91,baja fresh,fanta apple 32 oz,0,g,0,mg,160,g,131,g,0,g,0,g,0,g,0,g,0,g,,
92,baja fresh,fanta birch beer 20 oz,0,g,0,mg,95,g,80,g,0,g,0,g,0,g,0,g,0,g,,
93,baja fresh,fanta birch beer 32 oz,0,g,0,mg,150,g,127,g,0,g,0,g,0,g,0,g,0,g,,
94,baja fresh,fanta blue raspberry 20 oz,0,g,0,mg,85,g,86,g,0,g,0,g,0,g,0,g,0,g,,
