,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,bjs restaurant,add on flame broiled salmon,25,g,117,mg,232,g,0,g,40,g,5,g,0,g,0,g,0,g
1,bjs restaurant,burger add ons bacon jam,13,g,22,mg,408,g,17,g,6,g,4,g,0,g,0,g,15,g
2,bjs restaurant,garlic bread knots 2,8,g,0,mg,420,g,32,g,6,g,2,g,0,g,2,g,2,g
3,bjs restaurant,burger substitute loaded burger patty,26,g,121,mg,920,g,0,g,35,g,10,g,0,g,0,g,0,g
4,bjs restaurant,add on blackened shrimp,10,g,259,mg,587,g,4,g,35,g,2,g,0,g,0,g,0,g
5,bjs restaurant,burger substitutes portobello mushroom patty,3,g,0,mg,290,g,4,g,2,g,0,g,0,g,1,g,2,g
6,bjs restaurant,burger substitute turkey patty,18,g,76,mg,1030,g,5,g,27,g,3,g,0,g,0,g,2,g
7,bjs restaurant,burger add ons piranha pale ale chili,3,g,6,mg,228,g,5,g,3,g,1,g,0,g,1,g,1,g
8,bjs restaurant,burger add ons portobello mushroom patty,3,g,0,mg,285,g,4,g,2,g,0,g,0,g,1,g,2,g
9,bjs restaurant,burger add ons brewhouse burger patty,19,g,87,mg,877,g,1,g,26,g,7,g,0,g,0,g,0,g
10,bjs restaurant,burger add ons fried egg,7,g,212,mg,177,g,0,g,6,g,2,g,0,g,0,g,0,g
11,bjs restaurant,parmesan crusted chicken with sundried tomatoes parmesan cheese and lemon butter sauce,74,g,499,mg,2201,g,70,g,89,g,40,g,0,g,7,g,8,g
12,bjs restaurant,fire roasted barbacoa chicken,15,g,106,mg,2223,g,44,g,51,g,3,g,0,g,8,g,3,g
13,bjs restaurant,lemon thyme chicken,19,g,133,mg,2242,g,52,g,60,g,3,g,0,g,5,g,5,g
14,bjs restaurant,baby back pork ribs full rack with peppered bbq sauce,68,g,230,mg,7840,g,119,g,50,g,25,g,0,g,2,g,100,g
15,bjs restaurant,tri tip combo with chicken without sides,22,g,221,mg,3219,g,46,g,76,g,7,g,0,g,0,g,40,g
16,bjs restaurant,spicy peanut chicken with soba noodles,61,g,106,mg,2125,g,75,g,45,g,13,g,0,g,8,g,23,g
17,bjs restaurant,peruvian quinoa bowl vegetarian style,22,g,0,mg,675,g,47,g,12,g,3,g,0,g,7,g,5,g
