,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,cafe metro,old school,27,g,85,mg,1700,g,73,g,38,g,7,g,0,g,3,g,7,g
1,cafe metro,onion bagel,2,g,0,mg,680,g,70,g,14,g,0,g,0,g,3,g,1,g
2,cafe metro,orange cranberry muffin,15,g,90,mg,530,g,65,g,6,g,9,g,0,g,2,g,28,g
3,cafe metro,oreo cookie brownie,37,g,80,mg,210,g,80,g,5,g,21,g,0,g,0,g,53,g
4,cafe metro,organic split pea soup 8oz,2,g,0,mg,30,g,20,g,9,g,0,g,0,g,3,g,1,g
5,cafe metro,pasta e fagioli soup 8oz,7,g,0,mg,800,g,36,g,11,g,1,g,0,g,8,g,3,g
6,cafe metro,peanut butter brownie,46,g,110,mg,380,g,81,g,12,g,11,g,0,g,4,g,62,g
7,cafe metro,peanut butter cookie,26,g,50,mg,1720,g,48,g,10,g,10,g,0,g,2,g,30,g
8,cafe metro,penne with sun dried tomato pesto,16,g,0,mg,200,g,34,g,15,g,0,g,0,g,5,g,4,g
9,cafe metro,plain bagel,2,g,0,mg,680,g,68,g,13,g,0,g,0,g,3,g,0,g
10,cafe metro,plain croissant,18,g,75,mg,130,g,28,g,4,g,10,g,0,g,3,g,10,g
11,cafe metro,plain pound cake,21,g,135,mg,370,g,52,g,68,g,11,g,0,g,1,g,38,g
12,cafe metro,plain yogurt parfait,12,g,20,mg,250,g,52,g,22,g,4.5,g,0,g,3,g,42,g
13,cafe metro,poppyseed bagel,2,g,0,mg,680,g,68,g,13,g,0,g,0,g,3,g,1,g
14,cafe metro,portobello and tomato bisque soup 8oz,2.5,g,0,mg,900,g,24,g,2,g,0.5,g,0,g,2,g,4,g
15,cafe metro,portuguese kale soup 8oz,4,g,0,mg,600,g,18,g,5,g,1,g,0,g,5,g,1,g
16,cafe metro,pot roast with vegetables soup 8oz,8,g,0,mg,620,g,10,g,13,g,3,g,0,g,2,g,4,g
17,cafe metro,potato leek soup 8oz,13,g,0,mg,1080,g,17,g,4,g,8,g,0,g,1,g,1,g
18,cafe metro,proscuitto di parma,30,g,80,mg,3200,g,34,g,38,g,11,g,0,g,1,g,2,g
