,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,starbucks,matcha green tea latte with soy milk short,3,g,0,mg,65,g,17,g,5,g,0,g,0,g,1,g,14,g,,
1,starbucks,matcha green tea latte with soy milk tall,4.5,g,0,mg,105,g,29,g,8,g,0.5,g,0,g,2,g,25,g,,
2,starbucks,matcha green tea latte with soy milk venti,7,g,0,mg,170,g,52,g,14,g,1,g,0,g,3,g,45,g,,
3,starbucks,matcha green tea latte with whole milk grande,11,g,35,mg,150,g,34,g,12,g,6,g,0,g,1,g,32,g,,
4,starbucks,matcha green tea latte with whole milk short,6,g,15,mg,75,g,14,g,6,g,3,g,0,g,0,g,14,g,,
5,starbucks,matcha green tea latte with whole milk tall,9,g,25,mg,115,g,25,g,9,g,5,g,0,g,1,g,24,g,,
6,starbucks,matcha green tea latte with whole milk venti,15,g,45,mg,190,g,45,g,15,g,8,g,0,g,2,g,43,g,,
7,starbucks,medium roast brewed coffee pike place roast brewed coffee grande,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g,,
8,starbucks,medium roast brewed coffee pike place roast brewed coffee short,0,g,0,mg,5,g,0,g,0,g,0,g,0,g,0,g,0,g,,
9,starbucks,medium roast brewed coffee pike place roast brewed coffee tall,0,g,0,mg,10,g,0,g,0,g,0,g,0,g,0,g,0,g,,
10,starbucks,medium roast brewed coffee pike place roast brewed coffee traveler,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g,,
11,starbucks,medium roast brewed coffee pike place roast brewed coffee venti,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g,,
12,starbucks,michigan cherry oat bar,10,g,35,mg,240,g,47,g,3,g,6,g,0,g,2,g,28,g,,
13,starbucks,mocha frappuccino light nonfat milk grande,0.5,g,0,mg,180,g,28,g,4,g,0,g,0,g,1,g,26,g,,
14,starbucks,mocha frappuccino light nonfat milk tall,0.5,g,0,mg,150,g,23,g,3,g,0,g,0,g,1,g,21,g,,
15,starbucks,mocha frappuccino light nonfat milk venti,1,g,5,mg,260,g,41,g,6,g,0.5,g,0,g,2,g,38,g,,
16,starbucks,mocha frappuccino with 2 milk and no whip grande,3,g,10,mg,230,g,61,g,4,g,1.5,g,0,g,1,g,58,g,,
17,starbucks,mocha frappuccino with 2 milk and no whip tall,2,g,5,mg,160,g,42,g,3,g,1.5,g,0,g,1,g,40,g,,
18,starbucks,mocha frappuccino with 2 milk and no whip venti,4,g,10,mg,310,g,81,g,7,g,2.5,g,0,g,2,g,77,g,,
19,starbucks,mocha frappuccino with 2 milk and whip grande,14,g,50,mg,240,g,65,g,5,g,9,g,0,g,1,g,61,g,,
20,starbucks,mocha frappuccino with 2 milk and whip tall,10,g,35,mg,170,g,44,g,4,g,6,g,0,g,1,g,42,g,,
21,starbucks,mocha frappuccino with 2 milk and whip venti,15,g,55,mg,320,g,84,g,7,g,9,g,0,g,2,g,80,g,,
22,starbucks,mocha frappuccino with almond milk and no whip grande,2.5,g,0,mg,230,g,58,g,2,g,0.5,g,0,g,2,g,55,g,,
23,starbucks,mocha frappuccino with almond milk and no whip tall,2,g,0,mg,160,g,40,g,1,g,0,g,0,g,1,g,37,g,,
24,starbucks,mocha frappuccino with almond milk and no whip venti,3.5,g,0,mg,300,g,76,g,2,g,1,g,0,g,2,g,72,g,,
25,starbucks,mocha frappuccino with almond milk and whip grande,14,g,40,mg,240,g,61,g,2,g,8,g,0,g,2,g,58,g,,
26,starbucks,mocha frappuccino with almond milk and whip tall,10,g,30,mg,170,g,42,g,2,g,5,g,0,g,1,g,40,g,,
27,starbucks,mocha frappuccino with almond milk and whip venti,15,g,40,mg,310,g,80,g,3,g,8,g,0,g,2,g,75,g,,
28,starbucks,mocha frappuccino with coconut milk and no whip grande,3,g,0,mg,220,g,60,g,1,g,2.5,g,0,g,1,g,57,g,,
29,starbucks,mocha frappuccino with coconut milk and no whip tall,2,g,0,mg,160,g,41,g,1,g,2,g,0,g,1,g,39,g,,
30,starbucks,mocha frappuccino with coconut milk and no whip venti,4,g,0,mg,300,g,79,g,2,g,3.5,g,0,g,2,g,75,g,,
31,starbucks,mocha frappuccino with coconut milk and whip grande,14,g,40,mg,230,g,63,g,2,g,9,g,0,g,1,g,60,g,,
32,starbucks,mocha frappuccino with coconut milk and whip tall,10,g,30,mg,160,g,43,g,1,g,7,g,0,g,1,g,41,g,,
33,starbucks,mocha frappuccino with coconut milk and whip venti,15,g,40,mg,310,g,82,g,2,g,11,g,0,g,2,g,78,g,,
34,starbucks,mocha frappuccino with nonfat milk and no whip grande,1,g,0,mg,230,g,61,g,5,g,0.5,g,0,g,1,g,59,g,,
35,starbucks,mocha frappuccino with nonfat milk and no whip tall,0.5,g,0,mg,160,g,42,g,3,g,0,g,0,g,1,g,40,g,,
36,starbucks,mocha frappuccino with nonfat milk and no whip venti,1,g,5,mg,300,g,81,g,7,g,0.5,g,0,g,2,g,77,g,,
37,starbucks,mocha frappuccino with nonfat milk and whip grande,12,g,45,mg,240,g,65,g,5,g,8,g,0,g,1,g,61,g,,
38,starbucks,mocha frappuccino with nonfat milk and whip tall,9,g,30,mg,170,g,45,g,4,g,5,g,0,g,1,g,42,g,,
39,starbucks,mocha frappuccino with nonfat milk and whip venti,12,g,45,mg,320,g,84,g,7,g,8,g,0,g,2,g,80,g,,
40,starbucks,mocha frappuccino with soy milk and no whip grande,2.5,g,0,mg,220,g,63,g,4,g,0.5,g,0,g,2,g,59,g,,
41,starbucks,mocha frappuccino with soy milk and no whip tall,2,g,0,mg,160,g,43,g,3,g,0,g,0,g,1,g,40,g,,
42,starbucks,mocha frappuccino with soy milk and no whip venti,3.5,g,0,mg,300,g,83,g,6,g,1,g,0,g,2,g,78,g,,
43,starbucks,mocha frappuccino with soy milk and whip grande,14,g,40,mg,230,g,66,g,5,g,8,g,0,g,2,g,61,g,,
44,starbucks,mocha frappuccino with soy milk and whip tall,10,g,30,mg,160,g,46,g,3,g,5,g,0,g,1,g,42,g,,
45,starbucks,mocha frappuccino with soy milk and whip venti,15,g,40,mg,310,g,87,g,6,g,8,g,0,g,2,g,80,g,,
46,starbucks,mocha frappuccino with whole milk and no whip grande,4,g,10,mg,230,g,51,g,4,g,2.5,g,0,g,1,g,58,g,,
47,starbucks,mocha frappuccino with whole milk and no whip tall,3,g,10,mg,160,g,42,g,3,g,2,g,0,g,1,g,40,g,,
48,starbucks,mocha frappuccino with whole milk and no whip venti,6,g,15,mg,310,g,81,g,6,g,3.5,g,0,g,2,g,77,g,,
49,starbucks,mocha frappuccino with whole milk and whip grande,15,g,50,mg,240,g,65,g,5,g,9,g,0,g,1,g,61,g,,
50,starbucks,mocha frappuccino with whole milk and whip tall,11,g,35,mg,170,g,44,g,4,g,7,g,0,g,1,g,42,g,,
51,starbucks,mocha frappuccino with whole milk and whip venti,17,g,55,mg,320,g,84,g,7,g,10,g,0,g,2,g,80,g,,
52,starbucks,multigrain bagel,4,g,0,mg,0,g,64,g,17,g,0,g,0,g,8,g,6,g,,
53,starbucks,nitro cold brew grande,0,g,0,mg,10,g,0,g,0,g,0,g,0,g,0,g,0,g,,
54,starbucks,nitro cold brew tall,0,g,0,mg,10,g,0,g,0,g,0,g,0,g,0,g,0,g,,
55,starbucks,nitro flat white grande,12,g,35,mg,160,g,19,g,12,g,7,g,0,g,0,g,17,g,,
56,starbucks,nitro flat white tall,9,g,30,mg,120,g,15,g,9,g,5,g,0,g,0,g,14,g,,
57,starbucks,nitro peach tranquility tea grande,0,g,0,mg,15,g,16,g,0,g,0,g,0,g,0,g,12,g,,
58,starbucks,nitro peach tranquility tea tall,0,g,0,mg,10,g,12,g,0,g,0,g,0,g,0,g,9,g,,
59,starbucks,nitro peach tranquility tea venti,0,g,0,mg,20,g,22,g,0,g,0,g,0,g,0,g,17,g,,
60,starbucks,nonfat milk grande,0,g,10,mg,220,g,26,g,18,g,0,g,0,g,0,g,26,g,,
61,starbucks,nonfat milk tall,0,g,10,mg,170,g,20,g,14,g,0,g,0,g,0,g,20,g,,
62,starbucks,nonfat milk venti,0.5,g,15,mg,310,g,37,g,25,g,0,g,0,g,0,g,37,g,,
63,starbucks,oatmeal cookie,12,g,45,mg,190,g,40,g,5,g,7,g,0,g,3,g,20,g,,
64,starbucks,octopus cookie,18,g,25,mg,120,g,39,g,3,g,11,g,0,g,1,g,20,g,,
65,starbucks,old fashioned glazed doughnut,27,g,20,mg,410,g,56,g,5,g,13,g,0,g,1,g,30,g,,
66,starbucks,oprah brewed tea latte 2 milk grande,4,g,15,mg,105,g,21,g,7,g,2.5,g,0,g,0,g,21,g,,
67,starbucks,oprah brewed tea latte 2 milk short,2,g,10,mg,55,g,11,g,4,g,1.5,g,0,g,0,g,11,g,,
68,starbucks,oprah brewed tea latte 2 milk tall,3,g,15,mg,80,g,16,g,5,g,2,g,0,g,0,g,16,g,,
69,starbucks,oprah brewed tea latte 2 milk venti,5,g,20,mg,135,g,27,g,9,g,3.5,g,0,g,0,g,27,g,,
70,starbucks,oprah brewed tea latte almond milk grande,3.5,g,0,mg,100,g,15,g,1,g,0,g,0,g,1,g,14,g,,
71,starbucks,oprah brewed tea latte almond milk short,2,g,0,mg,55,g,8,g,1,g,0,g,0,g,1,g,7,g,,
72,starbucks,oprah brewed tea latte almond milk tall,2.5,g,0,mg,75,g,12,g,1,g,0,g,0,g,1,g,11,g,,
73,starbucks,oprah brewed tea latte almond milk venti,4.5,g,0,mg,130,g,19,g,2,g,0,g,0,g,1,g,18,g,,
74,starbucks,oprah brewed tea latte coconut milk grande,5,g,0,mg,95,g,18,g,0,g,4.5,g,0,g,0,g,18,g,,
75,starbucks,oprah brewed tea latte coconut milk short,2.5,g,0,mg,50,g,9,g,0,g,2.5,g,0,g,0,g,9,g,,
76,starbucks,oprah brewed tea latte coconut milk tall,3.5,g,0,mg,70,g,14,g,0,g,3.5,g,0,g,0,g,14,g,,
77,starbucks,oprah brewed tea latte coconut milk venti,6,g,0,mg,120,g,23,g,1,g,6,g,0,g,0,g,23,g,,
78,starbucks,oprah brewed tea latte nonfat milk grande,0,g,5,mg,95,g,21,g,7,g,0,g,0,g,0,g,21,g,,
79,starbucks,oprah brewed tea latte nonfat milk short,0,g,0,mg,50,g,11,g,4,g,0,g,0,g,0,g,11,g,,
80,starbucks,oprah brewed tea latte nonfat milk tall,0,g,5,mg,70,g,16,g,5,g,0,g,0,g,0,g,16,g,,
81,starbucks,oprah brewed tea latte nonfat milk venti,0,g,5,mg,120,g,27,g,9,g,0,g,0,g,0,g,27,g,,
82,starbucks,oprah brewed tea latte soy milk grande,3,g,0,mg,85,g,24,g,6,g,0,g,0,g,1,g,21,g,,
83,starbucks,oprah brewed tea latte soy milk short,1.5,g,0,mg,45,g,12,g,3,g,0,g,0,g,0,g,11,g,,
84,starbucks,oprah brewed tea latte soy milk tall,2.5,g,0,mg,65,g,18,g,4,g,0,g,0,g,1,g,16,g,,
85,starbucks,oprah brewed tea latte soy milk venti,4,g,0,mg,105,g,30,g,7,g,0.5,g,0,g,1,g,27,g,,
86,starbucks,oprah brewed tea latte whole milk grande,7,g,20,mg,95,g,21,g,7,g,4,g,0,g,0,g,21,g,,
87,starbucks,oprah brewed tea latte whole milk short,3.5,g,10,mg,50,g,11,g,4,g,2,g,0,g,0,g,11,g,,
88,starbucks,oprah brewed tea latte whole milk tall,5,g,15,mg,75,g,16,g,5,g,3,g,0,g,0,g,16,g,,
89,starbucks,oprah brewed tea latte whole milk venti,9,g,25,mg,125,g,27,g,8,g,5,g,0,g,0,g,27,g,,
90,starbucks,orange cream soda grande,0,g,0,mg,15,g,24,g,0,g,0,g,0,g,0,g,23,g,,
91,starbucks,orange cream soda tall,0,g,0,mg,10,g,18,g,0,g,0,g,0,g,0,g,17,g,,
92,starbucks,orange cream soda trenta,0,g,0,mg,25,g,49,g,0,g,0,g,0,g,0,g,46,g,,
93,starbucks,orange cream soda venti,0,g,0,mg,20,g,36,g,0,g,0,g,0,g,0,g,34,g,,
94,starbucks,orange mango smoothie 2 milk,1.5,g,5,mg,125,g,53,g,16,g,0.5,g,0,g,6,g,37,g,,
95,starbucks,orange mango smoothie almond milk,1.5,g,5,mg,125,g,52,g,14,g,0,g,0,g,6,g,35,g,,
96,starbucks,orange mango smoothie coconut milk,1.5,g,5,mg,120,g,53,g,14,g,1,g,0,g,6,g,36,g,,
97,starbucks,orange mango smoothie nonfat milk,1,g,5,mg,120,g,54,g,16,g,0,g,0,g,6,g,37,g,,
98,starbucks,orange mango smoothie soy milk,1.5,g,5,mg,120,g,54,g,15,g,0,g,0,g,6,g,37,g,,
99,starbucks,orange mango smoothie whole milk,2.5,g,5,mg,120,g,53,g,16,g,1,g,0,g,6,g,37,g,,
100,starbucks,organic avocado spread,8,g,0,mg,250,g,5,g,1,g,1,g,0,g,4,g,0,g,,
101,starbucks,organic winter blend coffee,0.05,g,0,mg,4.74,g,0,g,0.28,g,0,g,0,g,0,g,0,g,0.04,g
102,starbucks,pbandj protein box,26,g,25,mg,570,g,53,g,20,g,8,g,0,g,5,g,29,g,,
103,starbucks,peanut butter cup cookie,21,g,35,mg,280,g,36,g,8,g,8,g,0,g,3,g,22,g,,
104,starbucks,pecan tart,18,g,75,mg,210,g,39,g,4,g,8,g,0,g,1,g,19,g,,
