,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,maggianos little italy,rigatoni with marinara small,98,g,0,mg,8540,g,486,g,85,g,10,g,0.5,g,31,g,83,g
1,maggianos little italy,rigatoni with meat sauce large,210,g,355,mg,19660,g,980,g,280,g,38,g,6,g,74,g,167,g
2,maggianos little italy,rigatoni with meat sauce small,105,g,180,mg,9830,g,490,g,140,g,19,g,3,g,37,g,84,g
3,maggianos little italy,roasted garlic broccoli,16,g,0,mg,380,g,17,g,5,g,1.5,g,0,g,0,g,3,g
4,maggianos little italy,roasted garlic broccoli small,96,g,0,mg,2280,g,101,g,30,g,10,g,1,g,0,g,15,g
5,maggianos little italy,salmon lemon and herb,66,g,185,mg,1400,g,9,g,47,g,24,g,1,g,3,g,2,g
6,maggianos little italy,salmon with crispy calabrian shrimp,113,g,345,mg,3530,g,47,g,74,g,39,g,1.5,g,6,g,5,g
7,maggianos little italy,seasonal sangria glass,0,g,0,mg,5,g,27,g,0,g,0,g,0,g,0,g,25,g
8,maggianos little italy,seasonal sangria pitcher,0,g,0,mg,20,g,116,g,1,g,0,g,0,g,2,g,102,g
9,maggianos little italy,shrimp cacio e pepe,85,g,380,mg,3880,g,124,g,81,g,31,g,1.5,g,7,g,10,g
10,maggianos little italy,shrimp cacio e pepe family style,85,g,380,mg,3880,g,124,g,81,g,31,g,1.5,g,7,g,10,g
11,maggianos little italy,shrimp fra diavolo,30,g,515,mg,3660,g,72,g,69,g,8,g,0,g,6,g,5,g
12,maggianos little italy,shrimp fra diavolo family style,30,g,515,mg,3660,g,72,g,69,g,8,g,0,g,6,g,5,g
13,maggianos little italy,shrimp scampi,98,g,390,mg,3440,g,67,g,47,g,38,g,2,g,4,g,6,g
14,maggianos little italy,shrimp scampi family style,98,g,390,mg,3440,g,67,g,47,g,38,g,2,g,4,g,6,g
15,maggianos little italy,sicilian coffee,0,g,0,mg,0,g,17,g,0,g,0,g,0,g,0,g,17,g
16,maggianos little italy,signature barrel aged cocktail,0,g,0,mg,0,g,8,g,0,g,0,g,0,g,0,g,8,g
17,maggianos little italy,soda can coke,0,g,0,mg,45,g,39,g,0,g,0,g,0,g,0,g,39,g
18,maggianos little italy,soda can diet coke,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g
19,maggianos little italy,soda can sprite,0,g,0,mg,90,g,52,g,0,g,0,g,0,g,0,g,52,g
20,maggianos little italy,spaghetti and meatball with marinara sauce,45,g,130,mg,2980,g,147,g,47,g,12,g,1,g,9,g,22,g
21,maggianos little italy,spaghetti and meatball with marinara family style,45,g,130,mg,2980,g,147,g,47,g,12,g,1,g,9,g,22,g
22,maggianos little italy,spaghetti and meatball with marinara large,399,g,1045,mg,28340,g,1247,g,386,g,100,g,7,g,87,g,225,g
23,maggianos little italy,spaghetti and meatball with marinara small,200,g,520,mg,14170,g,624,g,193,g,50,g,3.5,g,44,g,112,g
24,maggianos little italy,spaghetti and meatball with meat sauce,47,g,175,mg,3310,g,148,g,61,g,14,g,1.5,g,11,g,22,g
25,maggianos little italy,spaghetti and meatball with meat sauce family style,47,g,175,mg,3310,g,148,g,61,g,14,g,1.5,g,11,g,22,g
26,maggianos little italy,spaghetti and meatball with meat sauce large,419,g,1540,mg,31930,g,1258,g,539,g,124,g,14,g,103,g,226,g
27,maggianos little italy,spaghetti and meatball with meat sauce small,209,g,770,mg,15970,g,629,g,269,g,62,g,7,g,51,g,113,g
28,maggianos little italy,spaghetti aglio olio,31,g,35,mg,960,g,57,g,14,g,10,g,0.5,g,3,g,3,g
29,maggianos little italy,spaghetti marinara,14,g,0,mg,1190,g,68,g,12,g,1.5,g,0,g,4,g,12,g
30,maggianos little italy,spaghetti with marinara,26,g,0,mg,2220,g,133,g,23,g,2.5,g,0,g,8,g,21,g
31,maggianos little italy,spaghetti with marinara family style,26,g,0,mg,2220,g,133,g,23,g,2.5,g,0,g,8,g,21,g
32,maggianos little italy,spaghetti with marinara large,246,g,0,mg,22210,g,1135,g,198,g,27,g,1.5,g,78,g,220,g
33,maggianos little italy,spaghetti with marinara small,123,g,0,mg,11110,g,568,g,99,g,13,g,0.5,g,39,g,110,g
34,maggianos little italy,spaghetti with meat sauce,28,g,45,mg,2540,g,134,g,37,g,5,g,1,g,10,g,22,g
35,maggianos little italy,spaghetti with meat sauce family style,28,g,45,mg,2540,g,134,g,37,g,5,g,1,g,10,g,22,g
