,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,not your average joes,small toppings pepperoni,20,g,30,mg,780,g,2,g,9,g,8,g,0,g,0,g,2,g
1,not your average joes,small toppings pineapple,0,g,0,mg,0,g,22,g,1,g,0,g,0,g,2,g,16,g
2,not your average joes,small toppings red onions,0,g,0,mg,5,g,15,g,2,g,0,g,0,g,3,g,7,g
3,not your average joes,small toppings roasted mushrooms,7,g,0,mg,330,g,5,g,2,g,0.5,g,0,g,1,g,0,g
4,not your average joes,small toppings roasted sausage,28,g,45,mg,450,g,2,g,9,g,9,g,0,g,0,g,2,g
5,not your average joes,small toppings shrimp,1,g,150,mg,170,g,0,g,16,g,0,g,0,g,0,g,0,g
6,not your average joes,small toppings smoked mozzarella cheese,6,g,30,mg,340,g,4,g,10,g,4,g,0,g,0,g,0,g
7,not your average joes,small toppings spanish onions,0,g,0,mg,5,g,15,g,2,g,0,g,0,g,3,g,7,g
8,not your average joes,small toppings spinach,0,g,0,mg,25,g,1,g,1,g,0,g,0,g,0,g,0,g
9,not your average joes,spaghetti squash bolognese dinner,13,g,0,mg,2020,g,46,g,10,g,2,g,0,g,10,g,15,g
10,not your average joes,spaghetti squash bolognese lunch,12,g,0,mg,1820,g,40,g,8,g,2,g,0,g,9,g,13,g
11,not your average joes,steak wedge,41,g,215,mg,1400,g,11,g,68,g,15,g,0,g,3,g,7,g
12,not your average joes,strawberry shortcake,38,g,175,mg,440,g,80,g,8,g,19,g,0,g,2,g,53,g
13,not your average joes,super crunch with orange sesame vinaigrette,37,g,110,mg,1170,g,73,g,51,g,4.5,g,0,g,14,g,32,g
14,not your average joes,sweet blue burger with fries,86,g,225,mg,2850,g,80,g,63,g,33,g,2,g,4,g,20,g
15,not your average joes,sweet blue burger with mixed greens,62,g,225,mg,2070,g,50,g,61,g,29,g,2,g,2,g,19,g
16,not your average joes,sweet potato chorizo soup bowl,12,g,25,mg,910,g,23,g,3,g,4.5,g,0,g,3,g,8,g
17,not your average joes,sweet potato chorizo soup cup,8,g,15,mg,610,g,15,g,2,g,3,g,0,g,2,g,5,g
18,not your average joes,thai beef noodle salad,86,g,130,mg,2690,g,95,g,61,g,13,g,0,g,13,g,48,g
19,not your average joes,the supreme joe large,133,g,365,mg,7400,g,266,g,137,g,62,g,0,g,14,g,22,g
20,not your average joes,the supreme joe small,81,g,200,mg,4030,g,138,g,75,g,35,g,0,g,8,g,13,g
21,not your average joes,tiki time cocktail,0,g,135,mg,30,g,29,g,0,g,0,g,0,g,0,g,0,g
22,not your average joes,turkey avocado club sandwich with fries,79,g,120,mg,2880,g,78,g,51,g,13,g,0,g,11,g,7,g
23,not your average joes,turkey avocado club sandwich with mixed greens,55,g,120,mg,2090,g,49,g,49,g,9,g,0,g,9,g,6,g
24,not your average joes,tuscan grilled chicken sandwich with fries,84,g,175,mg,2710,g,76,g,54,g,23,g,0,g,5,g,9,g
25,not your average joes,tuscan grilled chicken sandwich with mixed greens,60,g,175,mg,1920,g,47,g,52,g,19,g,0,g,3,g,8,g
26,not your average joes,unsweetened iced tea,0,g,0,mg,5,g,1,g,0,g,0,g,0,g,0,g,0,g
27,not your average joes,veggie quinoa stir fry,38,g,0,mg,1430,g,72,g,14,g,3.5,g,0,g,9,g,26,g
28,not your average joes,veggie satay lettuce wraps,40,g,15,mg,2340,g,119,g,23,g,6,g,0,g,20,g,58,g
29,not your average joes,waldorf salad with creamy sherry vinaigrette,58,g,170,mg,1250,g,64,g,58,g,13,g,0,g,8,g,48,g
30,not your average joes,waldorf side salad,24,g,25,mg,490,g,36,g,7,g,4.5,g,0,g,5,g,27,g
31,not your average joes,wedge side salad,21,g,35,mg,1090,g,12,g,12,g,9,g,0,g,3,g,7,g
32,nothing bundt cakes,blueberry bliss 10 inch cake,12,g,60,mg,260,g,42,g,3,g,5,g,0,g,0,g,31,g
33,nothing bundt cakes,blueberry bliss 8 inch cake,13,g,60,mg,250,g,43,g,2,g,6,g,0,g,0,g,33,g
34,nothing bundt cakes,blueberry bliss bundtini,9,g,45,mg,180,g,31,g,2,g,4.5,g,0,g,0,g,24,g
35,nothing bundt cakes,blueberry bliss bundtlet,14,g,70,mg,300,g,47,g,3,g,6,g,0,g,0,g,35,g
36,nothing bundt cakes,carrot 10 inch cake,11,g,50,mg,200,g,43,g,3,g,4.5,g,0,g,0,g,33,g
37,nothing bundt cakes,carrot 8 inch cake,12,g,55,mg,200,g,45,g,3,g,4.5,g,0,g,0,g,35,g
38,nothing bundt cakes,carrot bundtini,8,g,35,mg,135,g,30,g,2,g,3.5,g,0,g,0,g,24,g
39,nothing bundt cakes,carrot bundtlet,13,g,65,mg,240,g,52,g,3,g,4.5,g,0,g,0,g,38,g
40,nothing bundt cakes,chocolate chocolate chip 10 inch cake,12,g,50,mg,390,g,45,g,3,g,5,g,0,g,0,g,33,g
41,nothing bundt cakes,chocolate chocolate chip 8 inch cake,12,g,45,mg,300,g,44,g,3,g,6,g,0,g,0,g,31,g
42,nothing bundt cakes,chocolate chocolate chip bundtini,9,g,35,mg,260,g,32,g,2,g,3.5,g,0,g,0,g,24,g
43,nothing bundt cakes,chocolate chocolate chip bundtlet,13,g,55,mg,490,g,51,g,3,g,4.5,g,0,g,0,g,35,g
44,nothing bundt cakes,classic vanilla 10 inch cake,13,g,65,mg,270,g,41,g,3,g,6,g,0,g,0,g,31,g
45,nothing bundt cakes,classic vanilla 8 inch cake,13,g,60,mg,240,g,39,g,2,g,6,g,0,g,0,g,31,g
46,nothing bundt cakes,classic vanilla bundlet,13,g,60,mg,260,g,40,g,2,g,6,g,0,g,0,g,30,g
47,nothing bundt cakes,classic vanilla bundtini,9,g,45,mg,180,g,29,g,2,g,4.5,g,0,g,0,g,22,g
48,nothing bundt cakes,confetti 10 inch cake,13,g,65,mg,260,g,42,g,3,g,6,g,0,g,0,g,31,g
49,nothing bundt cakes,confetti 8 inch cake,12,g,55,mg,230,g,40,g,2,g,6,g,0,g,0,g,31,g
50,nothing bundt cakes,confetti bundtini,10,g,40,mg,150,g,31,g,1,g,5,g,0,g,0,g,27,g
51,nothing bundt cakes,confetti bundtlet,13,g,65,mg,270,g,44,g,3,g,6,g,0,g,0,g,32,g
