,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,joes crab shack,kids celery and ranch,13,g,0,mg,350,g,6,g,2,g,2.5,g,0,g,2,g,3,g
1,joes crab shack,kids cheesy mac,9,g,20,mg,910,g,35,g,11,g,3,g,0,g,1,g,8,g
2,joes crab shack,kids apple sauce,0,g,0,mg,0,g,24,g,0,g,0,g,0,g,1,g,22,g
3,joes crab shack,homestyle chicken tenders with sides,81,g,155,mg,2200,g,93,g,82,g,16,g,0,g,6,g,15,g
4,joes crab shack,pan fried cheesy chicken with sides,100,g,235,mg,2460,g,110,g,58,g,34,g,18,g,7,g,8,g
5,joes crab shack,ribeye with sides,82,g,205,mg,1680,g,26,g,77,g,34,g,5,g,5,g,4,g
6,joes crab shack,joes steak deal with sides,32,g,120,mg,2060,g,53,g,53,g,8,g,0,g,8,g,2,g
7,joes crab shack,chicken caesar salad with dressing,46,g,130,mg,1580,g,18,g,47,g,11,g,0,g,5,g,5,g
8,joes crab shack,crab cake chipotle caesar salad with dressing,72,g,140,mg,2410,g,52,g,27,g,14,g,7,g,11,g,11,g
9,joes crab shack,snow crab classic cobb salad with dressing,38,g,270,mg,1530,g,38,g,38,g,14,g,0,g,10,g,11,g
10,joes crab shack,shrimp caesar salad with dressing,38,g,180,mg,2100,g,19,g,28,g,10,g,0,g,5,g,5,g
11,joes crab shack,chicken classic cobb salad with dressing,46,g,325,mg,1800,g,38,g,59,g,15,g,0,g,10,g,11,g
12,joes crab shack,house side salad without dressing,7,g,15,mg,250,g,10,g,6,g,3,g,0,g,2,g,3,g
13,joes crab shack,caesar salad with dressing,37,g,35,mg,1110,g,18,g,13,g,9,g,0,g,5,g,5,g
14,joes crab shack,aruba chicken salad with dressing,49,g,130,mg,1220,g,37,g,50,g,14,g,0,g,7,g,22,g
15,joes crab shack,shrimp classic cobb salad with dressing,39,g,370,mg,1780,g,39,g,40,g,14,g,0,g,10,g,11,g
16,joes crab shack,aruba shrimp salad with dressing,61,g,75,mg,1380,g,60,g,23,g,18,g,0,g,15,g,23,g
17,joes crab shack,chicken chipotle caesar salad with dressing,46,g,110,mg,2390,g,42,g,44,g,9,g,0,g,10,g,9,g
18,joes crab shack,caesar side salad with dressing,18,g,15,mg,540,g,8,g,6,g,4.5,g,0,g,2,g,2,g
19,joes crab shack,crab cake sandwich without sides,61,g,135,mg,1490,g,40,g,22,g,12,g,10,g,3,g,4,g
20,joes crab shack,chipotle bacon cheeseburger without sides,68,g,165,mg,2440,g,47,g,53,g,26,g,9,g,3,g,13,g
