,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,bob evans restaurants,breakfast side choice cup of grits with butter,21,g,25,mg,280,g,13,g,2,g,7,g,0,g,1,g,0,g
1,bob evans restaurants,breakfast side choice hashbrowns,12,g,0,mg,160,g,28,g,2,g,2,g,1.5,g,3,g,1,g
2,bob evans restaurants,breakfast side choice homefries,17,g,0,mg,690,g,24,g,3,g,2.5,g,0.5,g,2,g,2,g
3,bob evans restaurants,build your own omelet egg choice egg whites,0,g,0,mg,300,g,1,g,19,g,0,g,0,g,0,g,1,g
4,bob evans restaurants,build your own omelet egg choice farm fresh eggs,24,g,575,mg,390,g,3,g,20,g,8,g,0,g,0,g,1,g
5,bob evans restaurants,build your own omelet grill oil added to grilled vegetables,14,g,0,mg,0,g,0,g,0,g,2,g,0,g,0,g,0,g
6,bob evans restaurants,build your own omelet topping choice american cheese,9,g,30,mg,470,g,1,g,5,g,5,g,0,g,0,g,1,g
7,bob evans restaurants,build your own omelet topping choice bacon,18,g,45,mg,900,g,1,g,15,g,6,g,0,g,0,g,0,g
8,bob evans restaurants,build your own omelet topping choice bob evans sausage,12,g,40,mg,290,g,1,g,9,g,4.5,g,0,g,0,g,0,g
9,bob evans restaurants,build your own omelet topping choice cheddar cheese,8,g,25,mg,150,g,0,g,5,g,4.5,g,0,g,0,g,0,g
10,bob evans restaurants,build your own omelet topping choice diced ham,1.5,g,25,mg,990,g,2,g,12,g,1,g,0,g,0,g,2,g
11,bob evans restaurants,build your own omelet topping choice jalapenos without oil,0,g,0,mg,130,g,0,g,0,g,0,g,0,g,0,g,0,g
12,bob evans restaurants,build your own omelet topping choice mushrooms,6,g,0,mg,70,g,1,g,1,g,1.5,g,1.5,g,0,g,1,g
13,bob evans restaurants,build your own omelet topping choice onions without oil,0,g,0,mg,0,g,3,g,0,g,0,g,0,g,0,g,1,g
14,bob evans restaurants,build your own omelet topping choice red and green bell peppers without oil,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,1,g,1,g
15,bob evans restaurants,build your own omelet topping choice swiss,6,g,20,mg,15,g,1,g,6,g,4,g,0,g,0,g,0,g
16,bob evans restaurants,burger bar,29,g,90,mg,1270,g,58,g,31,g,13,g,1,g,3,g,9,g
17,bob evans restaurants,burger rise and shine,75,g,340,mg,1710,g,92,g,51,g,25,g,3,g,5,g,22,g
18,bob evans restaurants,buttermilk biscuits with butter,19,g,5,mg,920,g,32,g,3,g,10,g,0.5,g,1,g,2,g
19,bob evans restaurants,caramel coffee,0,g,0,mg,10,g,14,g,1,g,0,g,0,g,0,g,14,g
20,bob evans restaurants,caramel mocha,9,g,0,mg,140,g,46,g,2,g,7,g,0,g,1,g,37,g
21,bob evans restaurants,carrots,4.5,g,5,mg,115,g,13,g,1,g,1.5,g,0,g,3,g,10,g
22,bob evans restaurants,catering brioche french toast,16,g,210,mg,720,g,81,g,19,g,5,g,0,g,3,g,22,g
23,bob evans restaurants,catering homefries,4.5,g,0,mg,990,g,35,g,4,g,1,g,1,g,4,g,3,g
24,bob evans restaurants,cheddar baked potato,11,g,35,mg,940,g,23,g,9,g,6,g,0,g,1,g,3,g
25,bob evans restaurants,cheeseburger,36,g,60,mg,1210,g,84,g,20,g,12,g,1,g,6,g,5,g
26,bob evans restaurants,chicken and noodles,7,g,30,mg,540,g,14,g,10,g,1.5,g,1,g,1,g,1,g
27,bob evans restaurants,chicken n noodles,9,g,35,mg,720,g,19,g,9,g,2,g,1,g,1,g,1,g
28,bob evans restaurants,chicken n noodles deep dish,33,g,105,mg,2320,g,54,g,26,g,15,g,2,g,3,g,4,g
29,bob evans restaurants,chicken n noodles deep dish dinner,26,g,80,mg,1760,g,42,g,20,g,12,g,1.5,g,2,g,3,g
30,bob evans restaurants,choc chips hotcakes only,4.5,g,0,mg,0,g,9,g,1,g,2.5,g,0,g,1,g,8,g
31,bob evans restaurants,chocolate chunk cookie,26,g,35,mg,370,g,68,g,6,g,13,g,0,g,3,g,41,g
32,bob evans restaurants,chocolate fudge sundae,8,g,20,mg,55,g,30,g,3,g,4.5,g,0,g,1,g,21,g
33,bob evans restaurants,chocolate peanut butter pie topped with reeses slice,41,g,45,mg,420,g,74,g,7,g,20,g,0,g,3,g,56,g
34,bob evans restaurants,chocolate peanut butter pie topped with reeses whole pie,252,g,270,mg,2510,g,411,g,40,g,123,g,2,g,16,g,320,g
35,bob evans restaurants,chocolate peanut butter pie with reeses,41,g,45,mg,420,g,74,g,7,g,20,g,0,g,3,g,56,g
36,bob evans restaurants,cinnamon supreme hotcakes,26,g,5,mg,1810,g,190,g,17,g,12,g,0.5,g,5,g,72,g
37,bob evans restaurants,classic breakfast,55,g,480,mg,2650,g,65,g,35,g,25,g,1,g,2,g,4,g
38,bob evans restaurants,classic family meals bread buttermilk biscuits with butter,30,g,15,mg,1200,g,40,g,6,g,14,g,1,g,1,g,3,g
39,bob evans restaurants,classic family meals bread dinner rolls with butter,21,g,20,mg,530,g,38,g,6,g,6,g,0,g,2,g,2,g
40,bob evans restaurants,classic family meals sides baked potato,12,g,15,mg,120,g,51,g,6,g,4,g,0,g,4,g,2,g
41,bob evans restaurants,classic family meals sides bread and celery dressing,11,g,15,mg,700,g,30,g,5,g,3.5,g,0,g,1,g,4,g
42,bob evans restaurants,classic family meals sides broccoli,0,g,0,mg,20,g,4,g,2,g,0,g,0,g,0,g,0,g
43,bob evans restaurants,classic family meals sides broccoli with butter,10,g,10,mg,110,g,5,g,3,g,3,g,0,g,0,g,0,g
44,bob evans restaurants,classic family meals sides buttered corn,12,g,0,mg,320,g,21,g,3,g,3,g,0,g,2,g,3,g
45,bob evans restaurants,classic family meals sides carrots glazed,8,g,10,mg,190,g,21,g,1,g,2.5,g,0,g,4,g,16,g
46,bob evans restaurants,classic family meals sides coleslaw,27,g,20,mg,490,g,37,g,2,g,4,g,0,g,3,g,34,g
47,bob evans restaurants,classic family meals sides french fries,14,g,0,mg,480,g,47,g,0,g,2.5,g,0,g,4,g,0,g
48,bob evans restaurants,classic family meals sides golden brown home fries,17,g,0,mg,770,g,27,g,3,g,2.5,g,1,g,3,g,2,g
49,bob evans restaurants,classic family meals sides green beans with ham,1.5,g,5,mg,560,g,4,g,2,g,0.5,g,0,g,2,g,0,g
50,bob evans restaurants,classic family meals sides hash browns,7,g,0,mg,2690,g,29,g,3,g,1.5,g,1.5,g,4,g,1,g
51,bob evans restaurants,classic family meals sides macaroni and cheese,12,g,25,mg,910,g,25,g,11,g,5,g,0,g,2,g,4,g
52,bob evans restaurants,classic family meals sides mashed potatoes and chicken gravy,19,g,45,mg,1100,g,28,g,5,g,10,g,0.5,g,3,g,3,g
53,bob evans restaurants,classic family meals sides seasonal fruit,0,g,0,mg,10,g,18,g,1,g,0,g,0,g,1,g,16,g
54,bob evans restaurants,coconut cream pie,35,g,5,mg,440,g,62,g,5,g,26,g,0,g,1,g,39,g
55,bob evans restaurants,coconut cream pie slice,35,g,5,mg,440,g,62,g,5,g,26,g,0,g,1,g,39,g
56,bob evans restaurants,coconut cream pie whole pie,210,g,15,mg,2630,g,375,g,27,g,154,g,2,g,7,g,234,g
57,bob evans restaurants,country biscuit breakfast,36,g,80,mg,1340,g,29,g,22,g,17,g,0,g,1,g,2,g
58,bob evans restaurants,country cobb salad,54,g,225,mg,1370,g,10,g,32,g,14,g,0.5,g,3,g,6,g
59,bob evans restaurants,country fried steak and farm fresh eggs,33,g,55,mg,930,g,38,g,20,g,10,g,0.5,g,4,g,1,g
60,bob evans restaurants,cranberry pecan chicken,10,g,65,mg,680,g,20,g,25,g,4,g,0,g,4,g,13,g
61,bob evans restaurants,cranberry pecan chicken salad,22,g,50,mg,1350,g,29,g,20,g,8,g,0,g,3,g,21,g
62,bob evans restaurants,craveable classics homestyle fried chicken tenders,36,g,105,mg,1260,g,46,g,34,g,13,g,0,g,3,g,0,g
63,bob evans restaurants,cup of grits topping bacon,7,g,20,mg,370,g,1,g,6,g,2,g,0,g,0,g,0,g
64,bob evans restaurants,cup of grits topping cheddar cheese,10,g,30,mg,180,g,1,g,7,g,5,g,0,g,0,g,1,g
65,bob evans restaurants,cup of grits topping green onions,0.5,g,0,mg,0,g,1,g,1,g,0,g,0,g,1,g,1,g
66,bob evans restaurants,cup of grits topping sour cream,3,g,10,mg,10,g,1,g,1,g,2,g,0,g,0,g,1,g
67,bob evans restaurants,decaf coffee,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g
68,bob evans restaurants,desserts bakery cherry pie with whipped topping slice,32,g,0,mg,420,g,75,g,4,g,18,g,0,g,2,g,41,g
69,bob evans restaurants,desserts bakery cherry pie with whipped topping whole pie,193,g,0,mg,2510,g,452,g,24,g,106,g,1.5,g,12,g,246,g
70,bob evans restaurants,desserts bakery cherry pie slice,24,g,0,mg,410,g,66,g,3,g,10,g,0,g,2,g,32,g
71,bob evans restaurants,desserts bakery cherry pie whole pie,142,g,0,mg,2480,g,398,g,20,g,60,g,1,g,11,g,194,g
72,bob evans restaurants,desserts banana nut bread 2 slices,22,g,15,mg,540,g,37,g,5,g,5,g,0,g,2,g,31,g
73,bob evans restaurants,desserts biscuits 2 with butter,31,g,10,mg,1530,g,53,g,7,g,16,g,1,g,1,g,3,g
74,bob evans restaurants,desserts caramel sundae,7,g,20,mg,135,g,31,g,3,g,4.5,g,0,g,0,g,12,g
75,bob evans restaurants,desserts chocolate chunk cookie,26,g,35,mg,370,g,68,g,6,g,13,g,0,g,3,g,41,g
76,bob evans restaurants,desserts chocolate fudge sundae,8,g,20,mg,55,g,30,g,3,g,4.5,g,0,g,1,g,21,g
77,bob evans restaurants,desserts chocolate peanut butter pie slice,41,g,45,mg,420,g,74,g,7,g,20,g,0,g,3,g,56,g
78,bob evans restaurants,desserts chocolate peanut butter pie whole pie,252,g,270,mg,2510,g,411,g,40,g,123,g,2,g,16,g,320,g
79,bob evans restaurants,desserts cinnabiscuits,21,g,5,mg,1450,g,124,g,8,g,13,g,0,g,2,g,74,g
80,bob evans restaurants,desserts cinnamon pull apart,35,g,10,mg,570,g,135,g,10,g,13,g,0,g,54,g,65,g
81,bob evans restaurants,desserts coconut cream pie slice,38,g,20,mg,410,g,64,g,4,g,28,g,0,g,1,g,44,g
82,bob evans restaurants,desserts coconut cream pie whole pie,225,g,115,mg,2490,g,381,g,22,g,168,g,2.5,g,9,g,265,g
83,bob evans restaurants,desserts dinner rolls 2 with butter,17,g,10,mg,610,g,50,g,8,g,5,g,0,g,3,g,3,g
84,bob evans restaurants,desserts double crust apple pie slice,24,g,0,mg,410,g,77,g,3,g,10,g,0,g,3,g,47,g
85,bob evans restaurants,desserts double crust apple pie whole pie,141,g,0,mg,2490,g,410,g,16,g,60,g,1.5,g,16,g,231,g
86,bob evans restaurants,diet pepsi,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g
87,bob evans restaurants,dinner rolls with butter,11,g,10,mg,370,g,30,g,5,g,3,g,0,g,2,g,2,g
88,bob evans restaurants,dinner rolls two rolls with butter,17,g,10,mg,610,g,50,g,8,g,5,g,0,g,3,g,3,g
89,bob evans restaurants,dinner side choice hashbrowns,12,g,0,mg,160,g,28,g,2,g,2,g,1.5,g,3,g,1,g
90,bob evans restaurants,dinner side choice homefries,17,g,0,mg,690,g,24,g,3,g,2.5,g,0.5,g,1,g,2,g
91,bob evans restaurants,dinner sides baked potato,12,g,15,mg,120,g,51,g,6,g,4,g,0,g,4,g,2,g
92,bob evans restaurants,dinner sides bob evans signature coleslaw,14,g,10,mg,250,g,19,g,1,g,2,g,0,g,2,g,17,g
93,bob evans restaurants,dinner sides bread and celery dressing,15,g,20,mg,1000,g,42,g,7,g,5,g,0,g,2,g,6,g
94,bob evans restaurants,dinner sides broccoli,10,g,10,mg,110,g,5,g,3,g,3,g,0,g,0,g,0,g
95,bob evans restaurants,dinner sides carrots,4.5,g,5,mg,115,g,13,g,1,g,1.5,g,0,g,3,g,10,g
96,bob evans restaurants,dinner sides corn,10,g,10,mg,90,g,20,g,3,g,30,g,0,g,2,g,2,g
97,bob evans restaurants,dinner sides french fries,14,g,0,mg,480,g,47,g,0,g,2.5,g,0,g,4,g,0,g
98,bob evans restaurants,dinner sides green beans with ham,1.5,g,5,mg,460,g,4,g,2,g,0,g,0,g,2,g,0,g
99,bob evans restaurants,dinner sides load your side,20,g,55,mg,560,g,2,g,13,g,10,g,0,g,0,g,1,g
100,bob evans restaurants,dinner sides macaroni and cheese,12,g,25,mg,910,g,25,g,11,g,5,g,0,g,2,g,4,g
101,bob evans restaurants,dinner sides mashed potatoes and chicken gravy,14,g,30,mg,830,g,19,g,3,g,7,g,0,g,2,g,2,g
102,bob evans restaurants,dinner sides mashed potatoes and country gravy,10,g,25,mg,560,g,17,g,3,g,6,g,0,g,2,g,2,g
103,bob evans restaurants,double bacon cheeseburger includes french fries,61,g,185,mg,1670,g,81,g,49,g,20,g,2.5,g,7,g,4,g
104,bob evans restaurants,double blueberry hotcakes,23,g,0,mg,1900,g,203,g,17,g,10,g,0,g,6,g,78,g
105,bob evans restaurants,double chocolate hotcakes,27,g,0,mg,1820,g,199,g,18,g,13,g,0,g,6,g,74,g
106,bob evans restaurants,double crust apple pie,24,g,0,mg,410,g,77,g,3,g,10,g,0,g,3,g,47,g
107,bob evans restaurants,double steakhouse burger includes french fries,78,g,235,mg,2270,g,88,g,65,g,26,g,4.5,g,7,g,8,g
108,bob evans restaurants,double crust apple pie slice,24,g,0,mg,410,g,77,g,3,g,10,g,0,g,3,g,47,g
109,bob evans restaurants,double crust apple pie whole pie,141,g,0,mg,2490,g,410,g,16,g,60,g,1.5,g,16,g,231,g
110,bob evans restaurants,down home country fried steak,34,g,55,mg,970,g,39,g,21,g,11,g,1,g,4,g,0,g
111,bob evans restaurants,dressing blue cheese large,30,g,30,mg,440,g,4,g,2,g,6,g,0,g,0,g,2,g
112,bob evans restaurants,dressing blue cheese small,15,g,15,mg,220,g,2,g,1,g,3,g,0,g,0,g,1,g
113,bob evans restaurants,dressing buttermilk ranch large,21,g,20,mg,420,g,2,g,0,g,4,g,0,g,0,g,2,g
114,bob evans restaurants,dressing buttermilk ranch small,10,g,10,mg,210,g,1,g,0,g,2,g,0,g,0,g,1,g
115,bob evans restaurants,dressing colonial large,27,g,0,mg,260,g,15,g,0,g,4.5,g,0,g,0,g,15,g
116,bob evans restaurants,dressing colonial small,14,g,0,mg,130,g,8,g,0,g,2,g,0,g,0,g,8,g
117,bob evans restaurants,dressing french large,26,g,10,mg,330,g,12,g,0,g,4,g,0.5,g,0,g,12,g
118,bob evans restaurants,dressing french small,13,g,5,mg,170,g,6,g,0,g,2,g,0,g,0,g,6,g
119,bob evans restaurants,dressing italian large,14,g,0,mg,580,g,4,g,1,g,2.5,g,0,g,0,g,3,g
120,bob evans restaurants,dressing italian small,7,g,0,mg,290,g,2,g,0,g,1.5,g,0,g,0,g,1,g
121,bob evans restaurants,dressing wildfire ranch large,12,g,10,mg,410,g,12,g,1,g,2,g,0,g,0,g,8,g
122,bob evans restaurants,dressing wildfire ranch small,6,g,5,mg,200,g,6,g,0,g,1,g,0,g,0,g,4,g
123,bob evans restaurants,family meals side choice homefries,17,g,0,mg,690,g,24,g,3,g,2.5,g,0.5,g,2,g,2,g
124,bob evans restaurants,family meals banana nut bread two slices,22,g,15,mg,540,g,37,g,5,g,5,g,0,g,2,g,31,g
125,bob evans restaurants,family meals buttermilk biscuits two slices with butter,31,g,10,mg,1530,g,53,g,7,g,16,g,1,g,1,g,3,g
126,bob evans restaurants,family meals chocolate chunk cookie,26,g,35,mg,370,g,68,g,6,g,13,g,0,g,3,g,41,g
127,bob evans restaurants,family meals coffee,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g
128,bob evans restaurants,family meals decaf coffee,0,g,0,mg,10,g,0,g,1,g,0,g,0,g,0,g,0,g
129,bob evans restaurants,family meals diet pepsi,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g
130,bob evans restaurants,family meals freshly brewed iced tea peach,0,g,0,mg,10,g,39,g,0,g,0,g,0,g,1,g,36,g
131,bob evans restaurants,family meals freshly brewed iced tea sweet,0,g,0,mg,10,g,20,g,0,g,0,g,0,g,1,g,18,g
132,bob evans restaurants,family meals freshly brewed iced tea unsweetened,0,g,0,mg,10,g,2,g,0,g,0,g,0,g,1,g,0,g
133,bob evans restaurants,family meals homestyle fried chicken tenders,36,g,105,mg,1260,g,46,g,34,g,13,g,0,g,3,g,0,g
134,bob evans restaurants,family meals hot chocolate,9,g,0,mg,300,g,55,g,4,g,7,g,0,g,2,g,44,g
135,bob evans restaurants,family meals hot tea,0,g,0,mg,10,g,1,g,0,g,0,g,0,g,0,g,0,g
136,bob evans restaurants,family meals lemonade,0,g,0,mg,15,g,25,g,0,g,0,g,0,g,0,g,21,g
137,bob evans restaurants,family meals mist twist,0,g,0,mg,20,g,27,g,0,g,0,g,0,g,0,g,27,g
138,bob evans restaurants,family meals mountain dew,0,g,0,mg,35,g,29,g,0,g,0,g,0,g,0,g,29,g
139,bob evans restaurants,family meals mug root beer,0,g,0,mg,30,g,26,g,0,g,0,g,0,g,0,g,26,g
140,bob evans restaurants,family meals orange juice,0,g,0,mg,20,g,39,g,0,g,0,g,0,g,0,g,38,g
141,bob evans restaurants,family meals pepsi cola,0,g,0,mg,20,g,28,g,0,g,0,g,0,g,0,g,28,g
142,bob evans restaurants,family meals strawberry lemonade,0,g,0,mg,15,g,30,g,0,g,0,g,0,g,1,g,27,g
143,bob evans restaurants,family meals wild cherry pepsi,0,g,0,mg,20,g,28,g,0,g,0,g,0,g,0,g,28,g
144,bob evans restaurants,family meals wildfire chicken salad,10,g,15,mg,460,g,32,g,7,g,4,g,0,g,4,g,16,g
145,bob evans restaurants,family fork tender pot roast,62,g,145,mg,2340,g,62,g,38,g,21,g,1.5,g,11,g,25,g
146,bob evans restaurants,farmers choice breakfast griddle choice hotcakes w butter and syrup,28,g,10,mg,1910,g,209,g,17,g,9,g,0.5,g,4,g,39,g
147,bob evans restaurants,farmhouse chicken sandwich includes french friesadd choice of chicken,50,g,90,mg,1990,g,87,g,20,g,14,g,2,g,7,g,9,g
148,bob evans restaurants,farmhouse garden salad no dressing,12,g,30,mg,340,g,12,g,10,g,6,g,0,g,3,g,3,g
149,bob evans restaurants,farmhouse garden side,7,g,15,mg,290,g,15,g,7,g,3.5,g,0,g,4,g,3,g
150,bob evans restaurants,farmhouse sides baked potato,12,g,15,mg,120,g,51,g,6,g,4,g,0,g,4,g,2,g
151,bob evans restaurants,farmhouse sides bob evans signature coleslaw,14,g,10,mg,250,g,19,g,1,g,2,g,0,g,2,g,17,g
152,bob evans restaurants,farmhouse sides bread and celery dressing,15,g,20,mg,1000,g,42,g,7,g,5,g,0,g,2,g,6,g
153,bob evans restaurants,farmhouse sides broccoli,10,g,10,mg,110,g,5,g,3,g,3,g,0,g,0,g,0,g
154,bob evans restaurants,farmhouse sides carrots,4.5,g,5,mg,115,g,13,g,1,g,1.5,g,0,g,3,g,10,g
155,bob evans restaurants,farmhouse sides french fries,14,g,0,mg,480,g,47,g,0,g,2.5,g,0,g,4,g,0,g
156,bob evans restaurants,farmhouse sides green beans with ham,1.5,g,5,mg,460,g,4,g,2,g,0,g,0,g,2,g,0,g
157,bob evans restaurants,farmhouse sides macaroni and cheese,12,g,25,mg,910,g,25,g,11,g,5,g,0,g,2,g,4,g
158,bob evans restaurants,farmhouse sides mashed potatoes and chicken gravy,14,g,30,mg,830,g,19,g,3,g,7,g,0,g,2,g,2,g
159,bob evans restaurants,farmhouse sides mashed potatoes and country gravy,10,g,25,mg,560,g,17,g,3,g,6,g,0,g,2,g,2,g
160,bob evans restaurants,fork tender pot roast,16,g,50,mg,540,g,17,g,14,g,6,g,0.5,g,4,g,11,g
161,bob evans restaurants,fork tender pot roast smaller portion,44,g,85,mg,1390,g,37,g,20,g,14,g,1,g,6,g,13,g
162,bob evans restaurants,freshly brewed iced tea sweet,0,g,0,mg,10,g,20,g,0,g,0,g,0,g,1,g,18,g
163,bob evans restaurants,freshly brewed iced tea unsweetened,0,g,0,mg,10,g,2,g,0,g,0,g,0,g,1,g,0,g
164,bob evans restaurants,freshly brewed peach iced tea,0,g,0,mg,10,g,39,g,0,g,0,g,0,g,1,g,36,g
165,bob evans restaurants,golden fried shrimp,2.5,g,110,mg,1890,g,65,g,18,g,0,g,0,g,3,g,8,g
166,bob evans restaurants,great alaskan cod,39,g,110,mg,1050,g,39,g,32,g,7,g,0,g,4,g,2,g
167,bob evans restaurants,green beans with ham,1.5,g,5,mg,450,g,4,g,2,g,0,g,0,g,1,g,0,g
168,bob evans restaurants,grilled cheese and soup,22,g,50,mg,1200,g,43,g,13,g,10,g,2,g,3,g,14,g
169,bob evans restaurants,grilled cheese triangles,15,g,30,mg,770,g,40,g,10,g,7,g,1.5,g,2,g,16,g
170,bob evans restaurants,grilled chicken,6,g,50,mg,630,g,52,g,27,g,1.5,g,0,g,1,g,23,g
171,bob evans restaurants,grilled chicken breasts,7,g,145,mg,1070,g,0,g,54,g,2,g,0,g,0,g,0,g
172,bob evans restaurants,grilled chicken dinner,4.5,g,95,mg,720,g,0,g,36,g,1.5,g,0,g,0,g,0,g
173,bob evans restaurants,grilled to perfection chicken,9,g,190,mg,1430,g,0,g,72,g,3,g,0,g,0,g,0,g
174,bob evans restaurants,half sandwich combo 1 2 slow roasted pot roast,21,g,70,mg,1100,g,29,g,23,g,9,g,2,g,3,g,4,g
175,bob evans restaurants,half sandwich combo 1 2 slow roasted turkey bacon melt,16,g,50,mg,1080,g,23,g,21,g,6,g,1,g,2,g,1,g
176,bob evans restaurants,half sandwich combo cheddar baked potato includes 2 saltine crackers,12,g,35,mg,900,g,16,g,9,g,6,g,0,g,1,g,2,g
177,bob evans restaurants,half sandwich combo chicken n noodles includes 2 saltine crackers,7,g,30,mg,560,g,13,g,7,g,1.5,g,1,g,1,g,1,g
178,bob evans restaurants,half sandwich combo farmhouse garden side salad no dressing,4.5,g,10,mg,180,g,13,g,6,g,2,g,0,g,5,g,3,g
179,bob evans restaurants,half sandwich combo hearty beef vegetable includes 2 saltine crackers,2.5,g,15,mg,620,g,18,g,7,g,0.5,g,0,g,2,g,4,g
180,bob evans restaurants,ham biscuit benedict,23,g,50,mg,1740,g,43,g,16,g,13,g,0.5,g,2,g,16,g
181,bob evans restaurants,heartland chicken pot pie,87,g,175,mg,2390,g,106,g,51,g,30,g,0.5,g,7,g,24,g
182,bob evans restaurants,hearty beef vegetable,3.5,g,15,mg,720,g,24,g,8,g,1,g,0,g,3,g,4,g
183,bob evans restaurants,herb corn,12,g,0,mg,320,g,25,g,4,g,3,g,0,g,3,g,3,g
184,bob evans restaurants,herb rubbed turkey and dressing,15,g,70,mg,1300,g,37,g,28,g,4.5,g,0,g,1,g,18,g
185,bob evans restaurants,herb rubbed turkey and dressing smaller portion,32,g,80,mg,2250,g,67,g,23,g,13,g,0.5,g,3,g,18,g
186,bob evans restaurants,homestead breakfast,16,g,20,mg,820,g,14,g,8,g,9,g,0,g,0,g,2,g
187,bob evans restaurants,homestead breakfast gravy only,16,g,20,mg,820,g,14,g,8,g,9,g,0,g,0,g,2,g
188,bob evans restaurants,homestyle boneless fried chicken breast,30,g,0,mg,1400,g,41,g,33,g,6,g,0,g,4,g,0,g
189,bob evans restaurants,homestyle fried chicken tender platter,30,g,85,mg,1050,g,38,g,28,g,11,g,0,g,3,g,0,g
