,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,pret a manger,classic pastrami on rye sandwich,18,g,0,mg,1550,g,51,g,35,g,9,g,0,g,5,g,0,g
1,pret a manger,banh mi baguette,22,g,0,mg,1150,g,90,g,21,g,3.5,g,0,g,4,g,19,g
2,pret a manger,ham and cheddar grilled cheese sandwich on sourdough,31,g,0,mg,1630,g,52,g,31,g,15,g,0,g,2,g,1,g
3,pret a manger,chicken and bacon sandwich on 9 grain granary bread,27,g,0,mg,660,g,35,g,26,g,3,g,0,g,3,g,4,g
4,pret a manger,smoked ham and egg sandwich,27,g,0,mg,1450,g,32,g,25,g,4.5,g,0,g,2,g,4,g
5,pret a manger,prets chicken salad sandwich on 9 grain granary bread,21,g,0,mg,660,g,32,g,24,g,3,g,0,g,2,g,2,g
6,pret a manger,greek falafel wrap,27,g,0,mg,850,g,71,g,19,g,2,g,0,g,10,g,11,g
7,pret a manger,hummus and crunchy veggie flatbread wrap,11,g,0,mg,590,g,46,g,16,g,1.5,g,0,g,15,g,7,g
8,pret a manger,mozzarella and pesto hot toastie,19,g,0,mg,620,g,45,g,18,g,8,g,0,g,5,g,3,g
9,pret a manger,prets egg salad and arugula sandwich on 9 grain garanary bread,25,g,0,mg,600,g,31,g,15,g,3,g,0,g,2,g,3,g
10,pret a manger,chicken pesto on artisan baguette,28,g,0,mg,810,g,62,g,35,g,8,g,0,g,0,g,4,g
11,pret a manger,prets classic grilled cheese sandwich on sourdough,41,g,0,mg,570,g,53,g,31,g,19,g,0,g,2,g,0,g
12,pret a manger,brie tomato and basil baguette,19,g,0,mg,1120,g,70,g,27,g,11,g,0,g,3,g,1,g
13,pret a manger,lebanese chicken flatbread wrap,17,g,0,mg,1000,g,44,g,37,g,4,g,0,g,14,g,7,g
14,pret a manger,prets tuna salad sandwich on 9 grain granary bread,29,g,0,mg,460,g,32,g,22,g,2,g,0,g,3,g,3,g
15,pret a manger,roasted beef and parmesan baguette,15,g,0,mg,1510,g,69,g,29,g,5,g,0,g,4,g,0,g
16,pret a manger,crunchy wrap,15,g,0,mg,520,g,49,g,6,g,2.5,g,0,g,9,g,4,g
17,pret a manger,prets caprese baguette,21,g,0,mg,880,g,56,g,21,g,8,g,0,g,5,g,5,g
18,pret a manger,california club sandwich on 9 grain granary bread,16,g,0,mg,700,g,41,g,22,g,2.5,g,0,g,6,g,7,g
19,pret a manger,smoked ham and cheddar sandwich on 9 grain granary bread,28,g,0,mg,1410,g,32,g,28,g,10,g,0,g,2,g,3,g
20,pret a manger,spinach artichoke grilled cheese sandwich on sourdough,28,g,0,mg,500,g,57,g,27,g,15,g,0,g,4,g,1,g
21,pret a manger,slim chicken and bacon sandwich,9,g,0,mg,585,g,24.5,g,12,g,1.5,g,0,g,3.5,g,1.5,g
22,pret a manger,spicy shrimp and cilantro wrap,18,g,0,mg,670,g,35,g,23,g,2,g,0,g,3,g,2,g
23,pret a manger,chipotle chicken bacon and avocado sandwich,28,g,0,mg,1270,g,56,g,27,g,4.5,g,0,g,10,g,5,g
24,pret a manger,balsamic chicken and avocado sandwich on 9 grain granary bread,26,g,0,mg,550,g,41,g,23,g,3,g,0,g,8,g,5,g
25,pret a manger,spicy grilled chicken hot wrap,26,g,0,mg,1660,g,48,g,21,g,8,g,0,g,3,g,1,g
26,pret a manger,chicken mozzarella baguette,20,g,0,mg,960,g,57,g,31,g,7,g,0,g,4,g,6,g
27,pret a manger,cheddar avocado with spinach and kale sandwich,33,g,0,mg,1000,g,59,g,21,g,8,g,0,g,11,g,6,g
28,pret a manger,slim balsamic chicken and avocado sandwich,12.5,g,0,mg,540,g,28.5,g,11.5,g,1.5,g,0,g,6,g,2,g
29,pret a manger,albacore tuna salad sandwich,29,g,0,mg,650,g,48,g,26,g,4.5,g,0,g,7,g,4,g
30,pret a manger,grilled chicken cobb wrap,31,g,0,mg,1190,g,37,g,27,g,7,g,0,g,5,g,5,g
31,pret a manger,california club sandwich on 9 grain granary bread,16,g,0,mg,700,g,41,g,22,g,2.5,g,0,g,6,g,7,g
32,pret a manger,classic cheddar and tomato sandwich on 9 grain granary bread,25,g,0,mg,680,g,35,g,18,g,10,g,0,g,3,g,4,g
33,pret a manger,slim chicken and mozzarella baguette,10,g,0,mg,685,g,36.5,g,17,g,3.5,g,0,g,1.5,g,1.5,g
34,pret a manger,buffalo chicken hot wrap,33,g,0,mg,1470,g,55,g,36,g,10,g,0,g,2,g,2,g
35,pret a manger,turkey pesto on artisan baguette,15,g,0,mg,1540,g,91,g,35,g,2.5,g,0,g,8,g,7,g
36,pret a manger,turkey and avocado caesar baguette,26,g,0,mg,1240,g,70,g,24,g,3,g,0,g,10,g,2,g
37,pret a manger,mustard chicken and swiss wrap,25,g,0,mg,830,g,35,g,32,g,6,g,0,g,2,g,2,g
38,pret a manger,roast beef and horseradish cream baguette,25,g,0,mg,1160,g,63,g,26,g,10,g,0,g,5,g,1,g
39,pret a manger,super veggie with spinach and kale baguette,16,g,0,mg,1280,g,79,g,24,g,6,g,0,g,6,g,8,g
40,pret a manger,thanksgiving lunch sandwich,15,g,0,mg,940,g,54,g,26,g,3.5,g,0,g,4,g,15,g
41,pret a manger,falafel and red peppers hot wrap,25,g,0,mg,1030,g,69,g,19,g,7,g,0,g,6,g,2,g
42,pret a manger,avocado and roasted corn salsa flatbread wrap,23,g,0,mg,530,g,49,g,17,g,3.5,g,0,g,18,g,6,g
43,pret a manger,prets tuma and cucumber baguette,29,g,0,mg,770,g,52,g,24,g,2.5,g,0,g,4,g,3,g
44,pret a manger,mediterranean avocado on artisan baguette,23,g,0,mg,1100,g,97,g,19,g,2.5,g,0,g,14,g,6,g
45,pret a manger,artichoke caprese artisan baguette,27,g,0,mg,1360,g,67,g,23,g,8,g,0,g,5,g,2,g
46,pret a manger,southwest bbq chicken hot baguette,12,g,0,mg,1610,g,95,g,48,g,7,g,0,g,5,g,16,g
47,pret a manger,new york meatball hot wrap,20,g,0,mg,990,g,39,g,29,g,12,g,0,g,1,g,0,g
48,pret a manger,meatball parmesan hot wrap,37,g,0,mg,1510,g,65,g,41,g,7,g,0,g,6,g,9,g
49,pret a manger,turkey caesar and bacon on artisan baguette,33,g,0,mg,1650,g,87,g,34,g,7,g,0,g,7,g,5,g
50,pret a manger,albacore tuna and arugula baguette,29,g,0,mg,920,g,68,g,31,g,5,g,0,g,3,g,0,g
51,pret a manger,slim ham and cheese baguette,10,g,0,mg,815,g,35,g,17,g,3.5,g,0,g,1.5,g,0,g
52,pret a manger,hummus and garden veggie sandwich,12,g,0,mg,560,g,61,g,12,g,1,g,0,g,12,g,5,g
53,pret a manger,maryland spiced shrimp and spinach sandwich,18,g,0,mg,1330,g,49,g,40,g,2,g,0,g,7,g,2,g
54,pret a manger,slim california club sandwich,12.5,g,0,mg,500,g,27,g,12.5,g,2,g,0,g,5,g,2.5,g
55,pret a manger,green chicken pozole soup,7,g,0,mg,1280,g,27,g,16,g,0,g,0,g,7,g,11,g
56,pret a manger,moroccan lentil soup,9.7,g,0,mg,529,g,25.6,g,9.1,g,1.4,g,0,g,8.5,g,4,g
57,pret a manger,thai chicken red curry soup,7,g,0,mg,831,g,23,g,10,g,3.5,g,0,g,2,g,3,g
58,pret a manger,tomato and feta soup,7,g,0,mg,703,g,11.5,g,4.5,g,3.5,g,0,g,2.5,g,7,g
59,pret a manger,gazpacho cold soup,6,g,0,mg,590,g,12,g,2,g,1,g,0,g,2,g,9,g
60,pret a manger,white bean and escarole soup,7,g,0,mg,734,g,32,g,12,g,1,g,0,g,8,g,2,g
