,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,white spot restaurants,add 1 slice of cheese,5,g,15,mg,360,g,2,g,4,g,3,g,0,g,0,g,0,g
1,white spot restaurants,add 2 slices bacon,5,g,15,mg,200,g,0,g,4,g,2,g,0,g,0,g,0,g
2,white spot restaurants,add gravy,1,g,5,mg,10,g,1,g,1,g,0.5,g,0,g,0,g,1,g
3,white spot restaurants,add sauteed mushrooms,1,g,0,mg,610,g,6,g,2,g,0.5,g,0,g,0,g,0,g
4,white spot restaurants,add shrimp gyoza,18,g,20,mg,840,g,32,g,7,g,3,g,0,g,3,g,7,g
5,white spot restaurants,apple pie with ice cream,46,g,15,mg,440,g,150,g,9,g,22,g,0,g,4,g,85,g
6,white spot restaurants,arugula and goat cheese flatbread,25,g,50,mg,1100,g,69,g,20,g,9,g,0,g,4,g,11,g
7,white spot restaurants,avocado beyond burger,43,g,20,mg,1070,g,59,g,33,g,12,g,0,g,5,g,14,g
8,white spot restaurants,avocado beyond burger vegan on gf bun and no ranch,39,g,0,mg,940,g,59,g,27,g,9,g,0,g,10,g,2,g
9,white spot restaurants,baby back ribs full rack only,162,g,645,mg,790,g,1,g,129,g,59,g,0,g,0,g,1,g
10,white spot restaurants,baby back ribs half rack only,81,g,325,mg,390,g,1,g,65,g,30,g,0,g,0,g,0,g
11,white spot restaurants,back bacon,3,g,15,mg,770,g,0,g,10,g,0,g,0,g,0,g,0,g
12,white spot restaurants,bacon,10,g,30,mg,400,g,0,g,9,g,3,g,0,g,0,g,0,g
13,white spot restaurants,bacon cheddar bigger burger,72,g,165,mg,1220,g,55,g,49,g,22,g,0.5,g,2,g,11,g
14,white spot restaurants,bacon cheddar bigger burger without sauce,50,g,150,mg,870,g,49,g,48,g,18,g,0,g,2,g,7,g
15,white spot restaurants,bacon broccoli and cheese scramble,44,g,925,mg,1290,g,6,g,48,g,14,g,0,g,1,g,4,g
