,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,daily grill,blackened chicken caesar salad dinner,73,g,210,mg,1660,g,25,g,88,g,15,g,0,g,7,g,3,g
1,daily grill,blackened chicken caesar salad lunch,71,g,130,mg,1340,g,24,g,55,g,15,g,0,g,6,g,3,g
2,daily grill,blackened tilapia dinner,35,g,195,mg,980,g,14,g,48,g,20,g,0,g,4,g,6,g
3,daily grill,blackened tilapia lunch,34,g,165,mg,950,g,14,g,36,g,20,g,0,g,4,g,6,g
4,daily grill,blt,32,g,150,mg,1970,g,77,g,32,g,10,g,0,g,3,g,18,g
5,daily grill,blueberry muffins,10,g,35,mg,430,g,35,g,4,g,2,g,0,g,0,g,15,g
6,daily grill,blueberry pancakes,9,g,85,mg,1300,g,90,g,12,g,1,g,0,g,3,g,29,g
7,daily grill,braised short rib,81,g,210,mg,2640,g,82,g,42,g,36,g,0,g,10,g,14,g
8,daily grill,bran muffins,11,g,25,mg,95,g,25,g,2,g,7,g,0,g,1,g,10,g
9,daily grill,breakfast burrito with fresh fruit,38,g,120,mg,2260,g,82,g,61,g,15,g,0,g,13,g,21,g
10,daily grill,breakfast potatoes,5,g,0,mg,240,g,20,g,2,g,1,g,0,g,2,g,2,g
11,daily grill,brown gravy sauce,3,g,5,mg,280,g,4,g,1,g,1,g,0,g,0,g,1,g
12,daily grill,brown sugar,0,g,0,mg,0,g,12,g,0,g,0,g,0,g,0,g,12,g
13,daily grill,butter chips,6,g,15,mg,55,g,0,g,0,g,4,g,0,g,0,g,0,g
14,daily grill,buttermilk pancakes,8,g,85,mg,1300,g,76,g,12,g,1,g,0,g,0,g,19,g
15,daily grill,butternut squash soup large bowl,12,g,40,mg,190,g,13,g,1,g,8,g,0,g,2,g,3,g
16,daily grill,butternut squash soup small bowl,11,g,35,mg,140,g,10,g,1,g,7,g,0,g,2,g,2,g
17,daily grill,caesar dressing,40,g,10,mg,440,g,2,g,0,g,6,g,0,g,0,g,0,g
18,daily grill,cajun tartar sauce,10,g,0,mg,580,g,5,g,0,g,2,g,0,g,0,g,1,g
19,daily grill,california chicken burger,31,g,150,mg,1790,g,36,g,38,g,11,g,0,g,3,g,7,g
20,daily grill,california turkey melt,44,g,175,mg,3150,g,108,g,61,g,25,g,0,g,6,g,28,g
21,daily grill,cantaloupe,0,g,0,mg,5,g,3,g,0,g,0,g,0,g,0,g,3,g
22,daily grill,cedar plank salmon,23,g,125,mg,920,g,84,g,62,g,3,g,0,g,8,g,22,g
23,daily grill,charbroiled rib eye,95,g,570,mg,1380,g,53,g,134,g,33,g,0,g,11,g,5,g
24,daily grill,charbroiled skirt steak,61,g,170,mg,1800,g,59,g,72,g,19,g,0,g,11,g,9,g
25,daily grill,cheerios cereal,1,g,0,mg,120,g,12,g,2,g,0,g,0,g,2,g,1,g
26,daily grill,cheese quesadilla,72,g,165,mg,2370,g,94,g,44,g,33,g,0,g,13,g,14,g
27,daily grill,cheeseburger with bleu cheese,49,g,225,mg,1680,g,74,g,57,g,21,g,0,g,5,g,24,g
28,daily grill,cheeseburger with cheddar cheese,50,g,230,mg,1460,g,74,g,58,g,22,g,0,g,5,g,24,g
29,daily grill,cheeseburger with jack cheese,49,g,230,mg,1470,g,74,g,58,g,22,g,0,g,5,g,24,g
30,daily grill,cheeseburger with swiss cheese,49,g,225,mg,1360,g,75,g,59,g,21,g,0,g,5,g,24,g
31,daily grill,chicken caesar salad dinner,73,g,210,mg,1200,g,23,g,88,g,15,g,0,g,5,g,3,g
32,daily grill,chicken caesar salad lunch,71,g,130,mg,1110,g,23,g,55,g,15,g,0,g,5,g,3,g
33,daily grill,chicken marsala,8,g,110,mg,410,g,72,g,51,g,3,g,0,g,3,g,6,g
34,daily grill,chicken meatballs and angel hair pasta,21,g,90,mg,1390,g,72,g,31,g,6,g,0,g,7,g,8,g
35,daily grill,chicken parmigiana,28,g,145,mg,2080,g,104,g,77,g,15,g,0,g,7,g,11,g
36,daily grill,chicken piccata,75,g,305,mg,1320,g,72,g,58,g,47,g,0,g,12,g,10,g
37,daily grill,chicken pot pie,83,g,130,mg,1190,g,84,g,38,g,29,g,0,g,5,g,8,g
38,daily grill,chicken quesadilla,74,g,230,mg,2450,g,94,g,70,g,33,g,0,g,13,g,14,g
39,daily grill,chicken vegetable soup large bowl,4,g,15,mg,930,g,11,g,4,g,2,g,0,g,1,g,1,g
40,daily grill,chicken vegetable soup small bowl,3,g,15,mg,700,g,10,g,3,g,2,g,0,g,1,g,1,g
41,daily grill,chilaquiles,43,g,455,mg,990,g,99,g,30,g,12,g,0,g,15,g,11,g
42,daily grill,chives,0,g,0,mg,0,g,0,g,0,g,0,g,0,g,0,g,0,g
43,daily grill,chopped beef steak dinner,73,g,285,mg,1530,g,63,g,80,g,32,g,0,g,10,g,12,g
44,daily grill,chopped beef steak lunch,59,g,210,mg,1440,g,57,g,56,g,27,g,0,g,8,g,11,g
45,daily grill,chopped wedge salad,66,g,115,mg,1630,g,6,g,21,g,21,g,0,g,1,g,3,g
46,daily grill,chopped wedge salad and small bowl soup,71,g,135,mg,2380,g,35,g,35,g,24,g,0,g,6,g,7,g
47,daily grill,citrus bbq sauce,0,g,0,mg,470,g,19,g,1,g,0,g,0,g,1,g,17,g
48,daily grill,classic caesar salad,49,g,40,mg,790,g,20,g,21,g,12,g,0,g,3,g,2,g
49,daily grill,classic cheeseburger with bleu cheese,77,g,230,mg,2600,g,98,g,65,g,27,g,0,g,9,g,14,g
50,daily grill,classic cheeseburger with cheddar cheese,78,g,235,mg,2380,g,98,g,66,g,27,g,0,g,9,g,14,g
51,daily grill,classic cheeseburger with jack cheese,77,g,230,mg,2390,g,98,g,66,g,27,g,0,g,9,g,14,g
52,daily grill,classic cheeseburger with swiss cheese,77,g,230,mg,2280,g,99,g,67,g,27,g,0,g,9,g,14,g
53,daily grill,classic hamburger,69,g,205,mg,2220,g,98,g,59,g,22,g,0,g,9,g,14,g
54,daily grill,cobb club sandwich,29,g,110,mg,1620,g,83,g,42,g,8,g,0,g,4,g,19,g
55,daily grill,cobb omelette,58,g,920,mg,1780,g,30,g,59,g,24,g,0,g,6,g,21,g
56,daily grill,cobb salad and small bowl soup,72,g,245,mg,1970,g,38,g,54,g,20,g,0,g,10,g,8,g
57,daily grill,cocktail sauce,0,g,0,mg,880,g,19,g,1,g,0,g,0,g,1,g,15,g
58,daily grill,coke,0,g,0,mg,5,g,32,g,0,g,0,g,0,g,0,g,32,g
59,daily grill,continental breakfast,21,g,55,mg,300,g,71,g,10,g,13,g,0,g,2,g,29,g
60,daily grill,corned beef hash,29,g,515,mg,2510,g,51,g,41,g,10,g,0,g,6,g,7,g
61,daily grill,corned beef hash benedict,80,g,885,mg,990,g,59,g,28,g,44,g,0,g,4,g,21,g
62,daily grill,crab and shrimp omelette,37,g,990,mg,710,g,28,g,51,g,14,g,0,g,5,g,20,g
63,daily grill,crab cake benedict,46,g,745,mg,990,g,54,g,37,g,23,g,0,g,3,g,19,g
64,daily grill,crab cake blt,24,g,135,mg,1380,g,57,g,27,g,5,g,0,g,4,g,21,g
65,daily grill,crab stuffed salmon,38,g,215,mg,800,g,8,g,55,g,12,g,0,g,2,g,2,g
66,daily grill,cranberry juice,0,g,0,mg,25,g,25,g,0,g,0,g,0,g,0,g,25,g
67,daily grill,creamed spinach,26,g,100,mg,650,g,5,g,3,g,17,g,0,g,1,g,0,g
68,daily grill,creamy bleu cheese dressing,29,g,25,mg,380,g,1,g,2,g,6,g,0,g,0,g,1,g
69,daily grill,creamy horseradish sauce,13,g,50,mg,150,g,4,g,1,g,8,g,0,g,0,g,2,g
70,daily grill,croissants,21,g,55,mg,260,g,45,g,8,g,13,g,0,g,0,g,8,g
71,daily grill,daily grill cobb salad dinner,116,g,455,mg,2650,g,25,g,84,g,31,g,0,g,11,g,10,g
72,daily grill,daily grill cobb salad lunch,68,g,230,mg,1400,g,14,g,42,g,17,g,0,g,6,g,5,g
73,daily grill,denver omelette,35,g,875,mg,1730,g,29,g,47,g,15,g,0,g,4,g,21,g
74,daily grill,diet coke,0,g,0,mg,10,g,0,g,0,g,0,g,0,g,0,g,0,g
75,daily grill,distilled spirits,0,g,0,mg,0,g,0,g,0,g,0,g,0,g,0,g,0,g
76,daily grill,double cut pork chop,58,g,190,mg,3350,g,60,g,61,g,22,g,0,g,7,g,25,g
77,daily grill,double layer chocolate cake,71,g,170,mg,850,g,141,g,14,g,36,g,0,g,10,g,97,g
78,daily grill,egg white omelette with fruit,29,g,30,mg,780,g,14,g,24,g,10,g,0,g,7,g,6,g
79,daily grill,egg whites,0,g,0,mg,25,g,0,g,2,g,0,g,0,g,0,g,0,g
80,daily grill,eggs benedict,46,g,675,mg,1070,g,47,g,31,g,24,g,0,g,3,g,19,g
81,daily grill,endive and spicy pecan salad,60,g,25,mg,670,g,33,g,11,g,12,g,0,g,7,g,23,g
82,daily grill,english muffin,1,g,0,mg,200,g,25,g,4,g,0,g,0,g,1,g,1,g
83,daily grill,everything bagel and lox,37,g,140,mg,1850,g,64,g,41,g,17,g,0,g,3,g,6,g
84,daily grill,filet mignon with bleu cheese crust,68,g,230,mg,1430,g,45,g,54,g,33,g,0,g,5,g,4,g
85,daily grill,fish and chips,45,g,65,mg,2010,g,99,g,40,g,8,g,0,g,10,g,17,g
86,daily grill,fish tacos,20,g,75,mg,1010,g,55,g,35,g,8,g,0,g,7,g,4,g
87,daily grill,french dip sandwich,24,g,145,mg,1940,g,96,g,71,g,12,g,0,g,3,g,20,g
88,daily grill,french hound,0,g,0,mg,10,g,17,g,1,g,0,g,0,g,0,g,14,g
89,daily grill,french toast,17,g,485,mg,930,g,96,g,28,g,4,g,0,g,4,g,25,g
90,daily grill,fresh grapefruit,0,g,0,mg,0,g,10,g,1,g,0,g,0,g,1,g,9,g
91,daily grill,fresh lemonade,0,g,0,mg,10,g,15,g,0,g,0,g,0,g,0,g,14,g
92,daily grill,fresh seasonal fruit,0,g,0,mg,15,g,21,g,1,g,0,g,0,g,2,g,17,g
93,daily grill,fresh seasonal melon,1,g,0,mg,90,g,45,g,4,g,0,g,0,g,5,g,42,g
94,daily grill,fresh strawberries,1,g,0,mg,0,g,26,g,2,g,0,g,0,g,7,g,15,g
95,daily grill,fried calamari,21,g,400,mg,1230,g,39,g,31,g,4,g,0,g,2,g,10,g
96,daily grill,fried onions,15,g,5,mg,1160,g,47,g,6,g,3,g,0,g,5,g,17,g
97,daily grill,frosted flakes cereal,0,g,0,mg,170,g,32,g,1,g,0,g,0,g,1,g,13,g
98,daily grill,fruit plate with cottage cheese,6,g,20,mg,730,g,55,g,33,g,3,g,0,g,6,g,44,g
99,daily grill,fruit plate with yogurt,3,g,10,mg,135,g,91,g,9,g,1,g,0,g,10,g,69,g
100,daily grill,fudge brownie pie with ice cream,50,g,125,mg,800,g,268,g,12,g,17,g,0,g,7,g,186,g
101,daily grill,garlic mashed potatoes,28,g,85,mg,800,g,54,g,8,g,18,g,0,g,6,g,5,g
102,daily grill,gazpacho soup large bowl,5,g,0,mg,550,g,9,g,2,g,1,g,0,g,3,g,5,g
103,daily grill,gazpacho soup small bowl,3,g,0,mg,410,g,7,g,1,g,0,g,0,g,2,g,4,g
104,daily grill,ginger pear,0,g,0,mg,5,g,18,g,0,g,0,g,0,g,1,g,12,g
105,daily grill,glazed carrots,23,g,60,mg,300,g,30,g,2,g,14,g,0,g,5,g,20,g
106,daily grill,good start breakfast,8,g,5,mg,250,g,116,g,10,g,3,g,0,g,10,g,60,g
107,daily grill,grand marnier creme brulee,47,g,390,mg,45,g,30,g,3,g,30,g,0,g,2,g,27,g
108,daily grill,granola,2,g,0,mg,50,g,18,g,2,g,1,g,0,g,1,g,8,g
109,daily grill,grapefruit juice,0,g,0,mg,15,g,23,g,1,g,0,g,0,g,0,g,17,g
110,daily grill,grapes,0,g,0,mg,0,g,7,g,0,g,0,g,0,g,0,g,6,g
111,daily grill,grilled asparagus,0,g,0,mg,0,g,4,g,2,g,0,g,0,g,2,g,2,g
112,daily grill,grilled idaho trout,29,g,165,mg,380,g,12,g,65,g,5,g,0,g,3,g,7,g
113,daily grill,grilled lime chicken salad dinner,98,g,130,mg,730,g,48,g,63,g,14,g,0,g,17,g,12,g
114,daily grill,grilled lime chicken salad lunch,49,g,65,mg,360,g,24,g,31,g,7,g,0,g,8,g,6,g
115,daily grill,grilled shrimp pomodoro lunch,14,g,170,mg,930,g,67,g,36,g,2,g,0,g,6,g,7,g
116,daily grill,grilled skirt steak salad,88,g,150,mg,2350,g,29,g,46,g,26,g,0,g,7,g,15,g
117,daily grill,grilled vegetable plate,13,g,0,mg,210,g,63,g,9,g,2,g,0,g,4,g,9,g
118,daily grill,grilled vegetables,3,g,0,mg,300,g,21,g,3,g,0,g,0,g,4,g,11,g
119,daily grill,guacamole,14,g,0,mg,400,g,8,g,0,g,0,g,0,g,4,g,4,g
120,daily grill,half blt and caesar salad,65,g,115,mg,1880,g,48,g,36,g,17,g,0,g,4,g,3,g
121,daily grill,half blt and mixed field greens,17,g,75,mg,1070,g,45,g,18,g,5,g,0,g,7,g,9,g
122,daily grill,half blt and small bowl soup,20,g,90,mg,1550,g,52,g,27,g,8,g,0,g,5,g,4,g
123,daily grill,half tuna melt and caesar salad,70,g,120,mg,1620,g,45,g,46,g,22,g,0,g,4,g,3,g
124,daily grill,half tuna melt and mixed field greens,22,g,80,mg,920,g,42,g,28,g,10,g,0,g,7,g,9,g
125,daily grill,half tuna melt and small bowl soup,25,g,95,mg,1400,g,49,g,37,g,13,g,0,g,5,g,4,g
126,daily grill,half tuna salad sandwich and caesar salad,56,g,75,mg,1480,g,49,g,41,g,13,g,0,g,4,g,3,g
127,daily grill,half tuna salad sandwich and mixed field greens,8,g,35,mg,780,g,46,g,23,g,1,g,0,g,7,g,9,g
128,daily grill,half tuna salad sandwich and small bowl soup,11,g,50,mg,1260,g,53,g,42,g,4,g,0,g,5,g,4,g
129,daily grill,half turkey melt and caesar salad,70,g,130,mg,2350,g,63,g,53,g,24,g,0,g,5,g,7,g
130,daily grill,half turkey melt and mixed field greens,22,g,85,mg,1660,g,60,g,33,g,12,g,0,g,8,g,13,g
131,daily grill,half turkey melt and small bowl soup,25,g,100,mg,2140,g,67,g,42,g,15,g,0,g,6,g,8,g
132,daily grill,hamburger,41,g,200,mg,1300,g,74,g,51,g,16,g,0,g,5,g,24,g
133,daily grill,happy hour ahi sashimi,2,g,65,mg,1150,g,2,g,34,g,0,g,0,g,1,g,0,g
134,daily grill,happy hour ahi tuna poke,14,g,30,mg,380,g,17,g,20,g,2,g,0,g,4,g,5,g
135,daily grill,happy hour chicken meatballs,20,g,155,mg,1850,g,19,g,37,g,8,g,0,g,3,g,7,g
136,daily grill,happy hour chicken pot pie,54,g,55,mg,650,g,55,g,19,g,18,g,0,g,3,g,3,g
137,daily grill,happy hour chicken quesadilla,25,g,95,mg,910,g,37,g,33,g,13,g,0,g,3,g,2,g
