,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,which wich,thank you turkey sandwich regular,6,g,0,mg,1950,g,105,g,28,g,2,g,0,g,4,g,37,g,,,,
1,which wich,thank you turkey sandwich super,11,g,0,mg,3910,g,209,g,57,g,4.5,g,0,g,8,g,74,g,,,,
2,which wich,the reuben,27,g,0,mg,2690,g,47,g,48,g,12,g,0,g,4,g,6,g,,,,
3,which wich,tomatoes large,0,g,0,mg,5,g,5,g,1,g,0,g,0,g,0,g,3,g,,,,
4,which wich,tomatoes regular,0,g,0,mg,0,g,3,g,1,g,0,g,0,g,0,g,2,g,,,,
5,which wich,tomatoes super,0,g,0,mg,10,g,6,g,1,g,0,g,0,g,2,g,0,g,,,,
6,which wich,traditional tray large,366,g,0,mg,24540,g,934,g,555,g,149,g,0,g,41,g,117,g,,,,
7,which wich,traditional tray regular,244,g,0,mg,16330,g,623,g,373,g,99,g,0,g,34,g,78,g,,,,
8,which wich,tuna salad sandwich large,72,g,0,mg,2980,g,88,g,72,g,12,g,0,g,0,g,5,g,,,,
9,which wich,tuna salad sandwich regular,48,g,0,mg,1490,g,59,g,48,g,8,g,0,g,0,g,4,g,,,,
10,which wich,tuna salad sandwich super,96,g,0,mg,2990,g,118,g,96,g,15,g,0,g,0,g,7,g,,,,
11,which wich,turcado wrap half wrap,13,g,0,mg,920,g,30,g,18,g,5,g,0,g,2,g,2,g,,,,
12,which wich,turkey sandwich large,6,g,0,mg,2400,g,85,g,39,g,3,g,0,g,0,g,7,g,,,,
13,which wich,turkey sandwich regular,4,g,0,mg,1600,g,57,g,26,g,2,g,0,g,0,g,5,g,,,,
14,which wich,turkey sandwich super,8,g,0,mg,3200,g,114,g,53,g,4.5,g,0,g,0,g,10,g,,,,
15,which wich,turkey bacon ranch wrap half wrap,16,g,0,mg,1110,g,28,g,20,g,7,g,0,g,1,g,2,g,,,,
16,which wich,turkeywich sandwich large,23,g,0,mg,2870,g,103,g,40,g,6,g,0,g,1,g,18,g,,,,
17,which wich,turkeywich sandwich regular,12,g,0,mg,1820,g,65,g,27,g,3.5,g,0,g,0,g,10,g,,,,
18,which wich,turkeywich sandwich super,24,g,0,mg,3640,g,130,g,53,g,7,g,0,g,1,g,20,g,,,,
19,which wich,ultimate blt,56,g,0,mg,1730,g,61,g,30,g,17,g,0,g,3,g,5,g,,,,
20,which wich,unsweet tea,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
21,which wich,unsweet tea 1 gallon,0,g,0,mg,370,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
22,which wich,unsweet tea gallon,0,g,0,mg,370,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
23,which wich,unsweet tea single serving,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
24,which wich,vanilla shake,35,g,0,mg,0,g,144,g,16,g,20,g,0,g,0,g,115,g,,,,
25,which wich,veggie tray with ranch and hummus,18,g,0,mg,460,g,16,g,3,g,2.5,g,0,g,4,g,6,g,,,,
26,which wich,veggie tray with ranch and hummus full,145,g,0,mg,3660,g,128,g,27,g,21,g,0,g,31,g,44,g,,,,
27,which wich,wheat baguette large,4,g,0,mg,960,g,82,g,16,g,2.5,g,0,g,5,g,5,g,,,,
28,which wich,wheat baguette regular,2.5,g,0,mg,640,g,55,g,11,g,2,g,0,g,4,g,4,g,,,,
29,which wich,wheat baguette super,5,g,0,mg,1280,g,110,g,21,g,3.5,g,0,g,7,g,7,g,,,,
30,which wich,white baguette large,4,g,0,mg,980,g,82,g,13,g,2.5,g,0,g,0,g,5,g,,,,
31,which wich,white baguette regular,2.5,g,0,mg,660,g,55,g,9,g,2,g,0,g,0,g,4,g,,,,
32,which wich,white baguette super,5,g,0,mg,1310,g,110,g,18,g,3.5,g,0,g,0,g,7,g,,,,
